Time;"Instr_Nam";Original_Value;Corrupted_Value;Bit_Position
1461699345745196;"  %35 = getelementptr inbounds i32, i32* %34, i64 %3";140287694754860;36169084713718828;55
1461699347103816;"  %44 = getelementptr inbounds i32, i32* %43, i64 %4";139853610054884;139853610038500;14
1461699348781076;"  %35 = getelementptr inbounds i32, i32* %34, i64 %3";139674648554188;139674648554204;4
1461699350459272;"  %35 = getelementptr inbounds i32, i32* %34, i64 %3";140459162870728;140461310354376;31
1461699351154818;"  %35 = getelementptr inbounds i32, i32* %34, i64 %3";140559552196044;140559552196040;2
1461699352801511;"  %35 = getelementptr inbounds i32, i32* %34, i64 %3";140018379885452;421493356596108;48
1461699353893434;"  %44 = getelementptr inbounds i32, i32* %43, i64 %4";140046818559916;140046818559918;1
1461699355578404;"  %35 = getelementptr inbounds i32, i32* %34, i64 %3";139703984495840;139669624757472;35
1461699356457889;"  %35 = getelementptr inbounds i32, i32* %34, i64 %3";140187472258656;140187480647264;23
1461699357898148;"  %44 = getelementptr inbounds i32, i32* %43, i64 %4";140558788516404;140558780127796;23
1461699358589025;"  %44 = getelementptr inbounds i32, i32* %43, i64 %4";139657116626540;72197251154554476;56
1461699359474767;"  %35 = getelementptr inbounds i32, i32* %34, i64 %3";139852557143048;9147051811884040;53
1461699360390687;"  %44 = getelementptr inbounds i32, i32* %43, i64 %4";139660799592444;139660799592446;1
1461699362093788;"  %44 = getelementptr inbounds i32, i32* %43, i64 %4";139951723991124;69582979813460;46
1461699362775007;"  %44 = getelementptr inbounds i32, i32* %43, i64 %4";140696596738132;70327852560468;46
1461699363462324;"  %35 = getelementptr inbounds i32, i32* %34, i64 %3";140521052819996;140521052819980;4
1461699365158861;"  %44 = getelementptr inbounds i32, i32* %43, i64 %4";140181603233548;140181603233549;0
1461699366821518;"  %35 = getelementptr inbounds i32, i32* %34, i64 %3";139956342097396;139947752162804;33
1461699367770559;"  %35 = getelementptr inbounds i32, i32* %34, i64 %3";140279239473296;140279239604368;17
1461699369466861;"  %35 = getelementptr inbounds i32, i32* %34, i64 %3";139807452107280;576600559755530768;59
1461699370315480;"  %44 = getelementptr inbounds i32, i32* %43, i64 %4";139973276220220;139973276220284;6
1461699371998085;"  %44 = getelementptr inbounds i32, i32* %43, i64 %4";140238073147340;140238064758732;23
1461699373694688;"  %44 = getelementptr inbounds i32, i32* %43, i64 %4";140517085149924;140516950932196;27
1461699375015716;"  %44 = getelementptr inbounds i32, i32* %43, i64 %4";140098440833820;140098172398364;28
1461699376177448;"  %44 = getelementptr inbounds i32, i32* %43, i64 %4";140598651555148;105414279466316;45
1461699377415199;"  %35 = getelementptr inbounds i32, i32* %34, i64 %3";139702994846916;139840433800388;37
1461699378407767;"  %44 = getelementptr inbounds i32, i32* %43, i64 %4";140036610772708;140040905740004;32
