exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699347103816,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",139853610054884,139853610038500,14,1,0,0,0,4002.0,33619968,0
1461699348781076,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",139674648554188,139674648554204,4,1,0,0,0,788.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699351154818,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140559552196044,140559552196040,2,1,0,0,0,151.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699353893434,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140046818559916,140046818559918,1,1,0,0,0,819121712.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699360390687,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",139660799592444,139660799592446,1,1,0,0,0,1725011916.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699363462324,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140521052819996,140521052819980,4,1,0,0,0,1196.0,33619968,0
1461699365158861,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140181603233548,140181603233549,0,1,0,0,0,503397638.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699367770559,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140279239473296,140279239604368,17,1,0,0,0,12288.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699370315480,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",139973276220220,139973276220284,6,1,0,0,0,2864.0,33619968,0
1461699371998085,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140238073147340,140238064758732,23,1,0,0,0,1282480.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699380573545,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",139787973746260,139787973746256,2,1,0,0,0,63.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699387803732,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",139994147547072,139994147416000,17,1,0,0,0,35584.0,33619968,0
