exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,78837904,0
Not Available,,,,,0,0,1,0,1.0,202013704,0
1465860556448693,"  %69 = getelementptr double# double* %phibase_96# i64 %relidx_21",25661152,25661160,3,1,0,0,0,2143124029.0,47357862,2
Not Available,,,,,0,0,1,0,1.0,109926116,0
1465860592757360,"  %93 = getelementptr double# double* %phibase_42# i64 %relidx_22",33236048,33236056,3,1,0,0,0,2046768831.0,216158254,2
Not Available,,,,,0,0,1,0,1.0,36911494,0
1465860642179095,"  %93 = getelementptr double# double* %phibase_42# i64 %relidx_22",18129904,18129872,5,1,0,0,0,1477171086.0,115556484,2
Not Available,,,,,0,0,1,0,1.0,43782760,0
Not Available,,,,,0,0,1,0,1.0,74110042,0
Not Available,,,,,0,0,1,0,1.0,71574334,0
Not Available,,,,,0,0,1,0,1.0,164538580,0
Not Available,,,,,0,0,1,0,1.0,37062604,0
Not Available,,,,,0,0,1,0,1.0,35035396,0
Not Available,,,,,0,0,1,0,1.0,27484924,0
Not Available,,,,,0,0,1,0,1.0,241675204,0
Not Available,,,,,0,0,1,0,1.0,100260106,0
Not Available,,,,,0,0,1,0,1.0,107709844,0
Not Available,,,,,0,0,1,0,1.0,23935174,0
Not Available,,,,,0,0,1,0,1.0,69891694,0
Not Available,,,,,0,0,1,0,1.0,63045454,0
Not Available,,,,,0,0,1,0,1.0,49335556,0
Not Available,,,,,0,0,1,0,1.0,158184448,0
Not Available,,,,,0,0,1,0,1.0,26067012,0
1465860951829456,"  %175 = getelementptr double# double* %castinttoptr18# i64 %relidx_25",37934216,37934220,2,1,0,0,0,990.875,202564894,2
Not Available,,,,,0,0,1,0,1.0,157524484,0
Not Available,,,,,0,0,1,0,1.0,80384204,0
Not Available,,,,,0,0,1,0,1.0,123173584,0
Not Available,,,,,0,0,1,0,1.0,37799428,0
Not Available,,,,,0,0,1,0,1.0,217983364,0
Not Available,,,,,0,0,1,0,1.0,195868854,0
Not Available,,,,,0,0,1,0,1.0,58053130,0
Not Available,,,,,0,0,1,0,1.0,127156234,0
1465861168517002,"  %169 = getelementptr double# double* %castinttoptr12# i64 %relidx_26",21355624,21356136,9,1,0,0,0,2144658321.36,197821444,2
Not Available,,,,,0,0,1,0,1.0,99608260,0
Not Available,,,,,0,0,1,0,1.0,166274984,0
Not Available,,,,,0,0,1,0,1.0,22028332,0
Not Available,,,,,0,0,1,0,1.0,198173668,0
Not Available,,,,,0,0,1,0,1.0,42411562,0
Not Available,,,,,0,0,1,0,1.0,21472288,0
1465861306621020,"  %172 = getelementptr double# double* %phibase_106# i64 %relidx_25",29333552,29334576,10,1,0,0,0,2145174066.0,184898884,2
Not Available,,,,,0,0,1,0,1.0,92892100,0
Not Available,,,,,0,0,1,0,1.0,54015826,0
1465861379187154,"  %169 = getelementptr double# double* %castinttoptr12# i64 %relidx_26",24183320,24183322,1,1,0,0,0,3.24398276189e+304,185575132,2
Not Available,,,,,0,0,1,0,1.0,73544644,0
Not Available,,,,,0,0,1,0,1.0,36231628,0
1465861447364895,"  %63 = getelementptr double# double* %phibase_142# i64 %relidx_22",40110296,40110288,3,1,0,0,0,2139984211.0,170679876,2
1465861481525779,"  %104 = getelementptr double# double* %castinttoptr24# i64 %relidx_22",15395360,15395328,5,1,0,0,0,1889947177.0,106326532,2
Not Available,,,,,0,0,1,0,1.0,82692754,0
Not Available,,,,,0,0,1,0,1.0,149365798,0
Not Available,,,,,0,0,1,0,1.0,92658724,0
Not Available,,,,,0,0,1,0,1.0,212166664,0
Not Available,,,,,0,0,1,0,1.0,66612484,0
Not Available,,,,,0,0,1,0,1.0,104447394,0
Not Available,,,,,0,0,1,0,1.0,165854124,0
Not Available,,,,,0,0,1,0,1.0,66429028,0
Not Available,,,,,0,0,1,0,1.0,37380424,0
1465861652750371,"  %72 = getelementptr double# double* %phibase_188# i64 %relidx_22",33713040,33712784,8,1,0,0,0,2145174066.45,36926044,2
Not Available,,,,,0,0,1,0,1.0,63270418,0
