exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,303054,0
1465860448438589,"  %99 = getelementptr double# double* %phibase_92# i64 %relidx_28",16810032,16818224,13,0,1,0,0,0.0,519660,2
Not Available,,,,,0,0,1,0,1.0,350178,0
1465860457910770,"  %173 = getelementptr double# double* %phibase_64# i64 %relidx_29",47036241027864,47036241027608,8,1,0,0,0,3.52200447407e+31,729006,2
Not Available,,,,,0,0,1,0,1.0,513378,0
Not Available,,,,,0,0,1,0,1.0,266622,0
Not Available,,,,,0,0,1,0,1.0,321852,0
Not Available,,,,,0,0,1,0,1.0,344864,0
1465860476975575,"  %99 = getelementptr double# double* %phibase_92# i64 %relidx_28",38331936,38331940,2,0,1,0,0,0.0,434166,2
Not Available,,,,,0,0,1,0,1.0,284572,0
Not Available,,,,,0,0,1,0,1.0,668882,0
1465860489283127,"  %173 = getelementptr double# double* %phibase_64# i64 %relidx_29",47069448826480,47069448826482,1,1,0,0,0,1.26258768195e+32,305036,2
Not Available,,,,,0,0,1,0,1.0,469046,0
Not Available,,,,,0,0,1,0,1.0,328554,0
Not Available,,,,,0,0,1,0,1.0,415418,0
Not Available,,,,,0,0,1,0,1.0,426150,0
1465860506247957,"  %99 = getelementptr double# double* %phibase_92# i64 %relidx_28",8162000,8162032,5,1,0,0,0,inf,597372,2
Not Available,,,,,0,0,1,0,1.0,339840,0
Not Available,,,,,0,0,1,0,1.0,387996,0
Not Available,,,,,0,0,1,0,1.0,500982,0
Not Available,,,,,0,0,1,0,1.0,522906,0
Not Available,,,,,0,0,1,0,1.0,755006,0
Not Available,,,,,0,0,1,0,1.0,492006,0
Not Available,,,,,0,0,1,0,1.0,259576,0
Not Available,,,,,0,0,1,0,1.0,514560,0
Not Available,,,,,0,0,1,0,1.0,411438,0
Not Available,,,,,0,0,1,0,1.0,415374,0
Not Available,,,,,0,0,1,0,1.0,650998,0
Not Available,,,,,0,0,1,0,1.0,342008,0
Not Available,,,,,0,0,1,0,1.0,318536,0
1465860556692139,"  %173 = getelementptr double# double* %phibase_64# i64 %relidx_29",47581930482072,47581930482064,3,1,0,0,0,2.30477121328e+31,498218,2
Not Available,,,,,0,0,1,0,1.0,345940,0
Not Available,,,,,0,0,1,0,1.0,638070,0
1465860570663479,"  %99 = getelementptr double# double* %phibase_92# i64 %relidx_28",35108960,35108964,2,0,1,0,0,0.0,410716,2
Not Available,,,,,0,0,1,0,1.0,417390,0
Not Available,,,,,0,0,1,0,1.0,351900,0
Not Available,,,,,0,0,1,0,1.0,438144,0
Not Available,,,,,0,0,1,0,1.0,392418,0
Not Available,,,,,0,0,1,0,1.0,338850,0
Not Available,,,,,0,0,1,0,1.0,429348,0
1465860594051360,"  %96 = getelementptr double# double* %newgep_287# i64 %relidx_28",31111976,31113000,10,1,0,0,0,inf,448976,2
Not Available,,,,,0,0,1,0,1.0,540810,0
Not Available,,,,,0,0,1,0,1.0,592866,0
Not Available,,,,,0,0,1,0,1.0,244992,0
Not Available,,,,,0,0,1,0,1.0,362706,0
Not Available,,,,,0,0,1,0,1.0,449574,0
1465860614447806,"  %96 = getelementptr double# double* %newgep_287# i64 %relidx_28",34842392,34842393,0,1,0,0,0,1.33308970097e+32,328884,2
Not Available,,,,,0,0,1,0,1.0,633408,0
Not Available,,,,,0,0,1,0,1.0,538628,0
1465860627034446,"  %96 = getelementptr double# double* %newgep_287# i64 %relidx_28",13346200,13346184,4,1,0,0,0,1.03831036858e+30,353196,2
Not Available,,,,,0,0,1,0,1.0,400204,0
Not Available,,,,,0,0,1,0,1.0,251106,0
Not Available,,,,,0,0,1,0,1.0,296430,0
Not Available,,,,,0,0,1,0,1.0,257452,0
Not Available,,,,,0,0,1,0,1.0,578940,0
1465860646670646,"  %99 = getelementptr double# double* %phibase_92# i64 %relidx_28",28652816,28654864,11,1,0,0,0,inf,477836,2
Not Available,,,,,0,0,1,0,1.0,595356,0
Not Available,,,,,0,0,1,0,1.0,698258,0
1465860660630699,"  %99 = getelementptr double# double* %phibase_92# i64 %relidx_28",12150016,12150024,3,1,0,0,0,1.45013141444e+30,580092,2
Not Available,,,,,0,0,1,0,1.0,509034,0
Not Available,,,,,0,0,1,0,1.0,263412,0
1465860674161399,"  %96 = getelementptr double# double* %newgep_287# i64 %relidx_28",8874616,8874618,1,1,0,0,0,1.74471210574e+32,702762,2
Not Available,,,,,0,0,1,0,1.0,616596,0
Not Available,,,,,0,0,1,0,1.0,360192,0
Not Available,,,,,0,0,1,0,1.0,351456,0
Not Available,,,,,0,0,1,0,1.0,570660,0
Not Available,,,,,0,0,1,0,1.0,292956,0
Not Available,,,,,0,0,1,0,1.0,568018,0
Not Available,,,,,0,0,1,0,1.0,437336,0
Not Available,,,,,0,0,1,0,1.0,555546,0
Not Available,,,,,0,0,1,0,1.0,657626,0
Not Available,,,,,0,0,1,0,1.0,436656,0
Not Available,,,,,0,0,1,0,1.0,270360,0
Not Available,,,,,0,0,1,0,1.0,408810,0
Not Available,,,,,0,0,1,0,1.0,444036,0
Not Available,,,,,0,0,1,0,1.0,721608,0
Not Available,,,,,0,0,1,0,1.0,510978,0
Not Available,,,,,0,0,1,0,1.0,350086,0
Not Available,,,,,0,0,1,0,1.0,569286,0
Not Available,,,,,0,0,1,0,1.0,561242,0
Not Available,,,,,0,0,1,0,1.0,392666,0
Not Available,,,,,0,0,1,0,1.0,518262,0
Not Available,,,,,0,0,1,0,1.0,353256,0
Not Available,,,,,0,0,1,0,1.0,732876,0
1465860756143932,"  %166 = getelementptr double# double* %phibase_192# i64 %relidx_29",33984632,33984636,2,1,0,0,0,2.20180054585e+306,413036,2
Not Available,,,,,0,0,1,0,1.0,437606,0
Not Available,,,,,0,0,1,0,1.0,618696,0
1465860767446673,"  %173 = getelementptr double# double* %phibase_64# i64 %relidx_29",47026760178648,47026760178680,5,1,0,0,0,9.65976780092e+30,359416,2
Not Available,,,,,0,0,1,0,1.0,255214,0
1465860774948674,"  %99 = getelementptr double# double* %phibase_92# i64 %relidx_28",38430832,38463600,15,1,0,0,0,1.62772288833e+32,425930,2
Not Available,,,,,0,0,1,0,1.0,321786,0
Not Available,,,,,0,0,1,0,1.0,458922,0
Not Available,,,,,0,0,1,0,1.0,400906,0
Not Available,,,,,0,0,1,0,1.0,739906,0
Not Available,,,,,0,0,1,0,1.0,431178,0
Not Available,,,,,0,0,1,0,1.0,437730,0
Not Available,,,,,0,0,1,0,1.0,319094,0
1465860802047450,"  %96 = getelementptr double# double* %newgep_287# i64 %relidx_28",18650616,18650617,0,1,0,0,0,9.36924669185e+31,326704,2
Not Available,,,,,0,0,1,0,1.0,562332,0
1465860810799005,"  %99 = getelementptr double# double* %phibase_92# i64 %relidx_28",18235568,18235570,1,1,0,0,0,3.23740655804e+31,404430,2
1465860816499928,"  %96 = getelementptr double# double* %newgep_287# i64 %relidx_28",14263976,14263978,1,1,0,0,0,1.55336334672e+32,433068,2
Not Available,,,,,0,0,1,0,1.0,301156,0
Not Available,,,,,0,0,1,0,1.0,484028,0
1465860828475688,"  %99 = getelementptr double# double* %phibase_92# i64 %relidx_28",6842704,6842688,4,1,0,0,0,1.10701047612e+30,501906,2
Not Available,,,,,0,0,1,0,1.0,339018,0
Not Available,,,,,0,0,1,0,1.0,306110,0
1465860841336309,"  %96 = getelementptr double# double* %newgep_287# i64 %relidx_28",26510696,26510824,7,1,0,0,0,inf,258166,2
Not Available,,,,,0,0,1,0,1.0,557112,0
Not Available,,,,,0,0,1,0,1.0,462316,0
Not Available,,,,,0,0,1,0,1.0,700746,0
Not Available,,,,,0,0,1,0,1.0,475926,0
Not Available,,,,,0,0,1,0,1.0,606144,0
Not Available,,,,,0,0,1,0,1.0,273656,0
1465860866341489,"  %173 = getelementptr double# double* %phibase_64# i64 %relidx_29",47026116998840,47026116736696,18,1,0,0,0,2.09547803942e+30,388506,2
Not Available,,,,,0,0,1,0,1.0,467490,0
Not Available,,,,,0,0,1,0,1.0,373386,0
Not Available,,,,,0,0,1,0,1.0,413178,0
Not Available,,,,,0,0,1,0,1.0,529502,0
1465860884272579,"  %99 = getelementptr double# double* %phibase_92# i64 %relidx_28",25653312,25653313,0,1,0,0,0,1.10624899348e+31,463014,2
Not Available,,,,,0,0,1,0,1.0,374670,0
1465860892478052,"  %99 = getelementptr double# double* %phibase_92# i64 %relidx_28",23540240,23540242,1,1,0,0,0,3.83004688841e+31,273558,2
Not Available,,,,,0,0,1,0,1.0,300258,0
Not Available,,,,,0,0,1,0,1.0,403054,0
Not Available,,,,,0,0,1,0,1.0,500694,0
Not Available,,,,,0,0,1,0,1.0,230190,0
1465860910492985,"  %99 = getelementptr double# double* %phibase_92# i64 %relidx_28",16982864,17015632,15,1,0,0,0,2.12011303268e+32,712968,2
Not Available,,,,,0,0,1,0,1.0,243678,0
Not Available,,,,,0,0,1,0,1.0,485208,0
Not Available,,,,,0,0,1,0,1.0,706208,0
Not Available,,,,,0,0,1,0,1.0,401214,0
1465860931014518,"  %99 = getelementptr double# double* %phibase_92# i64 %relidx_28",33969552,33977744,13,0,1,0,0,0.0,290184,2
1465860936086731,"  %96 = getelementptr double# double* %newgep_287# i64 %relidx_28",31645912,31645913,0,1,0,0,0,9.40537057469e+180,584710,2
Not Available,,,,,0,0,1,0,1.0,525602,0
Not Available,,,,,0,0,1,0,1.0,662112,0
Not Available,,,,,0,0,1,0,1.0,503788,0
Not Available,,,,,0,0,1,0,1.0,606808,0
Not Available,,,,,0,0,1,0,1.0,349186,0
Not Available,,,,,0,0,1,0,1.0,384736,0
Not Available,,,,,0,0,1,0,1.0,577968,0
Not Available,,,,,0,0,1,0,1.0,218896,0
Not Available,,,,,0,0,1,0,1.0,255966,0
Not Available,,,,,0,0,1,0,1.0,545368,0
Not Available,,,,,0,0,1,0,1.0,347504,0
Not Available,,,,,0,0,1,0,1.0,780306,0
Not Available,,,,,0,0,1,0,1.0,455720,0
Not Available,,,,,0,0,1,0,1.0,546940,0
Not Available,,,,,0,0,1,0,1.0,695998,0
Not Available,,,,,0,0,1,0,1.0,595986,0
1465860996091488,"  %99 = getelementptr double# double* %phibase_92# i64 %relidx_28",39678624,39678880,8,1,0,0,0,inf,376656,2
Not Available,,,,,0,0,1,0,1.0,337458,0
