exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,585936,0
Not Available,,,,,0,0,1,0,1.0,576317,0
Not Available,,,,,0,0,1,0,1.0,260341,0
Not Available,,,,,0,0,1,0,1.0,432637,0
Not Available,,,,,0,0,1,0,1.0,272202,0
Not Available,,,,,0,0,1,0,1.0,348777,0
Not Available,,,,,0,0,1,0,1.0,426431,0
Not Available,,,,,0,0,1,0,1.0,354480,0
1465860451922449,"  %33 = getelementptr double# double* %phibase_34# i64 %relidx_10",37567832,37600600,15,0,1,0,0,0.0,443557,2
1465860457354624,"  %43 = getelementptr double# double* %phibase_74# i64 %relidx_10",6425008,6424752,8,1,0,0,0,inf,289014,2
Not Available,,,,,0,0,1,0,1.0,404970,0
Not Available,,,,,0,0,1,0,1.0,699909,0
1465860468639581,"  %43 = getelementptr double# double* %phibase_74# i64 %relidx_10",34622528,34623040,9,1,0,0,0,3.33327626498e+19,395953,2
Not Available,,,,,0,0,1,0,1.0,423252,0
Not Available,,,,,0,0,1,0,1.0,434617,0
Not Available,,,,,0,0,1,0,1.0,277453,0
1465860483106898,"  %37 = getelementptr double# double* %phibase_14# i64 %relidx_10",47949583976928,47949583977440,9,1,0,0,0,7.57905077403e+19,388631,2
Not Available,,,,,0,0,1,0,1.0,487247,0
Not Available,,,,,0,0,1,0,1.0,646420,0
Not Available,,,,,0,0,1,0,1.0,310501,0
Not Available,,,,,0,0,1,0,1.0,472680,0
Not Available,,,,,0,0,1,0,1.0,473198,0
Not Available,,,,,0,0,1,0,1.0,506165,0
Not Available,,,,,0,0,1,0,1.0,466405,0
1465860511316568,"  %37 = getelementptr double# double* %phibase_14# i64 %relidx_10",47255344836792,47255344828600,13,1,0,0,0,7.26636483839e+19,420085,2
1465860516669421,"  %43 = getelementptr double# double* %phibase_74# i64 %relidx_10",10117232,10117360,7,1,0,0,0,3.61482864525e+19,399657,2
Not Available,,,,,0,0,1,0,1.0,481445,0
Not Available,,,,,0,0,1,0,1.0,564715,0
Not Available,,,,,0,0,1,0,1.0,581443,0
Not Available,,,,,0,0,1,0,1.0,383685,0
Not Available,,,,,0,0,1,0,1.0,447326,0
Not Available,,,,,0,0,1,0,1.0,363781,0
Not Available,,,,,0,0,1,0,1.0,410101,0
Not Available,,,,,0,0,1,0,1.0,265235,0
Not Available,,,,,0,0,1,0,1.0,386566,0
Not Available,,,,,0,0,1,0,1.0,483356,0
Not Available,,,,,0,0,1,0,1.0,296805,0
Not Available,,,,,0,0,1,0,1.0,319365,0
Not Available,,,,,0,0,1,0,1.0,398293,0
Not Available,,,,,0,0,1,0,1.0,559365,0
Not Available,,,,,0,0,1,0,1.0,250313,0
Not Available,,,,,0,0,1,0,1.0,465933,0
Not Available,,,,,0,0,1,0,1.0,638394,0
Not Available,,,,,0,0,1,0,1.0,381925,0
Not Available,,,,,0,0,1,0,1.0,299135,0
Not Available,,,,,0,0,1,0,1.0,474599,0
Not Available,,,,,0,0,1,0,1.0,562722,0
Not Available,,,,,0,0,1,0,1.0,629732,0
Not Available,,,,,0,0,1,0,1.0,491835,0
Not Available,,,,,0,0,1,0,1.0,309029,0
Not Available,,,,,0,0,1,0,1.0,516289,0
Not Available,,,,,0,0,1,0,1.0,536142,0
Not Available,,,,,0,0,1,0,1.0,543405,0
Not Available,,,,,0,0,1,0,1.0,444805,0
Not Available,,,,,0,0,1,0,1.0,385599,0
1465860614591290,"  %43 = getelementptr double# double* %phibase_74# i64 %relidx_10",34102240,34102241,0,1,0,0,0,3.82576725578e+20,365373,2
Not Available,,,,,0,0,1,0,1.0,276022,0
Not Available,,,,,0,0,1,0,1.0,511075,0
Not Available,,,,,0,0,1,0,1.0,719241,0
Not Available,,,,,0,0,1,0,1.0,290955,0
Not Available,,,,,0,0,1,0,1.0,304867,0
Not Available,,,,,0,0,1,0,1.0,379200,0
Not Available,,,,,0,0,1,0,1.0,449389,0
Not Available,,,,,0,0,1,0,1.0,558537,0
Not Available,,,,,0,0,1,0,1.0,453655,0
Not Available,,,,,0,0,1,0,1.0,637250,0
1465860651901932,"  %33 = getelementptr double# double* %phibase_34# i64 %relidx_10",39608456,39739528,17,0,1,0,0,0.0,487145,2
Not Available,,,,,0,0,1,0,1.0,436480,0
1465860660895581,"  %37 = getelementptr double# double* %phibase_14# i64 %relidx_10",47338019528816,47338019528824,3,1,0,0,0,2.83098398997e+19,326841,2
1465860665881573,"  %37 = getelementptr double# double* %phibase_14# i64 %relidx_10",47293705733352,47293705733224,7,1,0,0,0,3.74278335835e+19,487741,2
Not Available,,,,,0,0,1,0,1.0,476371,0
Not Available,,,,,0,0,1,0,1.0,417632,0
Not Available,,,,,0,0,1,0,1.0,448750,0
Not Available,,,,,0,0,1,0,1.0,379853,0
1465860684499416,"  %33 = getelementptr double# double* %phibase_34# i64 %relidx_10",37550400,37615936,16,0,1,0,0,0.0,442119,2
1465860690309762,"  %43 = getelementptr double# double* %phibase_74# i64 %relidx_10",13774856,13774858,1,1,0,0,0,5.86448666258e+20,451661,2
Not Available,,,,,0,0,1,0,1.0,579381,0
1465860700382826,"  %33 = getelementptr double# double* %phibase_34# i64 %relidx_10",34445840,34462224,14,0,1,0,0,0.0,621457,2
Not Available,,,,,0,0,1,0,1.0,590325,0
Not Available,,,,,0,0,1,0,1.0,260533,0
Not Available,,,,,0,0,1,0,1.0,265648,0
Not Available,,,,,0,0,1,0,1.0,434133,0
Not Available,,,,,0,0,1,0,1.0,376494,0
1465860721076592,"  %43 = getelementptr double# double* %phibase_74# i64 %relidx_10",18698632,18731400,15,1,0,0,0,4.37505521192e+20,449455,2
Not Available,,,,,0,0,1,0,1.0,404005,0
Not Available,,,,,0,0,1,0,1.0,491580,0
Not Available,,,,,0,0,1,0,1.0,454445,0
Not Available,,,,,0,0,1,0,1.0,681745,0
Not Available,,,,,0,0,1,0,1.0,508515,0
Not Available,,,,,0,0,1,0,1.0,495430,0
Not Available,,,,,0,0,1,0,1.0,630021,0
Not Available,,,,,0,0,1,0,1.0,324780,0
Not Available,,,,,0,0,1,0,1.0,502677,0
1465860756730242,"  %43 = getelementptr double# double* %phibase_74# i64 %relidx_10",36218928,36218932,2,1,0,0,0,inf,297989,2
Not Available,,,,,0,0,1,0,1.0,340438,0
Not Available,,,,,0,0,1,0,1.0,616482,0
1465860769037563,"  %37 = getelementptr double# double* %phibase_14# i64 %relidx_10",46913035627624,46913035496552,17,1,0,0,0,6.55119201922e+19,466375,2
1465860775437154,"  %37 = getelementptr double# double* %phibase_14# i64 %relidx_10",46985415111216,46985415111217,0,1,0,0,0,6.16402949752e+20,632185,2
Not Available,,,,,0,0,1,0,1.0,531107,0
Not Available,,,,,0,0,1,0,1.0,230290,0
Not Available,,,,,0,0,1,0,1.0,361501,0
Not Available,,,,,0,0,1,0,1.0,642619,0
Not Available,,,,,0,0,1,0,1.0,536645,0
Not Available,,,,,0,0,1,0,1.0,374449,0
Not Available,,,,,0,0,1,0,1.0,615257,0
Not Available,,,,,0,0,1,0,1.0,575349,0
1465860808475547,"  %43 = getelementptr double# double* %phibase_74# i64 %relidx_10",22260664,22260668,2,1,0,0,0,inf,477405,2
Not Available,,,,,0,0,1,0,1.0,430365,0
Not Available,,,,,0,0,1,0,1.0,325355,0
1465860820932535,"  %33 = getelementptr double# double* %phibase_34# i64 %relidx_10",32203488,32203490,1,0,1,0,0,0.0,512377,2
Not Available,,,,,0,0,1,0,1.0,550690,0
1465860830167195,"  %43 = getelementptr double# double* %phibase_74# i64 %relidx_10",39157776,39158032,8,1,0,0,0,3.43940370076e+19,310959,2
Not Available,,,,,0,0,1,0,1.0,663045,0
Not Available,,,,,0,0,1,0,1.0,523367,0
Not Available,,,,,0,0,1,0,1.0,557085,0
1465860845804674,"  %43 = getelementptr double# double* %phibase_74# i64 %relidx_10",27374984,27374988,2,1,0,0,0,inf,220590,2
1465860850456688,"  %43 = getelementptr double# double* %phibase_74# i64 %relidx_10",24432256,24432260,2,1,0,0,0,inf,627229,2
Not Available,,,,,0,0,1,0,1.0,412893,0
Not Available,,,,,0,0,1,0,1.0,294895,0
Not Available,,,,,0,0,1,0,1.0,558187,0
Not Available,,,,,0,0,1,0,1.0,324945,0
Not Available,,,,,0,0,1,0,1.0,450402,0
Not Available,,,,,0,0,1,0,1.0,356090,0
Not Available,,,,,0,0,1,0,1.0,535475,0
Not Available,,,,,0,0,1,0,1.0,319004,0
Not Available,,,,,0,0,1,0,1.0,689110,0
Not Available,,,,,0,0,1,0,1.0,438017,0
Not Available,,,,,0,0,1,0,1.0,401539,0
1465860892761829,"  %37 = getelementptr double# double* %phibase_14# i64 %relidx_10",47966391485608,47966391485610,1,1,0,0,0,4.53485252888e+20,393520,2
Not Available,,,,,0,0,1,0,1.0,290021,0
1465860902115017,"  %33 = getelementptr double# double* %phibase_34# i64 %relidx_10",16875904,17006976,17,0,1,0,0,0.0,604385,2
Not Available,,,,,0,0,1,0,1.0,240102,0
Not Available,,,,,0,0,1,0,1.0,572147,0
