exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,500366,0
Not Available,,,,,0,0,1,0,1.0,462057,0
Not Available,,,,,0,0,1,0,1.0,328351,0
1465951162565925,"  %55 = getelementptr double# double* %phibase_31# i64 %relidx_6",32761072,32761056,4,1,0,0,0,inf,137826,2
Not Available,,,,,0,0,1,0,1.0,201111,0
Not Available,,,,,0,0,1,0,1.0,597862,0
Not Available,,,,,0,0,1,0,1.0,540736,0
Not Available,,,,,0,0,1,0,1.0,487370,0
1465951165343962,"  %58 = getelementptr double# double* %castinttoptr12# i64 %relidx_6",26634112,26699648,16,1,0,0,0,4.84507255193e+20,231045,2
1465951165824433,"  %55 = getelementptr double# double* %phibase_31# i64 %relidx_6",12715504,12781040,16,1,0,0,0,5.39463233962e+20,462057,2
Not Available,,,,,0,0,1,0,1.0,238966,0
Not Available,,,,,0,0,1,0,1.0,690881,0
1465951167350430,"  %64 = getelementptr double# double* %castinttoptr15# i64 %relidx_7",19868456,19901224,15,1,0,0,0,2.37132675309e+21,187166,2
Not Available,,,,,0,0,1,0,1.0,89441,0
Not Available,,,,,0,0,1,0,1.0,627875,0
Not Available,,,,,0,0,1,0,1.0,93666,0
1465951169624730,"  %55 = getelementptr double# double* %phibase_31# i64 %relidx_6",18823472,18823480,3,1,0,0,0,1.26945225161e+20,318550,2
Not Available,,,,,0,0,1,0,1.0,391406,0
Not Available,,,,,0,0,1,0,1.0,127021,0
Not Available,,,,,0,0,1,0,1.0,449736,0
Not Available,,,,,0,0,1,0,1.0,247066,0
1465951172267280,"  %58 = getelementptr double# double* %castinttoptr12# i64 %relidx_6",9873328,9873330,1,1,0,0,0,inf,540736,2
1465951172729149,"  %55 = getelementptr double# double* %phibase_31# i64 %relidx_6",28323328,28323330,1,1,0,0,0,inf,554660,2
Not Available,,,,,0,0,1,0,1.0,231045,0
Not Available,,,,,0,0,1,0,1.0,127021,0
Not Available,,,,,0,0,1,0,1.0,263811,0
Not Available,,,,,0,0,1,0,1.0,513591,0
Not Available,,,,,0,0,1,0,1.0,425755,0
Not Available,,,,,0,0,1,0,1.0,402642,0
Not Available,,,,,0,0,1,0,1.0,137826,0
Not Available,,,,,0,0,1,0,1.0,369565,0
Not Available,,,,,0,0,1,0,1.0,231045,0
Not Available,,,,,0,0,1,0,1.0,187166,0
Not Available,,,,,0,0,1,0,1.0,568821,0
Not Available,,,,,0,0,1,0,1.0,568821,0
Not Available,,,,,0,0,1,0,1.0,215732,0
Not Available,,,,,0,0,1,0,1.0,111896,0
Not Available,,,,,0,0,1,0,1.0,358956,0
Not Available,,,,,0,0,1,0,1.0,583221,0
Not Available,,,,,0,0,1,0,1.0,627875,0
Not Available,,,,,0,0,1,0,1.0,308946,0
Not Available,,,,,0,0,1,0,1.0,308946,0
Not Available,,,,,0,0,1,0,1.0,338351,0
