exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,24770031,0
Not Available,,,,,0,0,1,0,1.0,45941748,0
Not Available,,,,,0,0,1,0,1.0,176276021,0
Not Available,,,,,0,0,1,0,1.0,64173654,0
Not Available,,,,,0,0,1,0,1.0,42253440,0
Not Available,,,,,0,0,1,0,1.0,120557976,0
Not Available,,,,,0,0,1,0,1.0,272073608,0
Not Available,,,,,0,0,1,0,1.0,294390861,0
Not Available,,,,,0,0,1,0,1.0,155622854,0
Not Available,,,,,0,0,1,0,1.0,131394347,0
1465860735262617,"  %334 = getelementptr double# double* %castinttoptr144# i64 %relidx_62",47542072211088,47542072211089,0,1,0,0,0,9.35101412793e+307,221839120,2
Not Available,,,,,0,0,1,0,1.0,71941491,0
Not Available,,,,,0,0,1,0,1.0,62787318,0
Not Available,,,,,0,0,1,0,1.0,129905502,0
Not Available,,,,,0,0,1,0,1.0,149905778,0
Not Available,,,,,0,0,1,0,1.0,341699154,0
Not Available,,,,,0,0,1,0,1.0,213778506,0
Not Available,,,,,0,0,1,0,1.0,219032421,0
1465860949941556,"  %431 = getelementptr double# double* %phibase_133# i64 %relidx_65",47764458877880,47764458877884,2,1,0,0,0,6.52950711114e+300,119355214,2
Not Available,,,,,0,0,1,0,1.0,39743710,0
Not Available,,,,,0,0,1,0,1.0,183085062,0
1465861001789947,"  %393 = getelementptr double# double* %castinttoptr30# i64 %39",29643528,8619578120,33,0,1,0,0,0.0,15944115,0
Not Available,,,,,0,0,1,0,1.0,61640160,0
Not Available,,,,,0,0,1,0,1.0,41449746,0
Not Available,,,,,0,0,1,0,1.0,81849306,0
Not Available,,,,,0,0,1,0,1.0,52043886,0
Not Available,,,,,0,0,1,0,1.0,32398236,0
Not Available,,,,,0,0,1,0,1.0,208995146,0
Not Available,,,,,0,0,1,0,1.0,57994809,0
Not Available,,,,,0,0,1,0,1.0,34785278,0
Not Available,,,,,0,0,1,0,1.0,38697956,0
Not Available,,,,,0,0,1,0,1.0,60709182,0
Not Available,,,,,0,0,1,0,1.0,179735622,0
Not Available,,,,,0,0,1,0,1.0,131271588,0
Not Available,,,,,0,0,1,0,1.0,117915258,0
Not Available,,,,,0,0,1,0,1.0,204076608,0
Not Available,,,,,0,0,1,0,1.0,178152604,0
Not Available,,,,,0,0,1,0,1.0,57351664,0
Not Available,,,,,0,0,1,0,1.0,29360266,0
Not Available,,,,,0,0,1,0,1.0,65956416,0
Not Available,,,,,0,0,1,0,1.0,113636518,0
Not Available,,,,,0,0,1,0,1.0,63268806,0
Not Available,,,,,0,0,1,0,1.0,150017058,0
Not Available,,,,,0,0,1,0,1.0,58696278,0
