exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,5919137,0
Not Available,,,,,0,0,1,0,1.0,11571481,0
Not Available,,,,,0,0,1,0,1.0,8022723,0
Not Available,,,,,0,0,1,0,1.0,7066002,0
1465860516294432,"  %192 = getelementptr double# double* %phibase_303# i64 %relidx_32",47163253028752,47163253028624,7,1,0,0,0,9.01789979223e+19,7251097,2
Not Available,,,,,0,0,1,0,1.0,7241237,0
Not Available,,,,,0,0,1,0,1.0,6425073,0
Not Available,,,,,0,0,1,0,1.0,8234224,0
Not Available,,,,,0,0,1,0,1.0,3608898,0
Not Available,,,,,0,0,1,0,1.0,6639438,0
Not Available,,,,,0,0,1,0,1.0,6992021,0
Not Available,,,,,0,0,1,0,1.0,4607265,0
Not Available,,,,,0,0,1,0,1.0,4408443,0
Not Available,,,,,0,0,1,0,1.0,11607255,0
Not Available,,,,,0,0,1,0,1.0,9850998,0
1465860564178919,"  %196 = getelementptr double# double* %castinttoptr54# i64 ",47781271093424,47781271093432,3,1,0,0,0,1.31474368647e+18,7108657,0
1465860570660107,"  %205 = getelementptr double# double* %castinttoptr60# i64 ",47196219602432,47196219602436,2,1,0,0,0,3.81020154769e+18,6833391,0
1465860577177702,"  %196 = getelementptr double# double* %castinttoptr54# i64 ",47458133665184,47458133632416,15,1,0,0,0,3.1465568872e+18,9627825,0
Not Available,,,,,0,0,1,0,1.0,7375371,0
Not Available,,,,,0,0,1,0,1.0,4711990,0
1465860589970080,"  %196 = getelementptr double# double* %castinttoptr54# i64 ",47375117467480,47375117467472,3,1,0,0,0,3.27555573408e+18,2326039,0
1465860594177623,"  %205 = getelementptr double# double* %castinttoptr60# i64 ",47790740235264,47790740234240,10,1,0,0,0,2.30829648125e+18,6629791,0
Not Available,,,,,0,0,1,0,1.0,4479843,0
1465860604135927,"  %196 = getelementptr double# double* %castinttoptr54# i64 ",47619110398920,47619109874632,19,1,0,0,0,3.32071160091e+18,12049255,0
Not Available,,,,,0,0,1,0,1.0,4371507,0
Not Available,,,,,0,0,1,0,1.0,3745251,0
Not Available,,,,,0,0,1,0,1.0,5062261,0
Not Available,,,,,0,0,1,0,1.0,6866003,0
Not Available,,,,,0,0,1,0,1.0,6397805,0
Not Available,,,,,0,0,1,0,1.0,6586704,0
Not Available,,,,,0,0,1,0,1.0,6452841,0
Not Available,,,,,0,0,1,0,1.0,6143893,0
Not Available,,,,,0,0,1,0,1.0,12327263,0
Not Available,,,,,0,0,1,0,1.0,7419978,0
1465860652266202,"  %196 = getelementptr double# double* %castinttoptr54# i64 ",47716097579408,47716097587600,13,1,0,0,0,4.00936252963e+16,5867532,0
Not Available,,,,,0,0,1,0,1.0,10633535,0
Not Available,,,,,0,0,1,0,1.0,5098877,0
Not Available,,,,,0,0,1,0,1.0,6391619,0
1465860671303498,"  %205 = getelementptr double# double* %castinttoptr60# i64 ",47450748007648,47450748007649,0,1,0,0,0,2.1763912429e+20,14043354,0
Not Available,,,,,0,0,1,0,1.0,13025928,0
Not Available,,,,,0,0,1,0,1.0,5677677,0
1465860690172396,"  %192 = getelementptr double# double* %phibase_303# i64 %relidx_32",47434499816080,47434499816082,1,1,0,0,0,4.42528014186e+20,11798985,2
Not Available,,,,,0,0,1,0,1.0,8139589,0
Not Available,,,,,0,0,1,0,1.0,9452615,0
Not Available,,,,,0,0,1,0,1.0,4875067,0
Not Available,,,,,0,0,1,0,1.0,3945331,0
Not Available,,,,,0,0,1,0,1.0,6473368,0
Not Available,,,,,0,0,1,0,1.0,7758489,0
1465860721035367,"  %192 = getelementptr double# double* %phibase_303# i64 %relidx_32",47100823660624,47100823627856,15,1,0,0,0,7.41015738217e+19,6670569,2
Not Available,,,,,0,0,1,0,1.0,9126191,0
Not Available,,,,,0,0,1,0,1.0,10049397,0
Not Available,,,,,0,0,1,0,1.0,10812819,0
Not Available,,,,,0,0,1,0,1.0,6573252,0
Not Available,,,,,0,0,1,0,1.0,7714326,0
1465860749206728,"  %205 = getelementptr double# double* %castinttoptr60# i64 ",47490633948680,47490633948681,0,1,0,0,0,1.26149613088e+20,8429359,0
1465860756559072,"  %205 = getelementptr double# double* %castinttoptr60# i64 ",47772222765832,47772222765836,2,1,0,0,0,4.38156348086e+18,8835063,0
Not Available,,,,,0,0,1,0,1.0,3689347,0
1465860767282789,"  %205 = getelementptr double# double* %castinttoptr60# i64 ",47974785236928,47974785236960,5,1,0,0,0,4.63393593119e+18,6558060,0
Not Available,,,,,0,0,1,0,1.0,5953491,0
1465860777858969,"  %205 = getelementptr double# double* %castinttoptr60# i64 ",47113359270400,47113359270656,8,1,0,0,0,2.96299568488e+17,9627003,0
Not Available,,,,,0,0,1,0,1.0,9873636,0
1465860790039183,"  %201 = getelementptr double# double* %phibase_95# i64 %relidx_32",47471220458288,47471220458296,3,1,0,0,0,2.20635546435e+20,6080003,2
Not Available,,,,,0,0,1,0,1.0,11022547,0
Not Available,,,,,0,0,1,0,1.0,10073651,0
