exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,611110,0
Not Available,,,,,0,0,1,0,1.0,212805,0
1465860476146024,"  %27 = getelementptr double# double* %phibase_17# i64 %relidx_6",47671135689568,47671135689572,2,1,0,0,0,inf,733101,2
Not Available,,,,,0,0,1,0,1.0,646821,0
Not Available,,,,,0,0,1,0,1.0,341386,0
Not Available,,,,,0,0,1,0,1.0,558150,0
Not Available,,,,,0,0,1,0,1.0,198666,0
1465860505510163,"  %27 = getelementptr double# double* %phibase_17# i64 %relidx_6",47321590057824,47321589009248,20,1,0,0,0,4.35726070021e+19,219245,2
Not Available,,,,,0,0,1,0,1.0,409226,0
1465860516439665,"  %20 = getelementptr double# double* %phibase_5# i64 %relidx_6",47807873496768,47807873496640,7,1,0,0,0,5.36055530569e+19,345446,2
Not Available,,,,,0,0,1,0,1.0,198666,0
Not Available,,,,,0,0,1,0,1.0,198666,0
Not Available,,,,,0,0,1,0,1.0,235765,0
1465860533938771,"  %27 = getelementptr double# double* %phibase_17# i64 %relidx_6",47720617917440,47720616868864,20,1,0,0,0,7.11366346611e+19,542730,2
Not Available,,,,,0,0,1,0,1.0,305926,0
Not Available,,,,,0,0,1,0,1.0,298310,0
Not Available,,,,,0,0,1,0,1.0,742026,0
Not Available,,,,,0,0,1,0,1.0,692165,0
Not Available,,,,,0,0,1,0,1.0,695050,0
1465860568012650,"  %22 = getelementptr double# double* %phibase_41# i64 %relidx_6",35241232,35241360,7,1,0,0,0,4.56975189615e+31,245965,2
Not Available,,,,,0,0,1,0,1.0,542730,0
Not Available,,,,,0,0,1,0,1.0,568550,0
Not Available,,,,,0,0,1,0,1.0,525013,0
Not Available,,,,,0,0,1,0,1.0,715413,0
Not Available,,,,,0,0,1,0,1.0,589638,0
Not Available,,,,,0,0,1,0,1.0,754010,0
Not Available,,,,,0,0,1,0,1.0,198666,0
Not Available,,,,,0,0,1,0,1.0,646821,0
1465860614712450,"  %27 = getelementptr double# double* %phibase_17# i64 %relidx_6",47138461397648,47138461397649,0,1,0,0,0,4.36174216147e+20,265226,2
1465860621848396,"  %20 = getelementptr double# double* %phibase_5# i64 %relidx_6",47827227160704,47827227127936,15,1,0,0,0,1.09682021572e+20,374538,2
