exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,84304214,0
1465860506193486,"  %258 = getelementptr double# double* %castinttoptr141# i64 %relidx_20",47275524748768,47275524748736,5,1,0,0,0,1207246336.23,305378446,2
Not Available,,,,,0,0,1,0,1.0,160808214,0
Not Available,,,,,0,0,1,0,1.0,22656966,0
1465860592878094,"  %113 = getelementptr double# double* %phibase_41# i64 %relidx_16",47433377833720,47433377833712,3,1,0,0,0,1304610913.81,137537438,2
Not Available,,,,,0,0,1,0,1.0,63812014,0
Not Available,,,,,0,0,1,0,1.0,78197294,0
Not Available,,,,,0,0,1,0,1.0,5026574,0
Not Available,,,,,0,0,1,0,1.0,265355582,0
Not Available,,,,,0,0,1,0,1.0,5691854,0
1465860701986922,"  %258 = getelementptr double# double* %castinttoptr141# i64 %relidx_20",27855456,27855458,1,1,0,0,0,1.37118958296e+306,5276030,2
Not Available,,,,,0,0,1,0,1.0,279834702,0
Not Available,,,,,0,0,1,0,1.0,100289582,0
Not Available,,,,,0,0,1,0,1.0,178859326,0
Not Available,,,,,0,0,1,0,1.0,18738734,0
Not Available,,,,,0,0,1,0,1.0,92053014,0
Not Available,,,,,0,0,1,0,1.0,4982582,0
1465860820684669,"  %258 = getelementptr double# double* %castinttoptr141# i64 %relidx_20",11294576,11294578,1,1,0,0,0,2.54993123742e+306,53069934,2
1465860845214821,"  %126 = getelementptr double# double* %castinttoptr84# i64 %relidx_16",47666022331040,47666022331044,2,1,0,0,0,1.78376480439e+308,189939214,2
Not Available,,,,,0,0,1,0,1.0,12288382,0
Not Available,,,,,0,0,1,0,1.0,150000326,0
Not Available,,,,,0,0,1,0,1.0,287465022,0
1465860949706184,"  %138 = getelementptr double# double* %castinttoptr90# i64 %relidx_16",47406784997448,47406784997452,2,1,0,0,0,597358593.273,132264014,2
Not Available,,,,,0,0,1,0,1.0,3336014,0
Not Available,,,,,0,0,1,0,1.0,196806166,0
Not Available,,,,,0,0,1,0,1.0,18387214,0
Not Available,,,,,0,0,1,0,1.0,64638350,0
Not Available,,,,,0,0,1,0,1.0,51547358,0
1465861068271068,"  %138 = getelementptr double# double* %castinttoptr90# i64 %relidx_16",47123676001272,47123676001240,5,1,0,0,0,1124570658.3,325871294,2
1465861126000578,"  %245 = getelementptr double# double* %phibase_123# i64 %relidx_19",47028465224768,47028465224784,4,1,0,0,0,1376037498.94,127405190,2
Not Available,,,,,0,0,1,0,1.0,120030254,0
Not Available,,,,,0,0,1,0,1.0,40143206,0
Not Available,,,,,0,0,1,0,1.0,266071454,0
1465861221243353,"  %270 = getelementptr double# double* %castinttoptr147# i64 %relidx_20",7118488,7134872,14,1,0,0,0,970756311.914,8419502,2
Not Available,,,,,0,0,1,0,1.0,85838014,0
1465861241366426,"  %138 = getelementptr double# double* %castinttoptr90# i64 %relidx_16",47184595222376,47184595222378,1,1,0,0,0,526574526.708,111550478,2
Not Available,,,,,0,0,1,0,1.0,201203406,0
Not Available,,,,,0,0,1,0,1.0,100691150,0
Not Available,,,,,0,0,1,0,1.0,75647474,0
Not Available,,,,,0,0,1,0,1.0,42726478,0
Not Available,,,,,0,0,1,0,1.0,112845774,0
Not Available,,,,,0,0,1,0,1.0,4688950,0
Not Available,,,,,0,0,1,0,1.0,82657326,0
1465861346852582,"  %245 = getelementptr double# double* %phibase_123# i64 %relidx_19",36365528,36365784,8,1,0,0,0,13490964.1434,44516014,2
Not Available,,,,,0,0,1,0,1.0,321880782,0
Not Available,,,,,0,0,1,0,1.0,14191022,0
Not Available,,,,,0,0,1,0,1.0,178127502,0
1465861419918226,"  %258 = getelementptr double# double* %castinttoptr141# i64 %relidx_20",47248279483856,47248279483857,0,1,0,0,0,1.52435382457e+308,96081278,2
Not Available,,,,,0,0,1,0,1.0,173272334,0
1465861467457054,"  %126 = getelementptr double# double* %castinttoptr84# i64 %relidx_16",47071118121016,47071118121020,2,1,0,0,0,580964928.928,101189310,2
Not Available,,,,,0,0,1,0,1.0,24018398,0
Not Available,,,,,0,0,1,0,1.0,33298678,0
Not Available,,,,,0,0,1,0,1.0,212215094,0
Not Available,,,,,0,0,1,0,1.0,266922702,0
1465861590201778,"  %138 = getelementptr double# double* %castinttoptr90# i64 %relidx_16",47367237955752,47367237955753,0,1,0,0,0,1.56899372138e+308,192188814,2
Not Available,,,,,0,0,1,0,1.0,74682394,0
Not Available,,,,,0,0,1,0,1.0,36951566,0
1465861652192323,"  %126 = getelementptr double# double* %castinttoptr84# i64 %relidx_16",47363880481192,47363880480936,8,1,0,0,0,1428837577.26,112972190,2
