exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,3416957,0
Not Available,,,,,0,0,1,0,1.0,3306947,0
Not Available,,,,,0,0,1,0,1.0,2613077,0
Not Available,,,,,0,0,1,0,1.0,2980807,0
1465860445229352,"  %25 = getelementptr double# double* %phibase_111# i64 %relidx_23",47778817545696,47778817545664,5,1,0,0,0,1.2647375495e+20,3285161,2
Not Available,,,,,0,0,1,0,1.0,3882875,0
Not Available,,,,,0,0,1,0,1.0,1514135,0
1465860486581392,"  %91 = getelementptr double# double* %castinttoptr3# i64 %relidx_25",17912696,17912664,5,1,0,0,0,4.42178566111e+19,2717557,2
1465860506615840,"  %89 = getelementptr double# double* %castinttoptr# i64 %relidx_25",47714956995408,47714956995440,5,1,0,0,0,7.33192546823e+19,1955807,2
Not Available,,,,,0,0,1,0,1.0,2373145,0
Not Available,,,,,0,0,1,0,1.0,3022387,0
Not Available,,,,,0,0,1,0,1.0,1141697,0
Not Available,,,,,0,0,1,0,1.0,1431617,0
Not Available,,,,,0,0,1,0,1.0,3566437,0
Not Available,,,,,0,0,1,0,1.0,2366987,0
1465860568794598,"  %35 = getelementptr double# double* %castinttoptr15# i64 %relidx_23",34857320,34857448,7,1,0,0,0,5.95377474158e+19,3665315,2
Not Available,,,,,0,0,1,0,1.0,3234607,0
Not Available,,,,,0,0,1,0,1.0,1660237,0
Not Available,,,,,0,0,1,0,1.0,2980807,0
1465860622681567,"  %91 = getelementptr double# double* %castinttoptr3# i64 %relidx_25",18546392,18542296,12,1,0,0,0,5.29517946991e+19,3573995,2
Not Available,,,,,0,0,1,0,1.0,3672977,0
1465860660140424,"  %89 = getelementptr double# double* %castinttoptr# i64 %relidx_25",47547538523984,47547538523992,3,1,0,0,0,8.74416554286e+19,3057257,2
Not Available,,,,,0,0,1,0,1.0,3409567,0
Not Available,,,,,0,0,1,0,1.0,3812261,0
Not Available,,,,,0,0,1,0,1.0,4090511,0
1465860714337619,"  %33 = getelementptr double# double* %castinttoptr12# i64 %relidx_24",47592936872056,47592936872048,3,1,0,0,0,8.63397618417e+19,1548785,2
Not Available,,,,,0,0,1,0,1.0,2203745,0
1465860734418395,"  %25 = getelementptr double# double* %phibase_111# i64 %relidx_23",47484106632736,47484106632737,0,1,0,0,0,8.35157521256e+20,1691305,2
1465860753556657,"  %89 = getelementptr double# double* %castinttoptr# i64 %relidx_25",47708579815112,47708579811016,12,1,0,0,0,8.50749925926e+19,3711407,2
1465860781442555,"  %35 = getelementptr double# double* %castinttoptr15# i64 %relidx_23",19537464,19537592,7,1,0,0,0,4.90267177274e+19,1967011,2
Not Available,,,,,0,0,1,0,1.0,2453927,0
Not Available,,,,,0,0,1,0,1.0,3765545,0
Not Available,,,,,0,0,1,0,1.0,1332875,0
Not Available,,,,,0,0,1,0,1.0,2587277,0
1465860828994084,"  %74 = getelementptr double# double* %phibase_87# i64 %relidx_24",32647936,32647952,4,1,0,0,0,4.63812470177e+19,2305847,2
Not Available,,,,,0,0,1,0,1.0,1422061,0
Not Available,,,,,0,0,1,0,1.0,1342127,0
Not Available,,,,,0,0,1,0,1.0,2191885,0
Not Available,,,,,0,0,1,0,1.0,3506261,0
Not Available,,,,,0,0,1,0,1.0,2516987,0
Not Available,,,,,0,0,1,0,1.0,2197811,0
Not Available,,,,,0,0,1,0,1.0,1967011,0
Not Available,,,,,0,0,1,0,1.0,1743725,0
Not Available,,,,,0,0,1,0,1.0,3249011,0
Not Available,,,,,0,0,1,0,1.0,1426835,0
Not Available,,,,,0,0,1,0,1.0,2127227,0
1465860922060839,"  %33 = getelementptr double# double* %castinttoptr12# i64 %relidx_24",47863866604904,47863866596712,13,1,0,0,0,1.07955950873e+20,4196357,2
Not Available,,,,,0,0,1,0,1.0,3092327,0
1465860962256824,"  %91 = getelementptr double# double* %castinttoptr3# i64 %relidx_25",31386712,31385688,10,1,0,0,0,5.94702973686e+19,2717557,2
Not Available,,,,,0,0,1,0,1.0,3543811,0
Not Available,,,,,0,0,1,0,1.0,1850965,0
Not Available,,,,,0,0,1,0,1.0,1171811,0
Not Available,,,,,0,0,1,0,1.0,1465315,0
Not Available,,,,,0,0,1,0,1.0,2939515,0
Not Available,,,,,0,0,1,0,1.0,3851411,0
Not Available,,,,,0,0,1,0,1.0,4082425,0
1465861039139528,"  %72 = getelementptr double# double* %phibase_133# i64 %relidx_25",47033195825624,47033195825628,2,1,0,0,0,inf,2898511,2
Not Available,,,,,0,0,1,0,1.0,1475015,0
Not Available,,,,,0,0,1,0,1.0,1264505,0
Not Available,,,,,0,0,1,0,1.0,1479877,0
1465861080860010,"  %91 = getelementptr double# double* %castinttoptr3# i64 %relidx_25",15701944,15701936,3,1,0,0,0,5.25285148963e+19,3665315,2
Not Available,,,,,0,0,1,0,1.0,2717557,0
Not Available,,,,,0,0,1,0,1.0,3249011,0
Not Available,,,,,0,0,1,0,1.0,1759607,0
Not Available,,,,,0,0,1,0,1.0,4139195,0
Not Available,,,,,0,0,1,0,1.0,2797261,0
1465861151709210,"  %91 = getelementptr double# double* %castinttoptr3# i64 %relidx_25",22668696,22668700,2,0,1,0,0,0.0,3898655,2
Not Available,,,,,0,0,1,0,1.0,1407787,0
Not Available,,,,,0,0,1,0,1.0,1712177,0
Not Available,,,,,0,0,1,0,1.0,1158857,0
Not Available,,,,,0,0,1,0,1.0,3589135,0
