exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,18246391,0
Not Available,,,,,0,0,1,0,1.0,140194159,0
Not Available,,,,,0,0,1,0,1.0,316119949,0
Not Available,,,,,0,0,1,0,1.0,111409162,0
1465860589492654,"  %250 = getelementptr double# double* %castinttoptr114# i64 %relidx_11",27041816,27041808,3,1,0,0,0,1414524012.7,31880932,2
Not Available,,,,,0,0,1,0,1.0,389841127,0
Not Available,,,,,0,0,1,0,1.0,107136223,0
Not Available,,,,,0,0,1,0,1.0,52925767,0
Not Available,,,,,0,0,1,0,1.0,101698207,0
Not Available,,,,,0,0,1,0,1.0,7461079,0
Not Available,,,,,0,0,1,0,1.0,312075727,0
1465860756829376,"  %255 = getelementptr double# double* %castinttoptr117# i64 %relidx_11",47135759038504,47135759038508,2,1,0,0,0,793988132.72,258251551,2
1465860816777649,"  %225 = getelementptr double# double* %castinttoptr99# i64 %relidx_10",47411754554592,47411754554594,1,1,0,0,0,734658426.554,352176325,2
Not Available,,,,,0,0,1,0,1.0,16632871,0
Not Available,,,,,0,0,1,0,1.0,14481727,0
Not Available,,,,,0,0,1,0,1.0,100540447,0
Not Available,,,,,0,0,1,0,1.0,98547532,0
Not Available,,,,,0,0,1,0,1.0,126362086,0
Not Available,,,,,0,0,1,0,1.0,398964265,0
Not Available,,,,,0,0,1,0,1.0,370534831,0
Not Available,,,,,0,0,1,0,1.0,136442887,0
Not Available,,,,,0,0,1,0,1.0,79833607,0
Not Available,,,,,0,0,1,0,1.0,87781327,0
Not Available,,,,,0,0,1,0,1.0,135482497,0
Not Available,,,,,0,0,1,0,1.0,301194736,0
1465861180464257,"  %246 = getelementptr double# double* %castinttoptr111# i64 %relidx_11",38835800,38836056,8,1,0,0,0,50272722.1295,15112951,2
Not Available,,,,,0,0,1,0,1.0,376852912,0
1465861279134069,"  %236 = getelementptr double# double* %castinttoptr105# i64 %relidx_11",47996667191008,47996667191010,1,1,0,0,0,733009988.241,146707558,2
1465861326078600,"  %255 = getelementptr double# double* %castinttoptr117# i64 %relidx_11",47972707375352,47972707375320,5,1,0,0,0,1162394919.78,338474572,2
Not Available,,,,,0,0,1,0,1.0,35934172,0
Not Available,,,,,0,0,1,0,1.0,489841135,0
Not Available,,,,,0,0,1,0,1.0,287040607,0
1465861495854190,"  %250 = getelementptr double# double* %castinttoptr114# i64 %relidx_11",7753848,7753840,3,1,0,0,0,1286528007.13,45439306,2
Not Available,,,,,0,0,1,0,1.0,420388360,0
Not Available,,,,,0,0,1,0,1.0,70759150,0
Not Available,,,,,0,0,1,0,1.0,278797957,0
Not Available,,,,,0,0,1,0,1.0,227900743,0
Not Available,,,,,0,0,1,0,1.0,32610247,0
Not Available,,,,,0,0,1,0,1.0,54764080,0
Not Available,,,,,0,0,1,0,1.0,172802842,0
Not Available,,,,,0,0,1,0,1.0,133372312,0
Not Available,,,,,0,0,1,0,1.0,290297527,0
Not Available,,,,,0,0,1,0,1.0,101824567,0
Not Available,,,,,0,0,1,0,1.0,47451832,0
1465861808493141,"  %260 = getelementptr double# double* %castinttoptr120# i64 %relidx_12",47951592395184,47951592395188,2,1,0,0,0,739888814.88,338125111,2
Not Available,,,,,0,0,1,0,1.0,345386167,0
1465861927081444,"  %255 = getelementptr double# double* %castinttoptr117# i64 %relidx_11",47300631577384,47300631576872,9,1,0,0,0,2018080762.11,365681959,2
Not Available,,,,,0,0,1,0,1.0,48261265,0
Not Available,,,,,0,0,1,0,1.0,213898975,0
1465862039060439,"  %250 = getelementptr double# double* %castinttoptr114# i64 %relidx_11",18563328,18563344,4,1,0,0,0,1290714204.71,115061335,2
Not Available,,,,,0,0,1,0,1.0,541910023,0
Not Available,,,,,0,0,1,0,1.0,146119984,0
1465862152192536,"  %241 = getelementptr double# double* %castinttoptr108# i64 %relidx_11",47425883929648,47425883929632,4,1,0,0,0,1416639115.76,84468247,2
1465862179830659,"  %221 = getelementptr double# double* %phibase_36# i64 %relidx_10",47551096396336,47551096397360,10,1,0,0,0,2108721639.45,205060471,2
Not Available,,,,,0,0,1,0,1.0,209378347,0
Not Available,,,,,0,0,1,0,1.0,10255903,0
Not Available,,,,,0,0,1,0,1.0,57082327,0
Not Available,,,,,0,0,1,0,1.0,490554799,0
Not Available,,,,,0,0,1,0,1.0,111505687,0
Not Available,,,,,0,0,1,0,1.0,6188812,0
1465862374673475,"  %241 = getelementptr double# double* %castinttoptr108# i64 %relidx_11",47402189985176,47402189987224,11,1,0,0,0,2031890500.24,296281447,2
Not Available,,,,,0,0,1,0,1.0,308506975,0
Not Available,,,,,0,0,1,0,1.0,294343342,0
Not Available,,,,,0,0,1,0,1.0,201475303,0
Not Available,,,,,0,0,1,0,1.0,54449017,0
Not Available,,,,,0,0,1,0,1.0,74904271,0
Not Available,,,,,0,0,1,0,1.0,53036512,0
Not Available,,,,,0,0,1,0,1.0,138925780,0
1465862571905851,"  %225 = getelementptr double# double* %castinttoptr99# i64 %relidx_10",22319856,22450928,17,1,0,0,0,142287864.025,10387447,3
Not Available,,,,,0,0,1,0,1.0,197065447,0
Not Available,,,,,0,0,1,0,1.0,10183732,0
Not Available,,,,,0,0,1,0,1.0,243930967,0
Not Available,,,,,0,0,1,0,1.0,136752280,0
Not Available,,,,,0,0,1,0,1.0,86913223,0
Not Available,,,,,0,0,1,0,1.0,9121255,0
Not Available,,,,,0,0,1,0,1.0,313187479,0
Not Available,,,,,0,0,1,0,1.0,295325926,0
Not Available,,,,,0,0,1,0,1.0,349519057,0
Not Available,,,,,0,0,1,0,1.0,12053455,0
