exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1465860457700728,"  %162 = getelementptr double# double* %phibase_29# i64 %relidx_13",47590244826880,47590244826624,8,1,0,0,0,9.46032066926e+20,40057626,2
Not Available,,,,,0,0,1,0,1.0,93895760,0
Not Available,,,,,0,0,1,0,1.0,23674722,0
1465860506522230,"  %157 = getelementptr double# double* %phibase_91# i64 %relidx_14",47915775408880,47915775408848,5,1,0,0,0,1.08082198312e+20,34595822,2
Not Available,,,,,0,0,1,0,1.0,94931174,0
Not Available,,,,,0,0,1,0,1.0,32764337,0
Not Available,,,,,0,0,1,0,1.0,49655806,0
Not Available,,,,,0,0,1,0,1.0,94282215,0
Not Available,,,,,0,0,1,0,1.0,45955592,0
1465860597998032,"  %157 = getelementptr double# double* %phibase_91# i64 %relidx_14",47330624457816,47330624457800,4,1,0,0,0,1.0564986979e+20,64849763,2
Not Available,,,,,0,0,1,0,1.0,55594945,0
Not Available,,,,,0,0,1,0,1.0,37507161,0
Not Available,,,,,0,0,1,0,1.0,59621346,0
1465860668470212,"  %170 = getelementptr double# double* %castinttoptr30# i64 %relidx_14",47188854959584,47188854951392,13,1,0,0,0,4.95235363254e+20,76984355,2
Not Available,,,,,0,0,1,0,1.0,94452601,0
Not Available,,,,,0,0,1,0,1.0,44467322,0
Not Available,,,,,0,0,1,0,1.0,22239498,0
1465860743546912,"  %162 = getelementptr double# double* %phibase_29# i64 %relidx_13",47607440510072,47607440510008,6,1,0,0,0,2.68761253955e+20,117377029,2
1465860781208363,"  %157 = getelementptr double# double* %phibase_91# i64 %relidx_14",47141562555960,47141562556088,7,1,0,0,0,1.14776633781e+20,45569253,2
1465860802901100,"  %170 = getelementptr double# double* %castinttoptr30# i64 %relidx_14",47578594327408,47578594327409,0,1,0,0,0,7.45014399869e+20,52884132,2
Not Available,,,,,0,0,1,0,1.0,73445564,0
1465860841409523,"  %162 = getelementptr double# double* %phibase_29# i64 %relidx_13",47827796143096,47827796142968,7,1,0,0,0,3.68058184477e+20,35381746,2
Not Available,,,,,0,0,1,0,1.0,68708546,0
Not Available,,,,,0,0,1,0,1.0,74423689,0
1465860882457747,"  %175 = getelementptr double# double* %castinttoptr33# i64 %relidx_13",47315587139008,47315587007936,17,1,0,0,0,3.21269336136e+40,23688152,2
Not Available,,,,,0,0,1,0,1.0,119704564,0
Not Available,,,,,0,0,1,0,1.0,36303340,0
1465860951505711,"  %170 = getelementptr double# double* %castinttoptr30# i64 %relidx_14",47477293881064,47477293881068,2,1,0,0,0,inf,124999752,2
Not Available,,,,,0,0,1,0,1.0,106720866,0
Not Available,,,,,0,0,1,0,1.0,99637666,0
Not Available,,,,,0,0,1,0,1.0,29363536,0
Not Available,,,,,0,0,1,0,1.0,18514220,0
Not Available,,,,,0,0,1,0,1.0,53753770,0
Not Available,,,,,0,0,1,0,1.0,21948516,0
Not Available,,,,,0,0,1,0,1.0,32946102,0
Not Available,,,,,0,0,1,0,1.0,66749986,0
Not Available,,,,,0,0,1,0,1.0,36632946,0
Not Available,,,,,0,0,1,0,1.0,67388662,0
1465861117234247,"  %170 = getelementptr double# double* %castinttoptr30# i64 %relidx_14",47756859659040,47756860183328,19,1,0,0,0,inf,18571220,2
Not Available,,,,,0,0,1,0,1.0,64209946,0
1465861162930261,"  %170 = getelementptr double# double* %castinttoptr30# i64 %relidx_14",47750873308080,47750873307952,7,1,0,0,0,1.21529059393e+20,121929474,2
Not Available,,,,,0,0,1,0,1.0,62748743,0
Not Available,,,,,0,0,1,0,1.0,56893240,0
Not Available,,,,,0,0,1,0,1.0,20049532,0
Not Available,,,,,0,0,1,0,1.0,51193988,0
1465861258703852,"  %170 = getelementptr double# double* %castinttoptr30# i64 %relidx_14",47753340872720,47753340872752,5,1,0,0,0,1.26244948995e+20,100205276,2
Not Available,,,,,0,0,1,0,1.0,54473972,0
1465861310448208,"  %157 = getelementptr double# double* %phibase_91# i64 %relidx_14",47224671978040,47224671979064,10,1,0,0,0,3.32721705461e+20,91972783,2
Not Available,,,,,0,0,1,0,1.0,51944068,0
Not Available,,,,,0,0,1,0,1.0,38941657,0
1465861369558891,"  %157 = getelementptr double# double* %phibase_91# i64 %relidx_14",47847348408648,47847348146504,18,1,0,0,0,6.18936025943e+20,66876488,2
Not Available,,,,,0,0,1,0,1.0,86295957,0
