exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,285464167,0
Not Available,,,,,0,0,1,0,1.0,601347607,0
Not Available,,,,,0,0,1,0,1.0,519839047,0
Not Available,,,,,0,0,1,0,1.0,183655927,0
1465860235945136,"  %162 = add i64 %217# %15",3318,36086,15,1,0,0,0,0.00166,401907751,1
1465860326673374,"  %97 = add nsw i32 %injectError24# %injectError",10883,10887,2,1,0,0,0,5.70000000001e-05,538169287,1
1465860447220255,"  %114 = sub i64 %injectError54# %phidx_18",0,-9223372036854775808,63,0,1,0,0,0.0,645294607,1
Not Available,,,,,0,0,1,0,1.0,185256487,0
1465860588032988,"  %76 = mul nsw i32 %60# %",2891,2827,6,1,0,0,0,9.99999999973e-07,171397183,1
Not Available,,,,,0,0,1,0,1.0,217686719,0
Not Available,,,,,0,0,1,0,1.0,122001667,0
Not Available,,,,,0,0,1,0,1.0,134310019,0
Not Available,,,,,0,0,1,0,1.0,153586963,0
Not Available,,,,,0,0,1,0,1.0,219301351,0
1465860717981692,"  %80 = add nsw i32 %60# -",18,26,3,1,0,0,0,1.00000000014e-06,104717047,1
Not Available,,,,,0,0,1,0,1.0,706729327,0
Not Available,,,,,0,0,1,0,1.0,106611427,0
1465860801996382,"  %63 = sub i64 %injectError39# %phidx_14",-1,-4611686018427387905,62,0,1,0,0,0.0,46103815,1
1465860824876628,"  %69 = sext i32 %injectError43 to i6",1323,1291,5,1,0,0,0,1.00000000014e-06,210474007,1
Not Available,,,,,0,0,1,0,1.0,105771967,0
Not Available,,,,,0,0,1,0,1.0,586586887,0
Not Available,,,,,0,0,1,0,1.0,367496947,0
Not Available,,,,,0,0,1,0,1.0,533269447,0
Not Available,,,,,0,0,1,0,1.0,537196471,0
Not Available,,,,,0,0,1,0,1.0,346978807,0
Not Available,,,,,0,0,1,0,1.0,882812287,0
1465861448296576,"  %202 = add nuw nsw i64 %164# ",68,274877907012,38,0,1,0,0,0.0,199960999,0
Not Available,,,,,0,0,1,0,1.0,61715335,0
Not Available,,,,,0,0,1,0,1.0,470132755,0
Not Available,,,,,0,0,1,0,1.0,573086191,0
Not Available,,,,,0,0,1,0,1.0,579128263,0
Not Available,,,,,0,0,1,0,1.0,135763747,0
1465861742233291,"  %91 = mul nsw i32 %80# %",3108,35876,15,1,0,0,0,1.00000000014e-06,545093311,1
1465861833810595,"  %80 = add nsw i32 %60# -",50,34,4,1,0,0,0,1024103035.0,263989447,1
Not Available,,,,,0,0,1,0,1.0,36863647,0
Not Available,,,,,0,0,1,0,1.0,109166179,0
1465861929990227,"  %87 = shl i64 %injectError52# 3",43538083479552,43538084003840,19,0,1,0,0,0.0,491861815,0
Not Available,,,,,0,0,1,0,1.0,118337551,0
1465862036165725,"  %93 = sext i32 %injectError25 to i6",2382,4611686018427390286,62,0,1,0,0,0.0,150095455,1
Not Available,,,,,0,0,1,0,1.0,180858967,0
1465862079353576,"  %114 = sub i64 %injectError54# %phidx_18",0,8,3,1,0,0,0,2078107279.32,78665587,3
Not Available,,,,,0,0,1,0,1.0,40090767,0
Not Available,,,,,0,0,1,0,1.0,86333215,0
1465862123436535,"  %160 = shl i64 %injectError13# 3",11381663334400,11381663350784,14,0,1,0,0,0.0,255268447,0
1465862185088878,"  %168 = sext i32 %injectError17 to i6",3058,11250,13,1,0,0,0,1.00000000014e-06,372928639,1
Not Available,,,,,0,0,1,0,1.0,72878087,0
Not Available,,,,,0,0,1,0,1.0,805027867,0
Not Available,,,,,0,0,1,0,1.0,716793175,0
1465862488117302,"  %148 = mul nsw i64 %injectError83# %injectError3",1364,8589935956,33,0,1,0,0,0.0,105060319,0
Not Available,,,,,0,0,1,0,1.0,304238575,0
Not Available,,,,,0,0,1,0,1.0,130942663,0
1465862616435540,"  %80 = add nsw i32 %60# -",77,79,1,1,0,0,0,0.000186,566128031,1
Not Available,,,,,0,0,1,0,1.0,934960183,0
1465862826084361,"  %160 = shl i64 %injectError13# 3",6987911790592,6988985532416,30,0,1,0,0,0.0,74811367,0
Not Available,,,,,0,0,1,0,1.0,342184507,0
Not Available,,,,,0,0,1,0,1.0,178553107,0
1465862955015180,"  %110 = sext i32 %injectError66 to i6",2294,18678,14,1,0,0,0,4e-05,368324407,1
1465863022780638,"  %163 = shl i64 %injectError90# 3",12309376270336,12309376270464,7,0,1,0,0,0.0,182371147,0
Not Available,,,,,0,0,1,0,1.0,373751863,0
Not Available,,,,,0,0,1,0,1.0,662867047,0
Not Available,,,,,0,0,1,0,1.0,388569223,0
1465863255768601,"  %163 = shl i64 %injectError90# 3",13138304958464,13155484827648,34,0,1,0,0,0.0,116456191,1
Not Available,,,,,0,0,1,0,1.0,392751367,0
Not Available,,,,,0,0,1,0,1.0,789992107,0
Not Available,,,,,0,0,1,0,1.0,457399495,0
Not Available,,,,,0,0,1,0,1.0,257703823,0
Not Available,,,,,0,0,1,0,1.0,489384175,0
Not Available,,,,,0,0,1,0,1.0,292696411,0
Not Available,,,,,0,0,1,0,1.0,103158727,0
Not Available,,,,,0,0,1,0,1.0,472719007,0
Not Available,,,,,0,0,1,0,1.0,44595987,0
Not Available,,,,,0,0,1,0,1.0,291426919,0
1465863866321563,"  %153 = add nsw i32 %141# -",77,76,0,1,0,0,0,0.001162,554935507,1
Not Available,,,,,0,0,1,0,1.0,602852567,0
1465864021149404,"  %162 = add i64 %217# %15",4527,4271,8,1,0,0,0,1.00000000014e-06,258056359,1
1465864070764666,"  %163 = shl i64 %injectError90# 3",22990959935488,22990959935520,5,0,1,0,0,0.0,207459943,0
Not Available,,,,,0,0,1,0,1.0,172520719,0
1465864163267310,"  %95 = sext i32 %injectError56 to i6",6581,7093,9,1,0,0,0,1.00000000014e-06,421676807,1
Not Available,,,,,0,0,1,0,1.0,585123007,0
Not Available,,,,,0,0,1,0,1.0,314726419,0
1465864396132535,"  %97 = add nsw i32 %injectError24# %injectError",5243,5499,8,1,0,0,0,1.00000000014e-06,223670751,1
Not Available,,,,,0,0,1,0,1.0,549012559,0
Not Available,,,,,0,0,1,0,1.0,113956343,0
Not Available,,,,,0,0,1,0,1.0,169296847,0
1465864556648748,"  %87 = shl i64 %injectError52# 3",3740916514816,3740916515072,8,0,1,0,0,0.0,69996551,0
1465864570672223,"  %86 = add i64 %injectError5# %8",4294968244,1125904201810868,50,0,1,0,0,0.0,58120267,0
1465864599148650,"  %97 = add nsw i32 %injectError24# %injectError",367,4463,12,1,0,0,0,4.00000000012e-06,297466579,1
Not Available,,,,,0,0,1,0,1.0,162514671,0
Not Available,,,,,0,0,1,0,1.0,91545487,0
1465864708896019,"  %94 = add nsw i32 %84# %injectError",5573,5317,8,1,0,0,0,1.00000000014e-06,465368527,1
Not Available,,,,,0,0,1,0,1.0,373833495,0
1465864873754074,"  %62 = add nsw i32 %60# %injectError",1365,9557,13,1,0,0,0,4.00000000012e-06,540203599,1
Not Available,,,,,0,0,1,0,1.0,50961967,0
Not Available,,,,,0,0,1,0,1.0,517003767,0
1465865061696471,"  %76 = mul nsw i32 %60# %",2540,2508,5,1,0,0,0,3.0000000002e-06,843943507,1
Not Available,,,,,0,0,1,0,1.0,967374007,0
1465865308530351,"  %76 = mul nsw i32 %60# %",1300,1308,3,1,0,0,0,1.00000000003e-06,145080007,1
Not Available,,,,,0,0,1,0,1.0,292565203,0
1465865387564628,"  %160 = shl i64 %injectError13# 3",390842023936,390842089472,16,0,1,0,0,0.0,42369007,0
Not Available,,,,,0,0,1,0,1.0,184287047,0
Not Available,,,,,0,0,1,0,1.0,302095555,0
Not Available,,,,,0,0,1,0,1.0,64829167,0
1465865463342526,"  %92 = add nsw i32 %injectError8# %injectError2",2168,2169,0,1,0,0,0,1.00000000003e-06,189731143,1
Not Available,,,,,0,0,1,0,1.0,564450439,0
Not Available,,,,,0,0,1,0,1.0,157514947,0
1465865679621582,"  %78 = sub i64 %injectError49# %injectError4",-109,-4611686018427388013,62,0,1,0,0,0.0,528991315,1
1465865756090279,"  %91 = mul nsw i32 %80# %",416,8608,13,1,0,0,0,1.00000000014e-06,44472847,1
1465865771172442,"  %72 = sub i64 %injectError39# %phidx_18",-1,-2305843009213693953,61,0,1,0,0,0.0,114305367,1
Not Available,,,,,0,0,1,0,1.0,76708375,0
Not Available,,,,,0,0,1,0,1.0,330309007,0
Not Available,,,,,0,0,1,0,1.0,355468407,0
Not Available,,,,,0,0,1,0,1.0,379260487,0
Not Available,,,,,0,0,1,0,1.0,370786147,0
Not Available,,,,,0,0,1,0,1.0,64715967,0
1465866067206616,"  %203 = add nuw nsw i32 %165# ",51,1075,10,1,0,0,0,1133126167.31,383095879,1
Not Available,,,,,0,0,1,0,1.0,172295767,0
Not Available,,,,,0,0,1,0,1.0,267704887,0
Not Available,,,,,0,0,1,0,1.0,687397507,0
Not Available,,,,,0,0,1,0,1.0,822411967,0
Not Available,,,,,0,0,1,0,1.0,209070847,0
Not Available,,,,,0,0,1,0,1.0,92711535,0
Not Available,,,,,0,0,1,0,1.0,423275107,0
1465866502901269,"  %68 = add nsw i32 %injectError42# %injectError",6822,6886,6,1,0,0,0,1.00000000014e-06,962847607,1
Not Available,,,,,0,0,1,0,1.0,275558239,0
Not Available,,,,,0,0,1,0,1.0,220270207,0
Not Available,,,,,0,0,1,0,1.0,861348799,0
Not Available,,,,,0,0,1,0,1.0,335626747,0
Not Available,,,,,0,0,1,0,1.0,377537847,0
Not Available,,,,,0,0,1,0,1.0,631095847,0
Not Available,,,,,0,0,1,0,1.0,846871123,0
Not Available,,,,,0,0,1,0,1.0,85572091,0
Not Available,,,,,0,0,1,0,1.0,539778439,0
Not Available,,,,,0,0,1,0,1.0,236831511,0
Not Available,,,,,0,0,1,0,1.0,805901263,0
1465867385309414,"  %188 = sext i32 %injectError59 to i6",1371,-9223372036854774437,63,0,1,0,0,0.0,75259047,1
Not Available,,,,,0,0,1,0,1.0,817752679,0
Not Available,,,,,0,0,1,0,1.0,112240559,0
Not Available,,,,,0,0,1,0,1.0,292696411,0
1465867533396336,"  %158 = add nsw i32 %156# %injectError7",605,1629,10,1,0,0,0,1.00000000014e-06,109302079,1
Not Available,,,,,0,0,1,0,1.0,643243507,0
1465867660669640,"  %86 = add i64 %injectError5# %8",4294969409,4294969417,3,1,0,0,0,1.00000000014e-06,469430347,1
Not Available,,,,,0,0,1,0,1.0,229877007,0
Not Available,,,,,0,0,1,0,1.0,449322559,0
Not Available,,,,,0,0,1,0,1.0,736701863,0
Not Available,,,,,0,0,1,0,1.0,410571007,0
1465868050284831,"  %170 = add nsw i32 %157# %13",2444,2445,0,1,0,0,0,1.00000000014e-06,451301387,1
Not Available,,,,,0,0,1,0,1.0,111144511,0
Not Available,,,,,0,0,1,0,1.0,515851147,0
1465868269618626,"  %67 = mul nsw i32 %injectError41# %",2782,3806,10,1,0,0,0,4.9e-05,422998387,1
Not Available,,,,,0,0,1,0,1.0,129108955,0
Not Available,,,,,0,0,1,0,1.0,659650747,0
1465868467298314,"  %170 = add nsw i32 %157# %13",1103,1099,2,1,0,0,0,367740532.51,77683039,1
Not Available,,,,,0,0,1,0,1.0,408762907,0
1465868541752317,"  %78 = sext i32 %injectError48 to i6",1033,5129,12,1,0,0,0,1.00000000014e-06,80947207,1
1465868559776988,"  %110 = sub i64 %injectError67# %injectError2",1,33,5,1,0,0,0,2087479884.0,96381967,3
1465868585160584,"  %66 = add nsw i32 %60# ",6,70,6,1,0,0,0,1.00000000014e-06,164538875,1
Not Available,,,,,0,0,1,0,1.0,129909847,0
Not Available,,,,,0,0,1,0,1.0,662046667,0
1465868716824577,"  %87 = shl i64 %injectError52# 3",10226317131776,14624363642880,42,1,0,0,0,1.00000000014e-06,129936247,1
Not Available,,,,,0,0,1,0,1.0,585295207,0
Not Available,,,,,0,0,1,0,1.0,430279927,0
1465868986386143,"  %124 = add nuw nsw i64 %83# ",70,2305843009213694022,61,0,1,0,0,0.0,496329907,0
1465869070038282,"  %162 = add i64 %217# %15",286,9007199254741278,53,0,1,0,0,0.0,129144995,0
Not Available,,,,,0,0,1,0,1.0,796051607,0
Not Available,,,,,0,0,1,0,1.0,150820999,0
1465869305205246,"  %161 = ashr exact i64 %injectError14# 3",6043,8091,11,1,0,0,0,1.00000000014e-06,457008307,1
Not Available,,,,,0,0,1,0,1.0,789992107,0
1465869481393175,"  %159 = add i64 %128# %15",4294978717,72057598332906653,56,0,1,0,0,0.0,815635207,0
Not Available,,,,,0,0,1,0,1.0,55752391,0
1465869645856626,"  %78 = sext i32 %injectError48 to i6",9068,4611686018427396972,62,0,1,0,0,0.0,513367711,1
1465869730609098,"  %110 = sext i32 %injectError66 to i6",1517,2029,9,1,0,0,0,1.00000000014e-06,190727599,1
Not Available,,,,,0,0,1,0,1.0,147029283,0
Not Available,,,,,0,0,1,0,1.0,205138663,0
Not Available,,,,,0,0,1,0,1.0,230220107,0
Not Available,,,,,0,0,1,0,1.0,44769267,0
Not Available,,,,,0,0,1,0,1.0,107592351,0
Not Available,,,,,0,0,1,0,1.0,186125159,0
Not Available,,,,,0,0,1,0,1.0,164249703,0
Not Available,,,,,0,0,1,0,1.0,397214935,0
Not Available,,,,,0,0,1,0,1.0,45291007,0
1465869989834607,"  %76 = mul nsw i32 %60# %",456,460,2,1,0,0,0,1.00000000003e-06,82944583,1
Not Available,,,,,0,0,1,0,1.0,241458627,0
Not Available,,,,,0,0,1,0,1.0,54349207,0
Not Available,,,,,0,0,1,0,1.0,234045259,0
Not Available,,,,,0,0,1,0,1.0,191110399,0
Not Available,,,,,0,0,1,0,1.0,822939271,0
1465870207950246,"  %161 = sub i64 %injectError15# %phidx_15",0,16384,14,1,0,0,0,0.096305,295835707,3
Not Available,,,,,0,0,1,0,1.0,584791983,0
Not Available,,,,,0,0,1,0,1.0,83397451,0
Not Available,,,,,0,0,1,0,1.0,305323047,0
Not Available,,,,,0,0,1,0,1.0,481758079,0
Not Available,,,,,0,0,1,0,1.0,395831779,0
Not Available,,,,,0,0,1,0,1.0,156729943,0
Not Available,,,,,0,0,1,0,1.0,424846543,0
Not Available,,,,,0,0,1,0,1.0,231350263,0
Not Available,,,,,0,0,1,0,1.0,713049231,0
1465870870802067,"  %167 = sub i64 %injectError88# %phidx_20",-1,-9,3,1,0,0,0,2143768650.71,894118507,3
Not Available,,,,,0,0,1,0,1.0,204236767,0
Not Available,,,,,0,0,1,0,1.0,215370247,0
Not Available,,,,,0,0,1,0,1.0,757726795,0
Not Available,,,,,0,0,1,0,1.0,187950211,0
Not Available,,,,,0,0,1,0,1.0,48692167,0
Not Available,,,,,0,0,1,0,1.0,59191035,0
Not Available,,,,,0,0,1,0,1.0,457237447,0
1465871294616258,"  %66 = add nsw i32 %60# ",18,19,0,0,1,0,0,0.0,87888487,1
1465871310473219,"  %202 = add nuw nsw i64 %164# ",8,576460752303423496,59,0,1,0,0,0.0,38205427,0
1465871362173794,"  %68 = add nsw i32 %injectError42# %injectError",3442,3410,5,1,0,0,0,1.00000000014e-06,697473943,1
Not Available,,,,,0,0,1,0,1.0,404570767,0
Not Available,,,,,0,0,1,0,1.0,206481127,0
Not Available,,,,,0,0,1,0,1.0,357114643,0
Not Available,,,,,0,0,1,0,1.0,41317087,0
Not Available,,,,,0,0,1,0,1.0,148576639,0
1465871657088584,"  %159 = add i64 %128# %15",4294971359,4294971103,8,1,0,0,0,1.00000000014e-06,705376519,1
Not Available,,,,,0,0,1,0,1.0,462616455,0
Not Available,,,,,0,0,1,0,1.0,497308647,0
Not Available,,,,,0,0,1,0,1.0,56540647,0
Not Available,,,,,0,0,1,0,1.0,61325635,0
Not Available,,,,,0,0,1,0,1.0,107992375,0
1465871940211134,"  %162 = add i64 %217# %15",2488,34359740856,35,0,1,0,0,0.0,495703159,0
1465872017400779,"  %91 = mul nsw i32 %80# %",1219,1251,5,1,0,0,0,1.00000000014e-06,133642039,1
Not Available,,,,,0,0,1,0,1.0,787037947,0
Not Available,,,,,0,0,1,0,1.0,141657607,0
