exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,693250,0
Not Available,,,,,0,0,1,0,1.0,736858,0
1465859915297388,"  %101 = add nsw i64 %85# ",44,45,0,1,0,0,0,6.23875751215e+27,812404,0
Not Available,,,,,0,0,1,0,1.0,1026442,0
1465859924616960,"  %94 = add nsw i64 %injectError3# %4",95613,95612,0,1,0,0,0,4.22396936358e+27,555950,0
Not Available,,,,,0,0,1,0,1.0,641158,0
Not Available,,,,,0,0,1,0,1.0,740074,0
Not Available,,,,,0,0,1,0,1.0,780307,0
Not Available,,,,,0,0,1,0,1.0,665155,0
1465859941052355,"  %99 = sub i64 %94# %phidx_9",1,9,3,1,0,0,0,inf,770969,2
1465859946735425,"  %93 = or i64 %85# ",217,-9223372036854775591,63,0,1,0,0,0.0,601714,0
Not Available,,,,,0,0,1,0,1.0,672898,0
Not Available,,,,,0,0,1,0,1.0,751960,0
Not Available,,,,,0,0,1,0,1.0,713842,0
Not Available,,,,,0,0,1,0,1.0,1001066,0
1465859963220590,"  %93 = or i64 %85# ",243,179,6,1,0,0,0,6.67234220852e+27,511434,0
Not Available,,,,,0,0,1,0,1.0,1029898,0
Not Available,,,,,0,0,1,0,1.0,895498,0
Not Available,,,,,0,0,1,0,1.0,901471,0
Not Available,,,,,0,0,1,0,1.0,973090,0
Not Available,,,,,0,0,1,0,1.0,930676,0
Not Available,,,,,0,0,1,0,1.0,699345,0
Not Available,,,,,0,0,1,0,1.0,1087638,0
Not Available,,,,,0,0,1,0,1.0,724210,0
Not Available,,,,,0,0,1,0,1.0,776215,0
Not Available,,,,,0,0,1,0,1.0,584452,0
Not Available,,,,,0,0,1,0,1.0,847750,0
1465860006493048,"  %97 = sub i64 %injectError34# %phidx_2",1,-9223372036854775807,63,0,1,0,0,0.0,994080,0
Not Available,,,,,0,0,1,0,1.0,557296,0
Not Available,,,,,0,0,1,0,1.0,514034,0
Not Available,,,,,0,0,1,0,1.0,600610,0
Not Available,,,,,0,0,1,0,1.0,1021905,0
Not Available,,,,,0,0,1,0,1.0,1119982,0
1465860028918522,"  %97 = sub i64 %injectError34# %phidx_2",1,33,5,1,0,0,0,3.29401343443e+31,991716,2
1465860034996372,"  %94 = sub i64 %injectError4# %8",1,17,4,1,0,0,0,1.47815237032e+31,607558,2
Not Available,,,,,0,0,1,0,1.0,897526,0
1465860044278180,"  %101 = add nsw i64 %85# ",64,192,7,1,0,0,0,7.04820190386e+52,1227103,0
Not Available,,,,,0,0,1,0,1.0,929224,0
Not Available,,,,,0,0,1,0,1.0,657100,0
Not Available,,,,,0,0,1,0,1.0,852120,0
Not Available,,,,,0,0,1,0,1.0,685402,0
Not Available,,,,,0,0,1,0,1.0,699730,0
Not Available,,,,,0,0,1,0,1.0,563365,0
1465860071869935,"  %97 = add nsw i64 %94# %injectError2",19136,2305843009213713088,61,0,1,0,0,0.0,443425,0
Not Available,,,,,0,0,1,0,1.0,1202884,0
Not Available,,,,,0,0,1,0,1.0,642250,0
Not Available,,,,,0,0,1,0,1.0,905187,0
Not Available,,,,,0,0,1,0,1.0,504010,0
Not Available,,,,,0,0,1,0,1.0,1227964,0
Not Available,,,,,0,0,1,0,1.0,934210,0
1465860096663457,"  %94 = add nsw i64 %injectError3# %4",112443,112435,3,1,0,0,0,1.57337617997e+27,710899,0
1465860101903281,"  %94 = sub i64 %injectError4# %8",1,5,2,1,0,0,0,5.19175309165e+30,723610,2
Not Available,,,,,0,0,1,0,1.0,652330,0
1465860109648453,"  %101 = add nsw i64 %85# ",42,10,5,1,0,0,0,1.86101709519e+28,546730,0
1465860115410506,"  %93 = or i64 %85# ",311,307,2,1,0,0,0,1.64865673541e+27,1222630,0
Not Available,,,,,0,0,1,0,1.0,793026,0
Not Available,,,,,0,0,1,0,1.0,754018,0
Not Available,,,,,0,0,1,0,1.0,1187042,0
Not Available,,,,,0,0,1,0,1.0,680869,0
Not Available,,,,,0,0,1,0,1.0,851302,0
Not Available,,,,,0,0,1,0,1.0,652578,0
1465860142856740,"  %93 = or i64 %85# ",303,815,9,1,0,0,0,8.46489582419e+49,609780,0
1465860147677606,"  %96 = sub i64 %injectError3# %8",1,9,3,1,0,0,0,inf,652001,2
1465860153394968,"  %94 = sub i64 %injectError4# %8",1,65,6,1,0,0,0,1.7232010723e+31,1173754,2
1465860161701707,"  %94 = sub i64 %injectError4# %8",1,33,5,1,0,0,0,2.91354703132e+31,880750,2
Not Available,,,,,0,0,1,0,1.0,1201910,0
1465860171306705,"  %173 = add nsw i64 %injectError41# %injectError2",112293,112289,2,1,0,0,0,9.71774478059e+29,637850,0
Not Available,,,,,0,0,1,0,1.0,580170,0
Not Available,,,,,0,0,1,0,1.0,520270,0
Not Available,,,,,0,0,1,0,1.0,537976,0
1465860185666796,"  %101 = add nsw i64 %85# ",18,4611686018427387922,62,0,1,0,0,0.0,685030,0
Not Available,,,,,0,0,1,0,1.0,494710,0
1465860193912446,"  %94 = sub i64 %injectError4# %8",1,3,1,1,0,0,0,1.7108574377e+31,749182,2
Not Available,,,,,0,0,1,0,1.0,761260,0
Not Available,,,,,0,0,1,0,1.0,536458,0
1465860206059540,"  %96 = sub i64 %injectError3# %8",1,65,6,1,0,0,0,inf,837145,2
Not Available,,,,,0,0,1,0,1.0,736654,0
Not Available,,,,,0,0,1,0,1.0,893779,0
1465860218655117,"  %101 = add nsw i64 %85# ",46,558,9,1,0,0,0,1.6434439325e+41,557210,0
Not Available,,,,,0,0,1,0,1.0,692048,0
1465860226185104,"  %166 = or i64 %164# ",81,80,0,1,0,0,0,7.7914700506e+29,611794,0
Not Available,,,,,0,0,1,0,1.0,755866,0
Not Available,,,,,0,0,1,0,1.0,1139594,0
1465860239459658,"  %173 = add nsw i64 %injectError41# %injectError2",173709,140941,15,1,0,0,0,4.53946672777e+29,1090030,0
Not Available,,,,,0,0,1,0,1.0,595283,0
Not Available,,,,,0,0,1,0,1.0,890470,0
Not Available,,,,,0,0,1,0,1.0,431371,0
Not Available,,,,,0,0,1,0,1.0,940712,0
Not Available,,,,,0,0,1,0,1.0,830310,0
Not Available,,,,,0,0,1,0,1.0,878426,0
Not Available,,,,,0,0,1,0,1.0,474508,0
Not Available,,,,,0,0,1,0,1.0,1017052,0
Not Available,,,,,0,0,1,0,1.0,772222,0
1465860275605400,"  %93 = or i64 %85# ",339,4435,12,1,0,0,0,1.28768663626e+27,1062106,0
Not Available,,,,,0,0,1,0,1.0,1142596,0
1465860286283653,"  %97 = sub i64 %injectError34# %phidx_2",1,-9223372036854775807,63,0,1,0,0,0.0,689790,0
Not Available,,,,,0,0,1,0,1.0,1142074,0
Not Available,,,,,0,0,1,0,1.0,527647,0
Not Available,,,,,0,0,1,0,1.0,786957,0
Not Available,,,,,0,0,1,0,1.0,1012216,0
1465860304912553,"  %173 = add nsw i64 %injectError41# %injectError2",61495,61494,0,1,0,0,0,6.8807096214e+29,846317,0
1465860311706744,"  %93 = or i64 %85# ",147,659,9,1,0,0,0,3.41537788372e+49,828110,0
Not Available,,,,,0,0,1,0,1.0,722152,0
1465860320218407,"  %94 = sub i64 %injectError4# %8",1,2305843009213693953,61,0,1,0,0,0.0,549730,0
Not Available,,,,,0,0,1,0,1.0,975475,0
1465860329256003,"  %186 = add i64 %164# ",220,216,2,1,0,0,0,8.34071469354e+29,907203,0
1465860335277751,"  %97 = add nsw i64 %94# %injectError2",55864,55848,4,1,0,0,0,1.35380772265e+27,585628,0
Not Available,,,,,0,0,1,0,1.0,1233186,0
1465860344715109,"  %186 = add i64 %164# ",272,276,2,1,0,0,0,8.32308190239e+29,779460,0
1465860350842330,"  %97 = add nsw i64 %94# %injectError2",24780,26828,11,1,0,0,0,1.26629588328e+26,872116,0
Not Available,,,,,0,0,1,0,1.0,851244,0
1465860360198931,"  %93 = or i64 %85# ",409,401,3,1,0,0,0,8.57479501762e+26,874422,0
1465860366606015,"  %93 = or i64 %85# ",221,2305843009213694173,61,0,1,0,0,0.0,779578,0
1465860372655902,"  %97 = add nsw i64 %94# %injectError2",122731,122730,0,1,0,0,0,5.70089090932e+26,814780,0
1465860379020129,"  %94 = sub i64 %injectError4# %8",1,3,1,1,0,0,0,1.99772588427e+31,988634,2
1465860386457841,"  %166 = sub i64 %injectError41# %phidx_19",4,-9223372036854775804,63,0,1,0,0,0.0,1166824,0
Not Available,,,,,0,0,1,0,1.0,900042,0
Not Available,,,,,0,0,1,0,1.0,746910,0
1465860400883995,"  %173 = sub i64 %injectError43# %phidx_6",4,68,6,1,0,0,0,1.33044100677e+31,778610,2
Not Available,,,,,0,0,1,0,1.0,766909,0
Not Available,,,,,0,0,1,0,1.0,896338,0
Not Available,,,,,0,0,1,0,1.0,704968,0
Not Available,,,,,0,0,1,0,1.0,529002,0
Not Available,,,,,0,0,1,0,1.0,651710,0
Not Available,,,,,0,0,1,0,1.0,654748,0
1465860424698551,"  %101 = add nsw i64 %85# ",338,2305843009213694290,61,0,1,0,0,0.0,1196218,0
1465860431859890,"  %94 = add nsw i64 %injectError3# %4",58918,63014,12,1,0,0,0,4.2717603123e+26,613447,0
Not Available,,,,,0,0,1,0,1.0,606738,0
Not Available,,,,,0,0,1,0,1.0,630064,0
Not Available,,,,,0,0,1,0,1.0,438256,0
1465860445441096,"  %94 = sub i64 %injectError4# %8",1,33,5,1,0,0,0,1.44233003363e+31,652246,2
Not Available,,,,,0,0,1,0,1.0,942116,0
