exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1465859902136902,"  %37 = sub i64 %injectError5# %phidx_1",1,-9223372036854775807,63,0,1,0,0,0.0,1191749,1
1465859910163525,"  %37 = add nsw i64 %32# %injectError",73693,90077,14,1,0,0,0,3.01532165368e+18,797621,1
Not Available,,,,,0,0,1,0,1.0,783195,0
Not Available,,,,,0,0,1,0,1.0,1010528,0
Not Available,,,,,0,0,1,0,1.0,981862,0
Not Available,,,,,0,0,1,0,1.0,927249,0
Not Available,,,,,0,0,1,0,1.0,1222001,0
Not Available,,,,,0,0,1,0,1.0,696103,0
1465859940308524,"  %43 = sub i64 %32# %phidx_7",1,4097,12,1,0,0,0,5.94465249164e+20,1119866,3
Not Available,,,,,0,0,1,0,1.0,786965,0
Not Available,,,,,0,0,1,0,1.0,848422,0
Not Available,,,,,0,0,1,0,1.0,835555,0
Not Available,,,,,0,0,1,0,1.0,1112309,0
Not Available,,,,,0,0,1,0,1.0,535309,0
Not Available,,,,,0,0,1,0,1.0,964693,0
Not Available,,,,,0,0,1,0,1.0,790945,0
Not Available,,,,,0,0,1,0,1.0,545651,0
1465859973979769,"  %37 = add nsw i64 %32# %injectError",11903,15999,12,1,0,0,0,4.77517670899e+17,651645,1
1465859980045712,"  %37 = add nsw i64 %32# %injectError",195821,195823,1,1,0,0,0,2.74329262744e+17,1048532,1
1465859987000076,"  %37 = add nsw i64 %32# %injectError",33940,34452,9,1,0,0,0,2.18417212192e+17,652807,1
Not Available,,,,,0,0,1,0,1.0,1170287,0
Not Available,,,,,0,0,1,0,1.0,499213,0
Not Available,,,,,0,0,1,0,1.0,1018165,0
Not Available,,,,,0,0,1,0,1.0,781320,0
1465860006420276,"  %43 = sub i64 %32# %phidx_7",1,-9223372036854775807,63,0,1,0,0,0.0,865901,1
Not Available,,,,,0,0,1,0,1.0,675388,0
Not Available,,,,,0,0,1,0,1.0,689580,0
1465860019205843,"  %43 = sub i64 %32# %phidx_7",1,-9223372036854775807,63,0,1,0,0,0.0,897377,1
Not Available,,,,,0,0,1,0,1.0,977649,0
1465860029797145,"  %33 = sub i64 %32# %phidx_3",1,8193,13,0,1,0,0,0.0,965775,3
Not Available,,,,,0,0,1,0,1.0,680769,0
Not Available,,,,,0,0,1,0,1.0,476481,0
1465860042724515,"  %43 = sub i64 %32# %phidx_7",1,513,9,0,1,0,0,0.0,1000065,3
