exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,1006312,0
Not Available,,,,,0,0,1,0,1.0,617416,0
Not Available,,,,,0,0,1,0,1.0,233985,0
1465951240038599,"  %123 = or i64 %109# ",6,4,1,1,0,0,0,235376993.947,372857,0
Not Available,,,,,0,0,1,0,1.0,1283660,0
Not Available,,,,,0,0,1,0,1.0,978225,0
Not Available,,,,,0,0,1,0,1.0,520605,0
Not Available,,,,,0,0,1,0,1.0,1607785,0
Not Available,,,,,0,0,1,0,1.0,680893,0
Not Available,,,,,0,0,1,0,1.0,233985,0
Not Available,,,,,0,0,1,0,1.0,387677,0
1465951245001797,"  %63 = or i64 %52# ",35,163,7,1,0,0,0,2.85010510304e+30,845601,0
Not Available,,,,,0,0,1,0,1.0,1531528,0
Not Available,,,,,0,0,1,0,1.0,1569348,0
Not Available,,,,,0,0,1,0,1.0,950665,0
Not Available,,,,,0,0,1,0,1.0,1250600,0
Not Available,,,,,0,0,1,0,1.0,1064089,0
Not Available,,,,,0,0,1,0,1.0,845601,0
Not Available,,,,,0,0,1,0,1.0,539092,0
1465951250079557,"  %63 = or i64 %52# ",11,-9223372036854775797,63,0,1,0,0,0.0,1006312,0
1465951250795564,"  %67 = add nsw i64 %injectError21# %injectError1",4599,-9223372036854771209,63,0,1,0,0,0.0,1218113,0
Not Available,,,,,0,0,1,0,1.0,372857,0
Not Available,,,,,0,0,1,0,1.0,748577,0
Not Available,,,,,0,0,1,0,1.0,617416,0
Not Available,,,,,0,0,1,0,1.0,820604,0
Not Available,,,,,0,0,1,0,1.0,1421724,0
Not Available,,,,,0,0,1,0,1.0,372857,0
Not Available,,,,,0,0,1,0,1.0,748577,0
Not Available,,,,,0,0,1,0,1.0,402884,0
Not Available,,,,,0,0,1,0,1.0,279549,0
Not Available,,,,,0,0,1,0,1.0,638116,0
1465951258094626,"  %63 = or i64 %52# ",27,539,9,1,0,0,0,2.79962178658e+18,1569348,0
1465951258721673,"  %135 = add nsw i64 %109# ",16,528,9,0,1,0,0,0.0,617416,0
Not Available,,,,,0,0,1,0,1.0,1767809,0
Not Available,,,,,0,0,1,0,1.0,372857,0
Not Available,,,,,0,0,1,0,1.0,467688,0
Not Available,,,,,0,0,1,0,1.0,484908,0
Not Available,,,,,0,0,1,0,1.0,279549,0
1465951262149019,"  %67 = add nsw i64 %injectError21# %injectError1",3334,3335,0,1,0,0,0,286390913.816,539092,0
1465951262593961,"  %63 = or i64 %52# ",25,24,0,1,0,0,0,445336050.343,597169,0
Not Available,,,,,0,0,1,0,1.0,1386324,0
Not Available,,,,,0,0,1,0,1.0,1124036,0
Not Available,,,,,0,0,1,0,1.0,372857,0
Not Available,,,,,0,0,1,0,1.0,1531528,0
Not Available,,,,,0,0,1,0,1.0,897108,0
1465951266582143,"  %63 = or i64 %52# ",41,33,3,1,0,0,0,142541122.773,1607785,0
Not Available,,,,,0,0,1,0,1.0,871101,0
Not Available,,,,,0,0,1,0,1.0,680893,0
Not Available,,,,,0,0,1,0,1.0,434481,0
Not Available,,,,,0,0,1,0,1.0,1250600,0
Not Available,,,,,0,0,1,0,1.0,702980,0
Not Available,,,,,0,0,1,0,1.0,702980,0
Not Available,,,,,0,0,1,0,1.0,1034932,0
Not Available,,,,,0,0,1,0,1.0,577369,0
Not Available,,,,,0,0,1,0,1.0,1494321,0
Not Available,,,,,0,0,1,0,1.0,978225,0
Not Available,,,,,0,0,1,0,1.0,845601,0
1465951274438568,"  %63 = or i64 %52# ",9,8201,13,1,0,0,0,162333175.541,291796,0
1465951274858548,"  %58 = add nsw i64 %52# %injectError1",1470,9662,13,1,0,0,0,1.70551508094e+20,304396,0
Not Available,,,,,0,0,1,0,1.0,748577,0
1465951276040796,"  %67 = sub i64 %injectError24# %injectError2",-9984,-9982,1,1,0,0,0,3.45478031408e+20,1809409,2
1465951276615473,"  %55 = add nsw i64 %52# %injectError",3852,3854,1,1,0,0,0,484240855.382,317353,0
1465951277010375,"  %67 = add nsw i64 %injectError21# %injectError1",766,762,2,1,0,0,0,5.47784135128e+19,539092,0
1465951277469272,"  %63 = or i64 %52# ",45,41,2,1,0,0,0,2337562.8597,358420,0
Not Available,,,,,0,0,1,0,1.0,1351517,0
Not Available,,,,,0,0,1,0,1.0,748577,0
Not Available,,,,,0,0,1,0,1.0,845601,0
Not Available,,,,,0,0,1,0,1.0,617416,0
1465951280377919,"  %55 = add nsw i64 %52# %injectError",4878,-9223372036854770930,63,0,1,0,0,0.0,577369,0
1465951280928173,"  %64 = add nsw i64 %injectError21# %injectError",5817,-9223372036854769991,63,0,1,0,0,0.0,923628,0
1465951281427176,"  %67 = sub i64 %injectError24# %injectError2",-4095,-4096,0,1,0,0,0,inf,659273,2
1465951281897041,"  %67 = sub i64 %injectError24# %injectError2",-291,-292,0,1,0,0,0,inf,796104,2
Not Available,,,,,0,0,1,0,1.0,772097,0
1465951283084508,"  %67 = add nsw i64 %injectError21# %injectError1",2541,3053,9,1,0,0,0,413383170.35,304396,0
Not Available,,,,,0,0,1,0,1.0,1494321,0
1465951284244157,"  %63 = or i64 %52# ",35,291,8,1,0,0,0,1.8875871552e+30,387677,0
1465951284753779,"  %64 = add nsw i64 %injectError21# %injectError",8053,7797,8,1,0,0,0,7895495.86663,702980,0
Not Available,,,,,0,0,1,0,1.0,1154836,0
Not Available,,,,,0,0,1,0,1.0,702980,0
Not Available,,,,,0,0,1,0,1.0,1457721,0
Not Available,,,,,0,0,1,0,1.0,520605,0
1465951288076505,"  %58 = add nsw i64 %52# %injectError1",9662,9663,0,1,0,0,0,2012977427.85,1569348,0
1465951288730628,"  %58 = sub i64 %injectError19# %injectError1",-1360,-1359,0,1,0,0,0,8.81986616429e+19,450881,2
Not Available,,,,,0,0,1,0,1.0,558012,0
Not Available,,,,,0,0,1,0,1.0,1421724,0
Not Available,,,,,0,0,1,0,1.0,1124036,0
Not Available,,,,,0,0,1,0,1.0,1686532,0
Not Available,,,,,0,0,1,0,1.0,796104,0
Not Available,,,,,0,0,1,0,1.0,1317297,0
Not Available,,,,,0,0,1,0,1.0,1607785,0
Not Available,,,,,0,0,1,0,1.0,317353,0
Not Available,,,,,0,0,1,0,1.0,597169,0
Not Available,,,,,0,0,1,0,1.0,820604,0
Not Available,,,,,0,0,1,0,1.0,1351517,0
1465951296516836,"  %58 = add nsw i64 %52# %injectError1",2532,6628,12,1,0,0,0,2.71221838739e+19,256092,0
1465951297092843,"  %72 = add nsw i64 %52# ",2,34,5,1,0,0,0,5.02857528487e+31,1494321,0
1465951297722893,"  %58 = add nsw i64 %52# %injectError1",9180,9212,5,1,0,0,0,336805486.238,1154836,0
Not Available,,,,,0,0,1,0,1.0,748577,0
Not Available,,,,,0,0,1,0,1.0,1351517,0
Not Available,,,,,0,0,1,0,1.0,1686532,0
Not Available,,,,,0,0,1,0,1.0,702980,0
1465951300603901,"  %58 = add nsw i64 %52# %injectError1",4982,4470,9,1,0,0,0,2.39547211706e+20,725540,0
Not Available,,,,,0,0,1,0,1.0,772097,0
Not Available,,,,,0,0,1,0,1.0,502545,0
Not Available,,,,,0,0,1,0,1.0,950665,0
Not Available,,,,,0,0,1,0,1.0,539092,0
Not Available,,,,,0,0,1,0,1.0,558012,0
Not Available,,,,,0,0,1,0,1.0,418484,0
Not Available,,,,,0,0,1,0,1.0,617416,0
Not Available,,,,,0,0,1,0,1.0,304396,0
Not Available,,,,,0,0,1,0,1.0,1569348,0
1465951307105045,"  %72 = add nsw i64 %52# ",14,4110,12,1,0,0,0,1.00355805393e+31,1607785,0
Not Available,,,,,0,0,1,0,1.0,978225,0
1465951308369908,"  %58 = sub i64 %injectError19# %injectError1",-1632,-4611686018427389536,62,0,1,0,0,0.0,772097,0
1465951308881689,"  %63 = or i64 %52# ",55,4611686018427387959,62,0,1,0,0,0.0,1034932,0
Not Available,,,,,0,0,1,0,1.0,304396,0
Not Available,,,,,0,0,1,0,1.0,1218113,0
