exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1465918926900119,"  %332 = add nuw nsw i32 %314# ",38,8230,13,1,0,0,0,843116507.678,36166426,0
1465918929850095,"  %336 = sub i64 %injectError105# %injectError10",2,4098,12,1,0,0,0,2.3642241619e+11,22414269,2
Not Available,,,,,0,0,1,0,1.0,31389045,0
1465918933764240,"  %429 = add i64 %injectError146# %injectError14",1169,18014398509483153,54,0,1,0,0,0.0,21000971,0
Not Available,,,,,0,0,1,0,1.0,47423733,0
Not Available,,,,,0,0,1,0,1.0,36298681,0
Not Available,,,,,0,0,1,0,1.0,26727285,0
Not Available,,,,,0,0,1,0,1.0,32604789,0
1465918945218811,"  %428 = or i64 %422# ",37,36028797018964005,55,0,1,0,0,0.0,14640073,0
Not Available,,,,,0,0,1,0,1.0,25127487,0
1465918948605988,"  %332 = add nuw nsw i32 %314# ",22,54,5,1,0,0,0,552485988.46,15789021,0
1465918950584591,"  %431 = ashr exact i64 %injectError148# 3",381,125,8,1,0,0,0,907246359.772,34273225,0
Not Available,,,,,0,0,1,0,1.0,32839976,0
Not Available,,,,,0,0,1,0,1.0,24849801,0
Not Available,,,,,0,0,1,0,1.0,17471346,0
Not Available,,,,,0,0,1,0,1.0,32561941,0
Not Available,,,,,0,0,1,0,1.0,20137509,0
1465918964067600,"  %430 = shl i64 %injectError147# 3",2881923055616,2881923055624,3,0,1,0,0,0.0,20908931,0
Not Available,,,,,0,0,1,0,1.0,19798332,0
Not Available,,,,,0,0,1,0,1.0,15303465,0
1465918968637398,"  %173 = add nsw i64 %160# %14",641,-9223372036854775167,63,0,1,0,0,0.0,29405401,0
Not Available,,,,,0,0,1,0,1.0,37204831,0
Not Available,,,,,0,0,1,0,1.0,40791627,0
1465918975666078,"  %428 = or i64 %422# ",15,47,5,1,0,0,0,22599776.5362,30051141,0
Not Available,,,,,0,0,1,0,1.0,30851853,0
1465918980519523,"  %431 = ashr exact i64 %injectError148# 3",1450,4611686018427389354,62,0,1,0,0,0.0,20389611,0
Not Available,,,,,0,0,1,0,1.0,21179925,0
Not Available,,,,,0,0,1,0,1.0,34866633,0
1465918985709883,"  %434 = sub i64 %injectError144# %injectError14",-1,-2305843009213693953,61,0,1,0,0,0.0,31189127,0
Not Available,,,,,0,0,1,0,1.0,14422832,0
Not Available,,,,,0,0,1,0,1.0,25688743,0
1465918992958779,"  %331 = add nuw nsw i64 %313# ",40,42,1,1,0,0,0,228649655.807,18720371,0
