exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,8216515,0
Not Available,,,,,0,0,1,0,1.0,5000526,0
1465859963645379,"  %192 = add nsw i64 %190# %injectError4",26485,26421,6,1,0,0,0,1.57681663352e+18,7624558,0
1465859969574639,"  %201 = sub i64 %injectError52# %phidx_9",4,12,3,1,0,0,0,3.14750564676e+20,10130008,2
1465859977228810,"  %192 = add nsw i64 %190# %injectError4",6960,6704,8,1,0,0,0,4.96038023232e+18,10457236,0
1465859984666552,"  %192 = add nsw i64 %190# %injectError4",23504,23506,1,1,0,0,0,1.42046571348e+18,9042199,0
Not Available,,,,,0,0,1,0,1.0,19746982,0
Not Available,,,,,0,0,1,0,1.0,10833760,0
1465860000774756,"  %201 = add nsw i64 %190# %injectError",37136,37137,0,1,0,0,0,1.02244977293e+18,11546994,0
Not Available,,,,,0,0,1,0,1.0,6952024,0
Not Available,,,,,0,0,1,0,1.0,7855228,0
Not Available,,,,,0,0,1,0,1.0,12985900,0
Not Available,,,,,0,0,1,0,1.0,9579601,0
1465860026199134,"  %201 = add nsw i64 %190# %injectError",40184,40152,5,1,0,0,0,1.77985635854e+18,10121885,0
Not Available,,,,,0,0,1,0,1.0,5445790,0
Not Available,,,,,0,0,1,0,1.0,17397954,0
Not Available,,,,,0,0,1,0,1.0,20392330,0
Not Available,,,,,0,0,1,0,1.0,6143910,0
Not Available,,,,,0,0,1,0,1.0,10745536,0
Not Available,,,,,0,0,1,0,1.0,8461038,0
Not Available,,,,,0,0,1,0,1.0,6406178,0
Not Available,,,,,0,0,1,0,1.0,6402666,0
Not Available,,,,,0,0,1,0,1.0,6753162,0
1465860068863312,"  %201 = add nsw i64 %190# %injectError",21060,86596,16,1,0,0,0,3.66003809838e+27,11213210,0
Not Available,,,,,0,0,1,0,1.0,5044220,0
Not Available,,,,,0,0,1,0,1.0,10175878,0
Not Available,,,,,0,0,1,0,1.0,4557070,0
Not Available,,,,,0,0,1,0,1.0,13519062,0
Not Available,,,,,0,0,1,0,1.0,12745633,0
1465860096710874,"  %192 = sub i64 %injectError50# %phidx_30",4,12,3,1,0,0,0,8.36079967091e+19,8294590,2
Not Available,,,,,0,0,1,0,1.0,6506125,0
Not Available,,,,,0,0,1,0,1.0,12275000,0
Not Available,,,,,0,0,1,0,1.0,10874486,0
Not Available,,,,,0,0,1,0,1.0,5108404,0
Not Available,,,,,0,0,1,0,1.0,4662107,0
Not Available,,,,,0,0,1,0,1.0,7862491,0
Not Available,,,,,0,0,1,0,1.0,9769654,0
Not Available,,,,,0,0,1,0,1.0,16857923,0
Not Available,,,,,0,0,1,0,1.0,6490846,0
Not Available,,,,,0,0,1,0,1.0,13799946,0
Not Available,,,,,0,0,1,0,1.0,7513690,0
1465860150210625,"  %192 = sub i64 %injectError50# %phidx_30",4,6,1,1,0,0,0,8.48406273452e+19,8205196,2
Not Available,,,,,0,0,1,0,1.0,12858703,0
1465860163418447,"  %192 = add nsw i64 %190# %injectError4",25086,2305843009213719038,61,0,1,0,0,0.0,13724666,0
1465860171703503,"  %212 = add i64 %190# ",216,220,2,1,0,0,0,3.90268009598e+18,9446581,0
Not Available,,,,,0,0,1,0,1.0,12819505,0
Not Available,,,,,0,0,1,0,1.0,9537327,0
Not Available,,,,,0,0,1,0,1.0,10708534,0
Not Available,,,,,0,0,1,0,1.0,8015594,0
Not Available,,,,,0,0,1,0,1.0,7774204,0
Not Available,,,,,0,0,1,0,1.0,17241745,0
Not Available,,,,,0,0,1,0,1.0,17413465,0
Not Available,,,,,0,0,1,0,1.0,6238038,0
Not Available,,,,,0,0,1,0,1.0,8094044,0
Not Available,,,,,0,0,1,0,1.0,8887933,0
Not Available,,,,,0,0,1,0,1.0,16989370,0
Not Available,,,,,0,0,1,0,1.0,12912910,0
1465860234846652,"  %192 = add nsw i64 %190# %injectError4",37516,39564,11,1,0,0,0,4.17543604236e+17,10844417,0
1465860241417886,"  %201 = add nsw i64 %190# %injectError",9903,13999,12,1,0,0,0,1.27441516093e+18,3929092,0
Not Available,,,,,0,0,1,0,1.0,3754462,0
Not Available,,,,,0,0,1,0,1.0,13718389,0
1465860254601515,"  %192 = add nsw i64 %190# %injectError4",852,848,2,1,0,0,0,2.61851950784e+18,9907038,0
Not Available,,,,,0,0,1,0,1.0,9346849,0
Not Available,,,,,0,0,1,0,1.0,8261362,0
Not Available,,,,,0,0,1,0,1.0,8950248,0
Not Available,,,,,0,0,1,0,1.0,15822922,0
1465860279586708,"  %201 = add nsw i64 %190# %injectError",5280,5536,8,1,0,0,0,5.23293355753e+18,9890878,0
Not Available,,,,,0,0,1,0,1.0,15894213,0
1465860290318603,"  %212 = add i64 %190# ",108,104,2,1,0,0,0,1.79718522613e+18,4343442,0
Not Available,,,,,0,0,1,0,1.0,10001890,0
Not Available,,,,,0,0,1,0,1.0,12727426,0
1465860306287892,"  %201 = sub i64 %injectError52# %phidx_9",4,12,3,1,0,0,0,3.80234388197e+20,18130570,2
Not Available,,,,,0,0,1,0,1.0,13276816,0
1465860321823250,"  %192 = add nsw i64 %190# %injectError4",14700,14444,8,1,0,0,0,2.82045841792e+18,6988508,0
Not Available,,,,,0,0,1,0,1.0,12938988,0
1465860331975140,"  %192 = sub i64 %injectError50# %phidx_30",4,-9223372036854775804,63,0,1,0,0,0.0,12242674,0
Not Available,,,,,0,0,1,0,1.0,5670210,0
Not Available,,,,,0,0,1,0,1.0,7699000,0
Not Available,,,,,0,0,1,0,1.0,17159212,0
Not Available,,,,,0,0,1,0,1.0,8866840,0
Not Available,,,,,0,0,1,0,1.0,10268170,0
Not Available,,,,,0,0,1,0,1.0,12166610,0
Not Available,,,,,0,0,1,0,1.0,7405964,0
Not Available,,,,,0,0,1,0,1.0,14646510,0
1465860378608261,"  %192 = add nsw i64 %190# %injectError4",1880,1864,4,1,0,0,0,2.49611982007e+18,12356585,0
1465860386780337,"  %201 = sub i64 %injectError52# %phidx_9",4,-9223372036854775804,63,0,1,0,0,0.0,9817012,0
Not Available,,,,,0,0,1,0,1.0,12289760,0
Not Available,,,,,0,0,1,0,1.0,8133226,0
Not Available,,,,,0,0,1,0,1.0,11575126,0
Not Available,,,,,0,0,1,0,1.0,6960820,0
Not Available,,,,,0,0,1,0,1.0,8489062,0
Not Available,,,,,0,0,1,0,1.0,13059290,0
Not Available,,,,,0,0,1,0,1.0,9961510,0
Not Available,,,,,0,0,1,0,1.0,7117106,0
Not Available,,,,,0,0,1,0,1.0,4132302,0
Not Available,,,,,0,0,1,0,1.0,9516814,0
Not Available,,,,,0,0,1,0,1.0,9268066,0
Not Available,,,,,0,0,1,0,1.0,8486180,0
1465860441437723,"  %192 = add nsw i64 %190# %injectError4",10568,-9223372036854765240,63,0,1,0,0,0.0,5183342,0
Not Available,,,,,0,0,1,0,1.0,8167312,0
Not Available,,,,,0,0,1,0,1.0,16121290,0
1465860457333045,"  %201 = sub i64 %injectError52# %phidx_9",4,260,8,1,0,0,0,2.95878079906e+20,6645930,2
Not Available,,,,,0,0,1,0,1.0,9274462,0
Not Available,,,,,0,0,1,0,1.0,8302322,0
Not Available,,,,,0,0,1,0,1.0,6496877,0
Not Available,,,,,0,0,1,0,1.0,12384802,0
Not Available,,,,,0,0,1,0,1.0,10434826,0
Not Available,,,,,0,0,1,0,1.0,9013885,0
Not Available,,,,,0,0,1,0,1.0,4978562,0
Not Available,,,,,0,0,1,0,1.0,7815996,0
Not Available,,,,,0,0,1,0,1.0,12764566,0
Not Available,,,,,0,0,1,0,1.0,5506007,0
Not Available,,,,,0,0,1,0,1.0,8202013,0
Not Available,,,,,0,0,1,0,1.0,5590366,0
Not Available,,,,,0,0,1,0,1.0,13455432,0
Not Available,,,,,0,0,1,0,1.0,15171410,0
Not Available,,,,,0,0,1,0,1.0,14722549,0
Not Available,,,,,0,0,1,0,1.0,4392650,0
1465860532107163,"  %201 = sub i64 %injectError52# %phidx_9",4,2305843009213693956,61,0,1,0,0,0.0,13519549,0
Not Available,,,,,0,0,1,0,1.0,10569458,0
Not Available,,,,,0,0,1,0,1.0,11099326,0
Not Available,,,,,0,0,1,0,1.0,6592982,0
Not Available,,,,,0,0,1,0,1.0,11429090,0
Not Available,,,,,0,0,1,0,1.0,9631894,0
Not Available,,,,,0,0,1,0,1.0,4248870,0
1465860564661539,"  %212 = add i64 %190# ",68,76,3,1,0,0,0,2.62221193424e+18,4147230,0
1465860569752987,"  %201 = sub i64 %injectError52# %phidx_9",4,32772,15,1,0,0,0,5.08222438222e+20,12446956,2
1465860577663989,"  %192 = add nsw i64 %190# %injectError4",614,33382,15,1,0,0,0,1.60345226478e+17,8419510,0
1465860583907587,"  %192 = add nsw i64 %190# %injectError4",17856,19904,11,1,0,0,0,2.08958145602e+18,9057610,0
Not Available,,,,,0,0,1,0,1.0,12788470,0
1465860595063454,"  %212 = add i64 %190# ",36,44,3,1,0,0,0,5.64888206273e+18,7103717,0
Not Available,,,,,0,0,1,0,1.0,8049952,0
1465860605477910,"  %201 = add nsw i64 %190# %injectError",8041,7529,9,1,0,0,0,5.25784220825e+18,6568796,0
Not Available,,,,,0,0,1,0,1.0,11306098,0
Not Available,,,,,0,0,1,0,1.0,12331376,0
1465860622371051,"  %201 = add nsw i64 %190# %injectError",1968,6064,12,1,0,0,0,5.78842896685e+18,9880064,0
1465860629738577,"  %201 = sub i64 %injectError52# %phidx_9",4,-9223372036854775804,63,0,1,0,0,0.0,9854970,0
Not Available,,,,,0,0,1,0,1.0,9443614,0
1465860642571768,"  %255 = add nsw i64 %231# ",218,250,5,0,1,0,0,0.0,14575780,0
Not Available,,,,,0,0,1,0,1.0,14772362,0
1465860657417587,"  %192 = sub i64 %injectError50# %phidx_30",-241,9223372036854775567,63,0,1,0,0,0.0,11077791,0
Not Available,,,,,0,0,1,0,1.0,11499706,0
1465860668331455,"  %201 = add nsw i64 %190# %injectError",9044,852,13,1,0,0,0,1.03457248565e+18,9913630,0
Not Available,,,,,0,0,1,0,1.0,12303649,0
Not Available,,,,,0,0,1,0,1.0,9740911,0
Not Available,,,,,0,0,1,0,1.0,7376086,0
Not Available,,,,,0,0,1,0,1.0,6839830,0
Not Available,,,,,0,0,1,0,1.0,13695510,0
Not Available,,,,,0,0,1,0,1.0,16406290,0
Not Available,,,,,0,0,1,0,1.0,14955343,0
Not Available,,,,,0,0,1,0,1.0,6269630,0
Not Available,,,,,0,0,1,0,1.0,8583566,0
Not Available,,,,,0,0,1,0,1.0,10734418,0
Not Available,,,,,0,0,1,0,1.0,9920899,0
1465860723258193,"  %201 = add nsw i64 %190# %injectError",426,442,4,1,0,0,0,5.03496151523e+18,7644004,0
Not Available,,,,,0,0,1,0,1.0,9223770,0
Not Available,,,,,0,0,1,0,1.0,5450035,0
Not Available,,,,,0,0,1,0,1.0,8822725,0
Not Available,,,,,0,0,1,0,1.0,10961746,0
Not Available,,,,,0,0,1,0,1.0,10429342,0
1465860751374218,"  %192 = sub i64 %injectError50# %phidx_30",4,-9223372036854775804,63,0,1,0,0,0.0,7230650,0
Not Available,,,,,0,0,1,0,1.0,6402290,0
Not Available,,,,,0,0,1,0,1.0,8609446,0
Not Available,,,,,0,0,1,0,1.0,14662153,0
Not Available,,,,,0,0,1,0,1.0,6068746,0
1465860774478153,"  %192 = add nsw i64 %190# %injectError4",584,33352,15,1,0,0,0,2.40717316837e+18,6532108,0
Not Available,,,,,0,0,1,0,1.0,6505606,0
Not Available,,,,,0,0,1,0,1.0,13417251,0
Not Available,,,,,0,0,1,0,1.0,11758150,0
Not Available,,,,,0,0,1,0,1.0,8897026,0
Not Available,,,,,0,0,1,0,1.0,6408346,0
Not Available,,,,,0,0,1,0,1.0,18097354,0
Not Available,,,,,0,0,1,0,1.0,15029002,0
Not Available,,,,,0,0,1,0,1.0,9036505,0
Not Available,,,,,0,0,1,0,1.0,6935770,0
Not Available,,,,,0,0,1,0,1.0,10483435,0
Not Available,,,,,0,0,1,0,1.0,13754296,0
Not Available,,,,,0,0,1,0,1.0,15056932,0
1465860835746904,"  %192 = add nsw i64 %190# %injectError4",6404,6148,8,1,0,0,0,3.11092939537e+18,6667375,0
1465860841214254,"  %159 = add i64 %injectError30# %injectError4",15105,15233,7,0,1,0,0,0.0,6137316,0
Not Available,,,,,0,0,1,0,1.0,6929954,0
Not Available,,,,,0,0,1,0,1.0,10699366,0
Not Available,,,,,0,0,1,0,1.0,11912950,0
Not Available,,,,,0,0,1,0,1.0,10076804,0
Not Available,,,,,0,0,1,0,1.0,6492922,0
Not Available,,,,,0,0,1,0,1.0,9160640,0
Not Available,,,,,0,0,1,0,1.0,10365148,0
Not Available,,,,,0,0,1,0,1.0,4499722,0
Not Available,,,,,0,0,1,0,1.0,7280107,0
Not Available,,,,,0,0,1,0,1.0,3965366,0
1465860884455261,"  %201 = sub i64 %injectError52# %phidx_9",4,5,0,1,0,0,0,2.13401943289e+20,9296605,2
Not Available,,,,,0,0,1,0,1.0,6138530,0
Not Available,,,,,0,0,1,0,1.0,4424410,0
Not Available,,,,,0,0,1,0,1.0,10288340,0
Not Available,,,,,0,0,1,0,1.0,5268098,0
1465860906547901,"  %192 = sub i64 %injectError50# %phidx_30",4,4611686018427387908,62,0,1,0,0,0.0,6873212,0
Not Available,,,,,0,0,1,0,1.0,16521593,0
Not Available,,,,,0,0,1,0,1.0,10857574,0
Not Available,,,,,0,0,1,0,1.0,15194449,0
Not Available,,,,,0,0,1,0,1.0,12824606,0
Not Available,,,,,0,0,1,0,1.0,12738818,0
1465860936587164,"  %201 = add nsw i64 %190# %injectError",3112,3113,0,1,0,0,0,4.08746723149e+18,10466540,0
Not Available,,,,,0,0,1,0,1.0,6888374,0
Not Available,,,,,0,0,1,0,1.0,6959171,0
1465860951108690,"  %212 = add i64 %190# ",156,152,2,1,0,0,0,3.78882775354e+18,11889883,0
Not Available,,,,,0,0,1,0,1.0,10161040,0
