exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1465859924516556,"  %20 = add nsw i64 %18# %injectError",64894,64895,0,1,0,0,0,6.96412054855e+17,883681,1
Not Available,,,,,0,0,1,0,1.0,529426,0
1465859939835548,"  %20 = add nsw i64 %18# %injectError",39125,35029,12,1,0,0,0,1.46218656832e+18,1023329,1
Not Available,,,,,0,0,1,0,1.0,789634,0
Not Available,,,,,0,0,1,0,1.0,513281,0
Not Available,,,,,0,0,1,0,1.0,384754,0
Not Available,,,,,0,0,1,0,1.0,1064450,0
Not Available,,,,,0,0,1,0,1.0,1149122,0
Not Available,,,,,0,0,1,0,1.0,842141,0
1465859980996824,"  %27 = sub i64 %injectError4# %phidx_1",1,3,1,1,0,0,0,3.79695033549e+19,983018,3
Not Available,,,,,0,0,1,0,1.0,821746,0
Not Available,,,,,0,0,1,0,1.0,506893,0
Not Available,,,,,0,0,1,0,1.0,785665,0
Not Available,,,,,0,0,1,0,1.0,516490,0
Not Available,,,,,0,0,1,0,1.0,862786,0
Not Available,,,,,0,0,1,0,1.0,603434,0
1465860019410192,"  %20 = sub i64 %injectError4# %phidx_",1,-9223372036854775807,63,0,1,0,0,0.0,678593,1
1465860030581354,"  %34 = add nuw nsw i64 %18# ",68,64,2,1,0,0,0,4.43705257226e+18,1087645,1
Not Available,,,,,0,0,1,0,1.0,1158730,0
Not Available,,,,,0,0,1,0,1.0,586189,0
Not Available,,,,,0,0,1,0,1.0,892109,0
1465860059468558,"  %20 = sub i64 %injectError4# %phidx_",1,3,1,1,0,0,0,3.93494414152e+19,475553,3
Not Available,,,,,0,0,1,0,1.0,381985,0
1465860071696128,"  %20 = add nsw i64 %18# %injectError",17384,2305843009213711336,61,0,1,0,0,0.0,805610,1
Not Available,,,,,0,0,1,0,1.0,415873,0
Not Available,,,,,0,0,1,0,1.0,328705,0
Not Available,,,,,0,0,1,0,1.0,593057,0
Not Available,,,,,0,0,1,0,1.0,883681,0
Not Available,,,,,0,0,1,0,1.0,522938,0
1465860102944839,"  %27 = sub i64 %injectError4# %phidx_1",1,0,0,1,0,0,0,3.00375818744e+19,987457,2
Not Available,,,,,0,0,1,0,1.0,487969,0
Not Available,,,,,0,0,1,0,1.0,1192673,0
Not Available,,,,,0,0,1,0,1.0,1217218,0
Not Available,,,,,0,0,1,0,1.0,349537,0
Not Available,,,,,0,0,1,0,1.0,542522,0
Not Available,,,,,0,0,1,0,1.0,535954,0
Not Available,,,,,0,0,1,0,1.0,850369,0
Not Available,,,,,0,0,1,0,1.0,785665,0
Not Available,,,,,0,0,1,0,1.0,472474,0
Not Available,,,,,0,0,1,0,1.0,1059841,0
1465860158302473,"  %20 = sub i64 %injectError4# %phidx_",1,33,5,1,0,0,0,6.51873572023e+19,663937,3
1465860167549833,"  %22 = sub i64 %18# %phidx_4",1,3,1,1,0,0,0,6.22040513907e+30,617410,3
Not Available,,,,,0,0,1,0,1.0,572573,0
Not Available,,,,,0,0,1,0,1.0,1027858,0
1465860185761243,"  %20 = add nsw i64 %18# %injectError",104268,4611686018427492172,62,0,1,0,0,0.0,624458,1
Not Available,,,,,0,0,1,0,1.0,943517,0
Not Available,,,,,0,0,1,0,1.0,390322,0
Not Available,,,,,0,0,1,0,1.0,793613,0
1465860209814830,"  %22 = sub i64 %18# %phidx_4",1,4611686018427387905,62,0,1,0,0,0.0,1153921,1
1465860225505640,"  %22 = sub i64 %18# %phidx_4",1,1025,10,1,0,0,0,9.04020639167e+20,1187794,3
Not Available,,,,,0,0,1,0,1.0,586189,0
Not Available,,,,,0,0,1,0,1.0,481741,0
Not Available,,,,,0,0,1,0,1.0,1106381,0
1465860252014484,"  %20 = sub i64 %injectError4# %phidx_",1,32769,15,1,0,0,0,5.4212226804e+20,572573,3
Not Available,,,,,0,0,1,0,1.0,1312769,0
Not Available,,,,,0,0,1,0,1.0,1277146,0
Not Available,,,,,0,0,1,0,1.0,846250,0
1465860277710969,"  %34 = add nuw nsw i64 %18# ",85,21,6,1,0,0,0,2.28237967982e+20,555778,1
1465860286354722,"  %20 = add nsw i64 %18# %injectError",59726,-9223372036854716082,63,0,1,0,0,0.0,777757,1
Not Available,,,,,0,0,1,0,1.0,667586,0
Not Available,,,,,0,0,1,0,1.0,494237,0
1465860304374608,"  %20 = sub i64 %injectError4# %phidx_",1,0,0,1,0,0,0,4.25255419219e+19,500545,2
Not Available,,,,,0,0,1,0,1.0,376477,0
Not Available,,,,,0,0,1,0,1.0,1262029,0
1465860321321015,"  %22 = sub i64 %18# %phidx_4",1,257,8,1,0,0,0,inf,436306,3
Not Available,,,,,0,0,1,0,1.0,463297,0
1465860331215148,"  %27 = sub i64 %injectError4# %phidx_1",1,-9223372036854775807,63,0,1,0,0,0.0,341650,1
Not Available,,,,,0,0,1,0,1.0,674914,0
Not Available,,,,,0,0,1,0,1.0,671245,0
1465860344421556,"  %20 = sub i64 %injectError4# %phidx_",1,5,2,1,0,0,0,3.72390942917e+19,457229,3
Not Available,,,,,0,0,1,0,1.0,1087645,0
Not Available,,,,,0,0,1,0,1.0,1277146,0
Not Available,,,,,0,0,1,0,1.0,1272097,0
1465860370535941,"  %34 = add nuw nsw i64 %18# ",258,322,6,1,0,0,0,2.24144191519e+20,892109,1
Not Available,,,,,0,0,1,0,1.0,549130,0
Not Available,,,,,0,0,1,0,1.0,1130026,0
1465860392864505,"  %20 = sub i64 %injectError4# %phidx_",1,2305843009213693953,61,0,1,0,0,0.0,846250,1
Not Available,,,,,0,0,1,0,1.0,365581,0
Not Available,,,,,0,0,1,0,1.0,678593,0
Not Available,,,,,0,0,1,0,1.0,506893,0
Not Available,,,,,0,0,1,0,1.0,1173217,0
Not Available,,,,,0,0,1,0,1.0,365581,0
1465860424737980,"  %34 = add nuw nsw i64 %18# ",213,2305843009213694165,61,0,1,0,0,0.0,1041505,1
Not Available,,,,,0,0,1,0,1.0,991906,0
Not Available,,,,,0,0,1,0,1.0,653050,0
Not Available,,,,,0,0,1,0,1.0,708385,0
Not Available,,,,,0,0,1,0,1.0,472474,0
Not Available,,,,,0,0,1,0,1.0,395930,0
Not Available,,,,,0,0,1,0,1.0,758162,0
1465860459655483,"  %20 = sub i64 %injectError4# %phidx_",1,8193,13,1,0,0,0,4.03469057251e+20,341650,3
Not Available,,,,,0,0,1,0,1.0,562466,0
Not Available,,,,,0,0,1,0,1.0,442234,0
Not Available,,,,,0,0,1,0,1.0,723521,0
Not Available,,,,,0,0,1,0,1.0,572573,0
Not Available,,,,,0,0,1,0,1.0,952225,0
Not Available,,,,,0,0,1,0,1.0,373738,0
1465860489360573,"  %22 = sub i64 %18# %phidx_4",1,3,1,1,0,0,0,4.45346465995e+19,545821,3
Not Available,,,,,0,0,1,0,1.0,1120538,0
Not Available,,,,,0,0,1,0,1.0,368290,0
Not Available,,,,,0,0,1,0,1.0,466346,0
1465860511763822,"  %20 = add nsw i64 %18# %injectError",7062,15254,13,1,0,0,0,2.23222903471e+18,1287274,1
Not Available,,,,,0,0,1,0,1.0,439265,0
1465860532503099,"  %34 = add nuw nsw i64 %18# ",31,2305843009213693983,61,0,1,0,0,0.0,1106381,1
Not Available,,,,,0,0,1,0,1.0,846250,0
Not Available,,,,,0,0,1,0,1.0,1282205,0
Not Available,,,,,0,0,1,0,1.0,1096993,0
Not Available,,,,,0,0,1,0,1.0,700877,0
1465860567006384,"  %34 = add nuw nsw i64 %18# ",85,93,3,1,0,0,0,1.98685019402e+19,395930,1
Not Available,,,,,0,0,1,0,1.0,689690,0
Not Available,,,,,0,0,1,0,1.0,542522,0
Not Available,,,,,0,0,1,0,1.0,613901,0
Not Available,,,,,0,0,1,0,1.0,930530,0
1465860592175066,"  %27 = sub i64 %injectError4# %phidx_1",1,9,3,1,0,0,0,3.90304365385e+19,1232065,3
Not Available,,,,,0,0,1,0,1.0,599965,0
Not Available,,,,,0,0,1,0,1.0,346898,0
1465860615056225,"  %27 = sub i64 %injectError4# %phidx_1",1,2305843009213693953,61,0,1,0,0,0.0,930530,1
Not Available,,,,,0,0,1,0,1.0,357514,0
1465860630579068,"  %22 = sub i64 %18# %phidx_4",1,4097,12,1,0,0,0,1.40256101044e+21,879482,3
1465860642138765,"  %20 = add nsw i64 %18# %injectError",106122,106154,5,1,0,0,0,5.54177872206e+17,697138,1
Not Available,,,,,0,0,1,0,1.0,663937,0
Not Available,,,,,0,0,1,0,1.0,418762,0
1465860660051398,"  %20 = sub i64 %injectError4# %phidx_",1,9,3,1,0,0,0,6.22543581998e+19,866945,3
Not Available,,,,,0,0,1,0,1.0,1005313,0
Not Available,,,,,0,0,1,0,1.0,360193,0
1465860680472800,"  %27 = sub i64 %injectError4# %phidx_1",1,129,7,1,0,0,0,1.74407848334e+20,965362,3
1465860694814243,"  %20 = sub i64 %injectError4# %phidx_",1,1048577,20,1,0,0,0,1.01125592533e+20,1106381,3
Not Available,,,,,0,0,1,0,1.0,1163549,0
1465860714187435,"  %20 = sub i64 %injectError4# %phidx_",1,9,3,1,0,0,0,4.73544212386e+19,712154,3
Not Available,,,,,0,0,1,0,1.0,1041505,0
Not Available,,,,,0,0,1,0,1.0,781706,0
Not Available,,,,,0,0,1,0,1.0,494237,0
Not Available,,,,,0,0,1,0,1.0,415873,0
Not Available,,,,,0,0,1,0,1.0,809629,0
Not Available,,,,,0,0,1,0,1.0,704626,0
Not Available,,,,,0,0,1,0,1.0,900577,0
Not Available,,,,,0,0,1,0,1.0,727330,0
Not Available,,,,,0,0,1,0,1.0,472474,0
Not Available,,,,,0,0,1,0,1.0,1202461,0
1465860767963304,"  %34 = add nuw nsw i64 %18# ",226,194,5,1,0,0,0,9.14539434247e+19,478642,1
1465860775289967,"  %20 = add nsw i64 %18# %injectError",78912,78913,0,1,0,0,0,2.84292115508e+18,430418,1
Not Available,,,,,0,0,1,0,1.0,1046074,0
1465860788376370,"  %20 = sub i64 %injectError4# %phidx_",1,65,6,1,0,0,0,1.20326038836e+20,617410,3
Not Available,,,,,0,0,1,0,1.0,1297442,0
1465860802914813,"  %20 = add nsw i64 %18# %injectError",3290,3291,0,1,0,0,0,6.13854966181e+17,663937,1
1465860812041291,"  %34 = add nuw nsw i64 %18# ",248,240,3,1,0,0,0,2.17081858542e+19,596506,1
1465860820121516,"  %20 = sub i64 %injectError4# %phidx_",1,3,1,1,0,0,0,4.00862903994e+19,390322,3
