exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,784091380,0
1465860085203771,"  %263 = add nsw i32 %injectError154# %injectError13",24991,24975,4,1,0,0,0,13567.2400482,749760358,0
Not Available,,,,,0,0,1,0,1.0,69597028,0
1465860234472166,"  %241 = shufflevector <2 x i32> %insert160# <2 x i32> undef# <2 x i32> zeroinitialize",77,2125,11,1,0,0,0,18.3051410913,584739862,0
1465860389482894,"  %146 = add i32 %105# ",214,212,1,0,1,0,0,0.0,1255813598,0
Not Available,,,,,0,0,1,0,1.0,84590908,0
1465860620503096,"  %108 = insertelement <2 x i32> undef# i32 %injectError64# i32 ",1,9,3,0,1,0,0,0.0,652055368,0
Not Available,,,,,0,0,1,0,1.0,1581643756,0
Not Available,,,,,0,0,1,0,1.0,1656180284,0
Not Available,,,,,0,0,1,0,1.0,253744918,0
1465861100889382,"  %125 = add nsw i32 %injectError96# ",12884,12892,3,1,0,0,0,1258.35687792,476702228,0
Not Available,,,,,0,0,1,0,1.0,1587532348,0
1465861396846643,"  %241 = shufflevector <2 x i32> %insert160# <2 x i32> undef# <2 x i32> zeroinitialize",81,4177,12,0,1,0,0,0.0,812921374,0
1465861543221040,"  %242 = add <2 x i32> %insert166# <i32 0# i32 1",80,1073741904,30,0,1,0,0,0.0,445098448,0
Not Available,,,,,0,0,1,0,1.0,905914378,0
Not Available,,,,,0,0,1,0,1.0,1229537500,0
Not Available,,,,,0,0,1,0,1.0,617633212,0
Not Available,,,,,0,0,1,0,1.0,845499196,0
Not Available,,,,,0,0,1,0,1.0,528106132,0
1465862188983924,"  %126 = sext i32 %injectError97 to i6",3288,3280,3,1,0,0,0,602.001834035,1109166328,0
Not Available,,,,,0,0,1,0,1.0,305381188,0
1465862433893149,"  %110 = add <2 x i32> %insert76# <i32 0# i32 1",114,50,6,0,1,0,0,0.0,424692898,0
Not Available,,,,,0,0,1,0,1.0,288014164,0
Not Available,,,,,0,0,1,0,1.0,176515196,0
Not Available,,,,,0,0,1,0,1.0,197663788,0
Not Available,,,,,0,0,1,0,1.0,32428732,0
Not Available,,,,,0,0,1,0,1.0,487621228,0
Not Available,,,,,0,0,1,0,1.0,775224028,0
