exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,2995406,0
Not Available,,,,,0,0,1,0,1.0,2692084,0
Not Available,,,,,0,0,1,0,1.0,2619596,0
Not Available,,,,,0,0,1,0,1.0,927772,0
Not Available,,,,,0,0,1,0,1.0,2765897,0
Not Available,,,,,0,0,1,0,1.0,964196,0
Not Available,,,,,0,0,1,0,1.0,2619596,0
Not Available,,,,,0,0,1,0,1.0,1290472,0
1465951539642962,"  %105 = mul nsw i64 %injectError30# %injectErro",1320,2305843009213695272,61,0,1,0,0,0.0,3491819,0
Not Available,,,,,0,0,1,0,1.0,1001561,0
Not Available,,,,,0,0,1,0,1.0,3945124,0
Not Available,,,,,0,0,1,0,1.0,3579542,0
Not Available,,,,,0,0,1,0,1.0,3945124,0
Not Available,,,,,0,0,1,0,1.0,857699,0
Not Available,,,,,0,0,1,0,1.0,4040252,0
1465951546289672,"  %92 = sub i64 %injectError25# %phidx_2",3766,7862,12,1,0,0,0,2.51336954588e+21,1001561,2
1465951546899182,"  %41 = add nsw i64 %injectError10# %injectError",7824,3728,12,1,0,0,0,1.23904809948e+37,1964951,0
Not Available,,,,,0,0,1,0,1.0,1160671,0
Not Available,,,,,0,0,1,0,1.0,2995406,0
Not Available,,,,,0,0,1,0,1.0,1382171,0
1465951550437198,"  %35 = add nsw i64 %injectError7# %2",56,-9223372036854775752,63,0,1,0,0,0.0,1290472,0
Not Available,,,,,0,0,1,0,1.0,2211821,0
1465951552101731,"  %106 = add nsw i64 %injectError33# %7",2611,2099,9,1,0,0,0,6.13583212569e+15,1737169,0
Not Available,,,,,0,0,1,0,1.0,4235071,0
Not Available,,,,,0,0,1,0,1.0,4136897,0
1465951554799643,"  %95 = mul nsw i64 %89# %injectErro",3312,3184,7,1,0,0,0,3.04428936092e+17,1578397,0
Not Available,,,,,0,0,1,0,1.0,585782,0
Not Available,,,,,0,0,1,0,1.0,3851501,0
Not Available,,,,,0,0,1,0,1.0,612647,0
1465951558017979,"  %96 = add nsw i64 %injectError27# %7",609,1633,10,1,0,0,0,6.44652912355e+18,1964951,0
1465951558663939,"  %35 = add nsw i64 %injectError7# %2",1379,355,10,1,0,0,0,5.72469066071e+17,791246,0
Not Available,,,,,0,0,1,0,1.0,759347,0
1465951560134055,"  %40 = or i64 %28# ",21,85,6,1,0,0,0,7.42941658422e+39,791246,0
Not Available,,,,,0,0,1,0,1.0,2148272,0
Not Available,,,,,0,0,1,0,1.0,3155257,0
Not Available,,,,,0,0,1,0,1.0,2765897,0
1465951563690339,"  %34 = mul nsw i64 %28# %injectErro",2652,6748,12,1,0,0,0,1.18976860074e+19,964196,0
Not Available,,,,,0,0,1,0,1.0,1160671,0
Not Available,,,,,0,0,1,0,1.0,3759371,0
Not Available,,,,,0,0,1,0,1.0,3579542,0
Not Available,,,,,0,0,1,0,1.0,2148272,0
Not Available,,,,,0,0,1,0,1.0,2619596,0
Not Available,,,,,0,0,1,0,1.0,964196,0
Not Available,,,,,0,0,1,0,1.0,791246,0
1465951570915860,"  %92 = add nsw i64 %89# %injectError",7238,7494,8,1,0,0,0,1.3668792695e+39,2548421,0
Not Available,,,,,0,0,1,0,1.0,585782,0
Not Available,,,,,0,0,1,0,1.0,4235071,0
Not Available,,,,,0,0,1,0,1.0,2024849,0
Not Available,,,,,0,0,1,0,1.0,559714,0
Not Available,,,,,0,0,1,0,1.0,2085952,0
Not Available,,,,,0,0,1,0,1.0,2478547,0
Not Available,,,,,0,0,1,0,1.0,3155257,0
