exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1465859893845418,"  %33 = add nsw i64 %injectError11# %injectError",160025,160537,9,1,0,0,0,2.60756020344e+17,3597978,1
Not Available,,,,,0,0,1,0,1.0,7990988,0
Not Available,,,,,0,0,1,0,1.0,5520152,0
Not Available,,,,,0,0,1,0,1.0,9275072,0
Not Available,,,,,0,0,1,0,1.0,2436202,0
1465859941948282,"  %88 = mul nsw i64 %injectError21# %injectError2",190990,190982,3,1,0,0,0,5.98786499498e+16,2607688,1
Not Available,,,,,0,0,1,0,1.0,5748008,0
Not Available,,,,,0,0,1,0,1.0,2361858,0
Not Available,,,,,0,0,1,0,1.0,5159714,0
Not Available,,,,,0,0,1,0,1.0,5507628,0
1465859984444446,"  %27 = sub i64 %22# %phidx_2",1,3,1,1,0,0,0,4.52602283036e+19,8472952,3
Not Available,,,,,0,0,1,0,1.0,2845408,0
Not Available,,,,,0,0,1,0,1.0,3339758,0
Not Available,,,,,0,0,1,0,1.0,9421832,0
Not Available,,,,,0,0,1,0,1.0,2825202,0
Not Available,,,,,0,0,1,0,1.0,5012376,0
1465860045902573,"  %72 = add nsw i64 %injectError# %6",5715,5203,9,1,0,0,0,1.51204976519e+18,3676808,1
Not Available,,,,,0,0,1,0,1.0,3507506,0
1465860067369277,"  %74 = sub i64 %68# %phidx_8",1,9,3,1,0,0,0,5.7969624563e+19,4514918,3
Not Available,,,,,0,0,1,0,1.0,9295386,0
1465860096111089,"  %40 = add nsw i64 %22# ",334,326,3,1,0,0,0,1.61043634495e+17,3188012,1
1465860113835502,"  %40 = add nsw i64 %22# ",680,744,6,1,0,0,0,7.02502672415e+18,8628908,1
1465860143363282,"  %32 = or i64 %22# ",423,1447,10,1,0,0,0,8.13795276194e+17,5892758,1
1465860163961035,"  %25 = sub i64 %injectError8# %phidx_11",1,2305843009213693953,61,0,1,0,0,0.0,3792758,1
Not Available,,,,,0,0,1,0,1.0,7523136,0
1465860186491979,"  %33 = sub i64 %injectError12# %injectError",1,257,8,1,0,0,0,2.60282761551e+20,2685776,3
1465860199409679,"  %96 = add nsw i64 %76# ",676,164,9,1,0,0,0,1.36845349299e+19,4747316,1
1465860219072663,"  %74 = sub i64 %68# %phidx_8",1,4611686018427387905,62,0,1,0,0,0.0,5776814,1
Not Available,,,,,0,0,1,0,1.0,3039794,0
Not Available,,,,,0,0,1,0,1.0,9202124,0
Not Available,,,,,0,0,1,0,1.0,2635754,0
Not Available,,,,,0,0,1,0,1.0,3971386,0
Not Available,,,,,0,0,1,0,1.0,3620776,0
Not Available,,,,,0,0,1,0,1.0,6217544,0
Not Available,,,,,0,0,1,0,1.0,9113356,0
Not Available,,,,,0,0,1,0,1.0,7115558,0
