exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,55106066,0
Not Available,,,,,0,0,1,0,1.0,37719026,0
Not Available,,,,,0,0,1,0,1.0,19561018,0
1465943027573537,"  %236 = add nsw i64 %injectError214# %injectError3",1489,4611686018427389393,62,0,1,0,0,0.0,51348362,0
Not Available,,,,,0,0,1,0,1.0,33555850,0
Not Available,,,,,0,0,1,0,1.0,18305898,0
Not Available,,,,,0,0,1,0,1.0,19823386,0
Not Available,,,,,0,0,1,0,1.0,43900010,0
Not Available,,,,,0,0,1,0,1.0,26164668,0
Not Available,,,,,0,0,1,0,1.0,52241226,0
Not Available,,,,,0,0,1,0,1.0,40096634,0
Not Available,,,,,0,0,1,0,1.0,37840394,0
1465943043004577,"  %250 = add nsw i64 %injectError214# %injectError4",1789,1725,6,1,0,0,0,24067.2321019,32908196,0
1465943044785379,"  %220 = add nsw i64 %217# -",13,29,4,1,0,0,0,1242.35587692,35648618,0
1465943047842340,"  %246 = sub i64 %injectError231# %injectError22",1,-9223372036854775807,63,0,1,0,0,0.0,48948602,0
Not Available,,,,,0,0,1,0,1.0,50618954,0
Not Available,,,,,0,0,1,0,1.0,54110846,0
Not Available,,,,,0,0,1,0,1.0,52644338,0
Not Available,,,,,0,0,1,0,1.0,30924906,0
Not Available,,,,,0,0,1,0,1.0,32930066,0
Not Available,,,,,0,0,1,0,1.0,14937536,0
Not Available,,,,,0,0,1,0,1.0,29660050,0
Not Available,,,,,0,0,1,0,1.0,31945586,0
Not Available,,,,,0,0,1,0,1.0,39608418,0
Not Available,,,,,0,0,1,0,1.0,30023306,0
Not Available,,,,,0,0,1,0,1.0,33201766,0
Not Available,,,,,0,0,1,0,1.0,35132906,0
Not Available,,,,,0,0,1,0,1.0,38100858,0
Not Available,,,,,0,0,1,0,1.0,52248804,0
Not Available,,,,,0,0,1,0,1.0,32241326,0
Not Available,,,,,0,0,1,0,1.0,55056466,0
Not Available,,,,,0,0,1,0,1.0,26340626,0
1465943080688567,"  %250 = sub i64 %injectError233# %injectError23",34,16418,14,1,0,0,0,329236544.183,21326526,3
Not Available,,,,,0,0,1,0,1.0,18963594,0
1465943083152341,"  %241 = sext i32 %injectError227 to i6",2352,3376,10,1,0,0,0,2.32387495041,41150716,0
Not Available,,,,,0,0,1,0,1.0,39276046,0
1465943086564939,"  %225 = sext i32 %injectError217 to i6",525,2305843009213694477,61,0,1,0,0,0.0,14167894,0
1465943088047431,"  %224 = add nsw i32 %218# %injectError6",295,16679,14,1,0,0,0,16182.449778,57535736,0
1465943091211662,"  %224 = add nsw i32 %218# %injectError6",599,597,1,1,0,0,0,705.69552207,25911626,0
1465943093335646,"  %259 = add nsw i32 %injectError221# %injectError7",1424,1296,7,1,0,0,0,839.409123898,49115444,0
Not Available,,,,,0,0,1,0,1.0,24188776,0
1465943097835690,"  %254 = add nsw i32 %218# %injectError7",1286,1318,5,1,0,0,0,3010.42995191,45849816,0
Not Available,,,,,0,0,1,0,1.0,39323066,0
1465943102366478,"  %260 = sext i32 %injectError238 to i6",1390,366,10,1,0,0,0,10917.014714,62712566,0
Not Available,,,,,0,0,1,0,1.0,64612946,0
Not Available,,,,,0,0,1,0,1.0,17618996,0
Not Available,,,,,0,0,1,0,1.0,18305898,0
Not Available,,,,,0,0,1,0,1.0,21535826,0
1465943111421148,"  %220 = add nsw i64 %217# -",55,4151,12,1,0,0,0,73598.999862,55811186,0
Not Available,,,,,0,0,1,0,1.0,53320370,0
Not Available,,,,,0,0,1,0,1.0,45799390,0
Not Available,,,,,0,0,1,0,1.0,18012716,0
1465943118176115,"  %250 = add nsw i64 %injectError214# %injectError4",647,4743,12,1,0,0,0,27489669.2117,21005626,0
1465943119144469,"  %246 = sub i64 %injectError231# %injectError22",1,4097,12,1,0,0,0,398926274.293,17482826,3
1465943120549992,"  %259 = add nsw i32 %injectError221# %injectError7",475,2523,11,1,0,0,0,8027.58323705,29215604,0
1465943121738474,"  %230 = add nuw nsw i32 %218# ",2,258,8,1,0,0,0,73515.5947591,13832006,1
Not Available,,,,,0,0,1,0,1.0,23621946,0
1465943123482794,"  %224 = add nsw i32 %218# %injectError6",596,852,8,1,0,0,0,10522.7499889,33927794,0
Not Available,,,,,0,0,1,0,1.0,19882754,0
1465943126562556,"  %70 = add i64 %19# %injectError",1978,67110842,26,0,1,0,0,0.0,34940646,1
Not Available,,,,,0,0,1,0,1.0,19852538,0
1465943129107969,"  %224 = add nsw i32 %218# %injectError6",1558,1566,3,1,0,0,0,962.326493979,45607898,0
Not Available,,,,,0,0,1,0,1.0,36679526,0
Not Available,,,,,0,0,1,0,1.0,68713766,0
Not Available,,,,,0,0,1,0,1.0,46729676,0
1465943136640746,"  %231 = add nsw i32 %injectError221# %injectError6",2449,2451,1,1,0,0,0,2587.56226695,62207094,0
1465943140387534,"  %246 = sub i64 %injectError231# %injectError22",1,0,0,1,0,0,0,1478762182.52,52700366,2
Not Available,,,,,0,0,1,0,1.0,32540696,0
1465943146472461,"  %231 = add nsw i32 %injectError221# %injectError6",1496,1528,5,1,0,0,0,2604.66903877,34179178,0
1465943148280979,"  %245 = add nsw i32 %injectError221# %injectError6",885,884,0,1,0,0,0,929.999716043,17922242,0
Not Available,,,,,0,0,1,0,1.0,42267194,0
1465943152277345,"  %225 = sext i32 %injectError217 to i6",116,-9223372036854775692,63,0,1,0,0,0.0,22522526,0
Not Available,,,,,0,0,1,0,1.0,17829530,0
1465943154272542,"  %245 = add nsw i32 %injectError221# %injectError6",225,1249,10,1,0,0,0,764.267148972,27727544,0
1465943156613046,"  %231 = add nsw i32 %injectError221# %injectError6",1894,18278,14,1,0,0,0,90068.184237,52670928,0
1465943158900123,"  %246 = sub i64 %injectError231# %injectError22",1,5,2,1,0,0,0,1298638622.07,40412286,2
Not Available,,,,,0,0,1,0,1.0,60112046,0
Not Available,,,,,0,0,1,0,1.0,16762426,0
Not Available,,,,,0,0,1,0,1.0,22369782,0
1465943165621980,"  %254 = add nsw i32 %218# %injectError7",610,614,2,1,0,0,0,207.821480989,14896698,0
Not Available,,,,,0,0,1,0,1.0,35842010,0
Not Available,,,,,0,0,1,0,1.0,31517226,0
Not Available,,,,,0,0,1,0,1.0,53457728,0
1465943172182299,"  %240 = add nsw i32 %218# %injectError6",631,630,0,1,0,0,0,90628921.4952,28205618,0
Not Available,,,,,0,0,1,0,1.0,21213946,0
Not Available,,,,,0,0,1,0,1.0,31195386,0
Not Available,,,,,0,0,1,0,1.0,22890842,0
Not Available,,,,,0,0,1,0,1.0,40744106,0
Not Available,,,,,0,0,1,0,1.0,29234946,0
1465943178920496,"  %259 = add nsw i32 %injectError221# %injectError7",1438,5534,12,1,0,0,0,117271.123876,51314366,0
1465943182008449,"  %232 = sext i32 %injectError222 to i6",900,644,8,1,0,0,0,80.3362751007,22429146,0
