exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,512568351,0
Not Available,,,,,0,0,1,0,1.0,149102295,0
1465860023143510,"  %169 = add nsw i32 %injectError41# %injectError2",109910,110422,9,1,0,0,0,8.47600724056e+15,148782513,0
Not Available,,,,,0,0,1,0,1.0,226805093,0
1465860087227038,"  %161 = add nsw i32 %injectError36# %injectError",118728,118732,2,1,0,0,0,2.94920882724e+17,265466827,0
1465860162074601,"  %169 = add nsw i32 %injectError41# %injectError2",128550,1177126,20,1,0,0,0,1.34462739072e+30,373543186,0
Not Available,,,,,0,0,1,0,1.0,176686783,0
Not Available,,,,,0,0,1,0,1.0,349442857,0
Not Available,,,,,0,0,1,0,1.0,572433500,0
Not Available,,,,,0,0,1,0,1.0,212235959,0
Not Available,,,,,0,0,1,0,1.0,232675506,0
Not Available,,,,,0,0,1,0,1.0,547532441,0
1465860621717021,"  %157 = sext i32 %injectError33 to i6",212987,245755,15,1,0,0,0,6.15212044821e+17,556633408,0
Not Available,,,,,0,0,1,0,1.0,344282979,0
1465860760553306,"  %157 = sext i32 %injectError33 to i6",117200,117712,9,1,0,0,0,7.35323494233e+17,216856418,0
1465860810599913,"  %157 = sext i32 %injectError33 to i6",86265,86267,1,1,0,0,0,4.56705458925e+17,168677226,0
1465860853067178,"  %174 = add nsw i32 %injectError45# %injectError",90459,92507,11,1,0,0,0,4.58956809058e+17,146317066,0
Not Available,,,,,0,0,1,0,1.0,253311799,0
Not Available,,,,,0,0,1,0,1.0,145890487,0
Not Available,,,,,0,0,1,0,1.0,225527768,0
Not Available,,,,,0,0,1,0,1.0,268096843,0
1465861039385458,"  %157 = sext i32 %injectError33 to i6",104489,104493,2,1,0,0,0,1.01249177448e+18,291477053,0
Not Available,,,,,0,0,1,0,1.0,275985814,0
Not Available,,,,,0,0,1,0,1.0,495551275,0
1465861223461427,"  %157 = sub i64 %injectError34# %phidx_9",505,489,4,1,0,0,0,9.58135307731e+19,488668651,2
1465861313483276,"  %167 = add nuw nsw i32 %152# ",87,85,1,1,0,0,0,2.44645188301e+18,137521106,0
1465861353610452,"  %161 = add nsw i32 %injectError36# %injectError",118465,118401,6,1,0,0,0,7.69714980661e+17,216234433,0
1465861404870055,"  %169 = add nsw i32 %injectError41# %injectError2",35520,101056,16,1,0,0,0,9.87911613195e+29,157639219,0
Not Available,,,,,0,0,1,0,1.0,95769595,0
Not Available,,,,,0,0,1,0,1.0,146073810,0
1465861493820495,"  %167 = add nuw nsw i32 %152# ",311,310,0,1,0,0,0,2.9811693025e+17,234740554,0
1465861550824918,"  %175 = sub i64 %injectError47# %injectError3",339,-9223372036854775469,63,0,1,0,0,0.0,212115412,0
1465861605029333,"  %174 = add nsw i32 %injectError45# %injectError",96403,94355,11,1,0,0,0,5.90188548524e+17,195436109,0
1465861652648491,"  %174 = add nsw i32 %injectError45# %injectError",107818,107562,8,1,0,0,0,1.40842814594e+18,191988726,0
1465861711031772,"  %169 = add nsw i32 %injectError41# %injectError2",213650,213648,1,1,0,0,0,1.02374611607e+18,307632092,0
Not Available,,,,,0,0,1,0,1.0,320107043,0
Not Available,,,,,0,0,1,0,1.0,101551791,0
1465861831937790,"  %170 = sext i32 %injectError42 to i6",36116,44308,13,1,0,0,0,8.07752471519e+17,98591999,0
Not Available,,,,,0,0,1,0,1.0,194971412,0
Not Available,,,,,0,0,1,0,1.0,290187598,0
Not Available,,,,,0,0,1,0,1.0,264675898,0
Not Available,,,,,0,0,1,0,1.0,258900235,0
Not Available,,,,,0,0,1,0,1.0,322338460,0
1465862028338494,"  %161 = add nsw i32 %injectError36# %injectError",179817,179816,0,1,0,0,0,4.37780609392e+16,365537955,0
Not Available,,,,,0,0,1,0,1.0,307137177,0
Not Available,,,,,0,0,1,0,1.0,178905861,0
Not Available,,,,,0,0,1,0,1.0,461045873,0
Not Available,,,,,0,0,1,0,1.0,220625548,0
Not Available,,,,,0,0,1,0,1.0,221780370,0
1465862362792507,"  %174 = add nsw i32 %injectError45# %injectError",60024,191096,17,1,0,0,0,1.05356566798e+18,175682953,0
Not Available,,,,,0,0,1,0,1.0,160293461,0
Not Available,,,,,0,0,1,0,1.0,182496457,0
Not Available,,,,,0,0,1,0,1.0,113715339,0
1465862489341580,"  %175 = sext i32 %injectError46 to i6",91336,91328,3,1,0,0,0,1.59621458681e+18,296059057,0
1465862571828256,"  %155 = mul nsw i32 %152# %",47124,178196,17,1,0,0,0,3.22002422619e+17,402255580,0
Not Available,,,,,0,0,1,0,1.0,573554397,0
Not Available,,,,,0,0,1,0,1.0,147805336,0
Not Available,,,,,0,0,1,0,1.0,314017930,0
1465862833918364,"  %160 = mul nsw i32 %152# %",117725,117469,8,1,0,0,0,6.88523567391e+17,270556840,0
Not Available,,,,,0,0,1,0,1.0,355730624,0
1465862962284614,"  %160 = mul nsw i32 %152# %",70192,70256,6,1,0,0,0,4.16425556437e+18,183807613,0
Not Available,,,,,0,0,1,0,1.0,212536426,0
Not Available,,,,,0,0,1,0,1.0,237164540,0
1465863083818426,"  %162 = sext i32 %injectError37 to i6",16184,81720,16,1,0,0,0,2.41953533502e+18,205440632,0
Not Available,,,,,0,0,1,0,1.0,197971242,0
Not Available,,,,,0,0,1,0,1.0,197624639,0
Not Available,,,,,0,0,1,0,1.0,87390582,0
1465863186740692,"  %174 = add nsw i32 %injectError45# %injectError",77318,75270,11,1,0,0,0,2.2452559294e+18,99971323,0
1465863231614975,"  %168 = mul nsw i32 %injectError40# %",77000,76936,6,1,0,0,0,1.77062131164e+18,322647921,0
1465863322944090,"  %169 = add nsw i32 %injectError41# %injectError2",123467,123459,3,1,0,0,0,9.22257807991e+17,457583534,0
1465863413913579,"  %175 = sub i64 %injectError47# %injectError3",335,367,5,1,0,0,0,2.44139510376e+20,205139656,2
1465863459895943,"  %162 = sext i32 %injectError37 to i6",73050,73034,4,1,0,0,0,1.74449594627e+18,127239866,0
Not Available,,,,,0,0,1,0,1.0,514877988,0
Not Available,,,,,0,0,1,0,1.0,170478052,0
1465863578569324,"  %162 = sext i32 %injectError37 to i6",12367,14415,11,1,0,0,0,9.51482005532e+17,282738014,0
Not Available,,,,,0,0,1,0,1.0,199406714,0
Not Available,,,,,0,0,1,0,1.0,141661500,0
Not Available,,,,,0,0,1,0,1.0,230601124,0
1465863739752836,"  %157 = sext i32 %injectError33 to i6",211551,211039,9,1,0,0,0,2.32194690221e+17,360013055,0
Not Available,,,,,0,0,1,0,1.0,285609977,0
Not Available,,,,,0,0,1,0,1.0,160955157,0
1465863900685215,"  %167 = add nuw nsw i32 %152# ",35,33,1,1,0,0,0,2.62388527838e+18,515672029,0
1465864003661178,"  %156 = add nsw i32 %injectError32# %injectError2",39439,39567,7,1,0,0,0,1.90734926142e+18,245385359,0
1465864059189093,"  %160 = mul nsw i32 %152# %",126699,124651,11,1,0,0,0,2.94011768981e+17,157835438,0
Not Available,,,,,0,0,1,0,1.0,492306291,0
Not Available,,,,,0,0,1,0,1.0,415853788,0
Not Available,,,,,0,0,1,0,1.0,373226944,0
Not Available,,,,,0,0,1,0,1.0,167593139,0
Not Available,,,,,0,0,1,0,1.0,213259706,0
1465864331061219,"  %174 = add nsw i32 %injectError45# %injectError",67635,67891,8,1,0,0,0,1.50528162605e+18,182857480,0
Not Available,,,,,0,0,1,0,1.0,202055559,0
Not Available,,,,,0,0,1,0,1.0,249798736,0
Not Available,,,,,0,0,1,0,1.0,250656775,0
1465864467575387,"  %155 = mul nsw i32 %152# %",115206,115214,3,1,0,0,0,1.42614295459e+17,346814234,0
1465864550915758,"  %169 = add nsw i32 %injectError41# %injectError2",33334,33462,7,1,0,0,0,3.04134586326e+18,347198602,0
Not Available,,,,,0,0,1,0,1.0,234129394,0
Not Available,,,,,0,0,1,0,1.0,143780217,0
Not Available,,,,,0,0,1,0,1.0,189508595,0
Not Available,,,,,0,0,1,0,1.0,159409444,0
1465864762012635,"  %160 = mul nsw i32 %152# %",96317,129085,15,1,0,0,0,8.07064565219e+15,199757456,0
Not Available,,,,,0,0,1,0,1.0,146304562,0
1465864829659036,"  %169 = add nsw i32 %injectError41# %injectError2",54704,54706,1,1,0,0,0,5.51524062612e+17,109077404,0
Not Available,,,,,0,0,1,0,1.0,184081861,0
Not Available,,,,,0,0,1,0,1.0,302597025,0
Not Available,,,,,0,0,1,0,1.0,281102029,0
Not Available,,,,,0,0,1,0,1.0,512117657,0
Not Available,,,,,0,0,1,0,1.0,187978799,0
Not Available,,,,,0,0,1,0,1.0,78411547,0
1465865109130425,"  %174 = add nsw i32 %injectError45# %injectError",53337,53465,7,1,0,0,0,1.61120950864e+18,153698425,0
1465865167222759,"  %160 = mul nsw i32 %152# %",71604,71605,0,1,0,0,0,6.0473764879e+16,389977300,0
Not Available,,,,,0,0,1,0,1.0,521080104,0
Not Available,,,,,0,0,1,0,1.0,279531108,0
Not Available,,,,,0,0,1,0,1.0,172004323,0
1465865454206744,"  %160 = mul nsw i32 %152# %",202768,202832,6,1,0,0,0,8.43473918612e+17,486883979,0
Not Available,,,,,0,0,1,0,1.0,295993339,0
Not Available,,,,,0,0,1,0,1.0,197624639,0
Not Available,,,,,0,0,1,0,1.0,338801082,0
Not Available,,,,,0,0,1,0,1.0,266126579,0
Not Available,,,,,0,0,1,0,1.0,180754372,0
Not Available,,,,,0,0,1,0,1.0,352157750,0
1465865795955269,"  %170 = sext i32 %injectError42 to i6",87246,87262,4,1,0,0,0,2.1431683157e+17,221399353,0
1465865853277461,"  %167 = add nuw nsw i32 %152# ",269,265,2,1,0,0,0,2.17601313752e+18,244365786,0
1465865918039087,"  %157 = sext i32 %injectError33 to i6",169413,38341,17,1,0,0,0,4.56318871681e+17,272914641,0
Not Available,,,,,0,0,1,0,1.0,123381989,0
1465866021484750,"  %169 = add nsw i32 %injectError41# %injectError2",147174,147142,5,1,0,0,0,3.53110102709e+17,340384213,0
1465866100678256,"  %167 = add nuw nsw i32 %152# ",237,239,1,1,0,0,0,7.30738332408e+17,209232276,0
Not Available,,,,,0,0,1,0,1.0,143250758,0
Not Available,,,,,0,0,1,0,1.0,253622023,0
Not Available,,,,,0,0,1,0,1.0,134392801,0
Not Available,,,,,0,0,1,0,1.0,139540884,0
1465866307039568,"  %155 = mul nsw i32 %152# %",195818,195822,2,1,0,0,0,3.95835375393e+16,521080104,0
1465866424978010,"  %174 = add nsw i32 %injectError45# %injectError",198173,200221,11,1,0,0,0,3.90779399644e+18,442025410,0
Not Available,,,,,0,0,1,0,1.0,233580441,0
1465866548349142,"  %162 = sext i32 %injectError37 to i6",64999,2305843009213758951,61,0,1,0,0,0.0,168226595,0
Not Available,,,,,0,0,1,0,1.0,230918897,0
1465866637719478,"  %175 = sext i32 %injectError46 to i6",57319,57255,6,1,0,0,0,4.75083881088e+18,132356029,0
Not Available,,,,,0,0,1,0,1.0,214993929,0
1465866735157921,"  %162 = sext i32 %injectError37 to i6",64416,63904,9,1,0,0,0,9.04010979119e+17,345603977,0
