instruction_name,file_name,line_no,is_vector
"  %newgep_581 = getelementptr double# double* %phibase_444# i64 %relidx_580",,,0
"  %newgep_607 = getelementptr double# double* %newgep_605# i64 %relidx_606",,,0
"  %174 = getelementptr double# double* %newgep_607# i64 2",,,0
"  %newgep_697 = getelementptr double# double* %phibase_406# i64 %relidx_696",,,0
"  %newgep_689 = getelementptr double# double* %phibase_126# i64 %relidx_688",,,0
"  %newgep_587 = getelementptr double# double* %phibase_254# i64 %relidx_586",,,0
"  %116 = getelementptr double# double* %newgep_587# i64 2",,,0
"  %newgep_ = getelementptr double# double* %phibase_# i64 %relidx_",,,0
"  %newgep_579 = getelementptr double# double* %phibase_158# i64 %relidx_578",,,0
"  %duprsltadr_ = getelementptr double# double* %3# i64 %phidx_21",,,0
"  %duprsltadr_699 = getelementptr double# double* %4# i64 %phidx_161",,,0
"  %duprsltadr_707 = getelementptr double# double* %5# i64 %phidx_301",,,0
"  %duprsltadr_715 = getelementptr double# double* %6# i64 %phidx_441",,,0
"  %newgep_583 = getelementptr double# double* %phibase_234# i64 %relidx_582",,,0
"  %95 = getelementptr double# double* %newgep_583# i64 2",,,0
"  %newgep_585 = getelementptr double# double* %newgep_583# i64 %relidx_584",,,0
"  %99 = getelementptr double# double* %newgep_585# i64 2",,,0
"  %newgep_609 = getelementptr double# double* %phibase_240# i64 %relidx_608",,,0
"  %newgep_613 = getelementptr double# double* %phibase_380# i64 %relidx_612",,,0
"  %newgep_615 = getelementptr double# double* %newgep_613# i64 %relidx_614",,,0
"  %newgep_589 = getelementptr double# double* %phibase_206# i64 %relidx_588",,,0
"  %newgep_591 = getelementptr double# double* %phibase_182# i64 %relidx_590",,,0
"  %newgep_593 = getelementptr double# double* %newgep_591# i64 %relidx_592",,,0
"  %newgep_595 = getelementptr double# double* %phibase_322# i64 %relidx_594",,,0
"  %newgep_597 = getelementptr double# double* %newgep_595# i64 %relidx_596",,,0
"  %newgep_599 = getelementptr double# double* %newgep_597# i64 %relidx_598",,,0
"  %newgep_601 = getelementptr double# double* %newgep_599# i64 %relidx_600",,,0
"  %newgep_603 = getelementptr double# double* %phibase_264# i64 %relidx_602",,,0
