instruction_name,file_name,line_no,is_vector
"  %newgep_58 = getelementptr double# double* %phibase_35# i64 %relidx_57",,,0
"  %newgep_60 = getelementptr double# double* %phibase_47# i64 %relidx_59",,,0
"  %newgep_62 = getelementptr double# double* %newgep_60# i64 %relidx_61",,,0
"  %newgep_64 = getelementptr double# double* %newgep_62# i64 %relidx_63",,,0
"  %newgep_66 = getelementptr double# double* %newgep_64# i64 %relidx_65",,,0
"  %newgep_68 = getelementptr double# double* %phibase_51# i64 %relidx_67",,,0
"  %newgep_70 = getelementptr double# double* %newgep_68# i64 %relidx_69",,,0
"  %newgep_72 = getelementptr double# double* %phibase_9# i64 %relidx_71",,,0
"  %newgep_74 = getelementptr double# double* %phibase_27# i64 %relidx_73",,,0
"  %newgep_76 = getelementptr double# double* %newgep_74# i64 %relidx_75",,,0
"  %newgep_78 = getelementptr double# double* %newgep_76# i64 %relidx_77",,,0
"  %newgep_80 = getelementptr double# double* %newgep_78# i64 %relidx_79",,,0
"  %newgep_82 = getelementptr double# double* %phibase_31# i64 %relidx_81",,,0
"  %newgep_84 = getelementptr double# double* %newgep_82# i64 %relidx_83",,,0
"  %newgep_ = getelementptr double# double* %phibase_15# i64 %relidx_",,,0
"  %duprsltadr_ = getelementptr double# double* %1# i64 %phidx_2",,,0
