instruction_name,file_name,line_no,is_vector
"  %newgep_132 = getelementptr double# double* %phibase_11# i64 %relidx_131",,,0
"  %newgep_136 = getelementptr double# double* %phibase_101# i64 %relidx_135",,,0
"  %newgep_134 = getelementptr double# double* %phibase_39# i64 %relidx_133",,,0
"  %newgep_ = getelementptr double# double* %phibase_49# i64 %relidx_",,,0
"  %50 = getelementptr double# double* %newgep_# i64 2",,,0
"  %newgep_126 = getelementptr double# double* %newgep_# i64 %relidx_125",,,0
"  %61 = getelementptr double# double* %newgep_126# i64 2",,,0
"  %newgep_128 = getelementptr double# double* %phibase_55# i64 %relidx_127",,,0
"  %80 = getelementptr double# double* %newgep_128# i64 2",,,0
"  %newgep_130 = getelementptr double# double* %phibase_21# i64 %relidx_129",,,0
"  %newgep_142 = getelementptr double# double* %phibase_91# i64 %relidx_141",,,0
"  %newgep_138 = getelementptr double# double* %phibase_29# i64 %relidx_137",,,0
"  %newgep_144 = getelementptr double# double* %newgep_142# i64 %relidx_143",,,0
"  %newgep_140 = getelementptr double# double* %newgep_138# i64 %relidx_139",,,0
"  %duprsltadr_ = getelementptr double# double* %4# i64 %phidx_4",,,0
"  %duprsltadr_146 = getelementptr double# double* %3# i64 %phidx_66",,,0
