instruction_name,file_name,line_no,is_vector
"  %relidx_ = sub i64 %40# %phidx_85",,,0
"  %41 = mul nsw i64 %40# %32",,,0
"  %relidx_212 = sub i64 %41# %phidx_131",,,0
"  %relidx_214 = sub i64 %41# %phidx_177",,,0
"  %45 = trunc i64 %41 to i32",,,0
"  %46 = add i64 %41# 4294967295",,,0
"  %47 = add i64 %40# 4294967295",,,0
"  %48 = add nuw nsw i64 %40# 1",,,0
"  %49 = trunc i64 %47 to i32",,,0
"  %50 = trunc i64 %40 to i32",,,0
"  %51 = trunc i64 %48 to i32",,,0
"  %149 = add nsw i32 %138# -1",,,0
"  %151 = add nsw i64 %137# -1",,,0
"  %155 = add i64 %125# %153",,,0
"  %156 = shl i64 %155# 32",,,0
"  %157 = ashr exact i64 %156# 32",,,0
"  %relidx_260 = sub i64 %157# %phidx_153",,,0
"  %162 = add nsw i32 %154# %124",,,0
"  %163 = sext i32 %162 to i64",,,0
"  %relidx_262 = sub i64 %163# %157",,,0
"  %164 = add nsw i32 %154# %130",,,0
"  %165 = sext i32 %164 to i64",,,0
"  %relidx_254 = sub i64 %165# %phidx_107",,,0
"  %relidx_256 = sub i64 %163# %165",,,0
"  %87 = mul nsw i32 %77# %1",,,0
"  %88 = add nsw i32 %49# %87",,,0
"  %89 = sext i32 %88 to i64",,,0
"  %relidx_224 = sub i64 %89# %phidx_43",,,0
"  %92 = add nsw i32 %87# %50",,,0
"  %93 = sext i32 %92 to i64",,,0
"  %relidx_226 = sub i64 %93# %89",,,0
"  %21 = add nsw i32 %1# -1",,,0
"  %23 = mul nsw i32 %21# %1",,,0
"  %24 = add nsw i32 %1# -2",,,0
"  %32 = sext i32 %1 to i64",,,0
"  %33 = sext i32 %24 to i64",,,0
"  %34 = sext i32 %23 to i64",,,0
"  %35 = sext i32 %21 to i64",,,0
"  %58 = add nsw i32 %57# %45",,,0
"  %59 = sext i32 %58 to i64",,,0
"  %relidx_220 = sub i64 %59# %phidx_143",,,0
"  %61 = add nsw i32 %57# 1",,,0
"  %62 = mul nsw i32 %61# %1",,,0
"  %63 = add nsw i32 %62# %50",,,0
"  %64 = sext i32 %63 to i64",,,0
"  %relidx_216 = sub i64 %64# %phidx_97",,,0
"  %relidx_222 = sub i64 %59# %phidx_189",,,0
"  %69 = mul nsw i32 %57# %1",,,0
"  %70 = add nsw i32 %69# %50",,,0
"  %71 = sext i32 %70 to i64",,,0
"  %relidx_218 = sub i64 %71# %64",,,0
"  %72 = add nsw i32 %57# -1",,,0
"  %78 = add i64 %46# %76",,,0
"  %79 = shl i64 %78# 32",,,0
"  %80 = ashr exact i64 %79# 32",,,0
"  %relidx_230 = sub i64 %80# %phidx_135",,,0
"  %85 = add nsw i32 %77# %45",,,0
"  %86 = sext i32 %85 to i64",,,0
"  %relidx_232 = sub i64 %86# %80",,,0
"  %171 = add nsw i32 %154# %131",,,0
"  %172 = sext i32 %171 to i64",,,0
"  %relidx_258 = sub i64 %172# %163",,,0
"  %relidx_264 = sub i64 %157# %phidx_199",,,0
"  %relidx_266 = sub i64 %163# %157",,,0
"  %183 = add nuw nsw i64 %153# 1",,,0
"  %184 = add nuw nsw i32 %154# 1",,,0
"  %97 = add nsw i32 %51# %87",,,0
"  %98 = sext i32 %97 to i64",,,0
"  %relidx_228 = sub i64 %98# %93",,,0
"  %relidx_234 = sub i64 %80# %phidx_181",,,0
"  %relidx_236 = sub i64 %86# %80",,,0
"  %109 = add nuw nsw i64 %76# 1",,,0
"  %110 = add nuw nsw i32 %77# 1",,,0
"  %114 = add nsw i64 %40# %34",,,0
"  %relidx_238 = sub i64 %114# %phidx_91",,,0
"  %120 = mul nsw i64 %119# %32",,,0
"  %relidx_240 = sub i64 %120# %phidx_59",,,0
"  %relidx_242 = sub i64 %120# %phidx_151",,,0
"  %relidx_244 = sub i64 %120# %phidx_197",,,0
"  %124 = trunc i64 %120 to i32",,,0
"  %125 = add i64 %120# 4294967295",,,0
"  %126 = add nsw i64 %119# -1",,,0
"  %127 = mul nsw i64 %126# %32",,,0
"  %128 = add nuw nsw i64 %119# 1",,,0
"  %129 = mul nsw i64 %128# %32",,,0
"  %130 = trunc i64 %127 to i32",,,0
"  %131 = trunc i64 %129 to i32",,,0
"  %139 = add nsw i32 %138# %124",,,0
"  %140 = sext i32 %139 to i64",,,0
"  %relidx_250 = sub i64 %140# %phidx_161",,,0
"  %142 = add i64 %190# %137",,,0
"  %143 = shl i64 %142# 32",,,0
"  %144 = ashr exact i64 %143# 32",,,0
"  %relidx_246 = sub i64 %144# %phidx_69",,,0
"  %relidx_252 = sub i64 %140# %phidx_207",,,0
"  %relidx_248 = sub i64 %140# %144",,,0
"  %188 = add nsw i64 %120# %35",,,0
"  %relidx_268 = sub i64 %188# %phidx_63",,,0
"  %190 = add i64 %120# 1",,,0
