instruction_name,file_name,line_no,is_vector
"  %12 = mul nsw i32 %8# %0",,,0
"  %14 = mul nsw i64 %7# %5",,,0
"  %16 = mul nsw i32 %8# %0",,,0
"  %19 = trunc i64 %7 to i32",,,0
"  %20 = add nsw i32 %18# %19",,,0
"  %21 = sext i32 %20 to i64",,,0
"  %relidx_59 = sub i64 %21# %phidx_12",,,0
"  %23 = trunc i64 %7 to i32",,,0
"  %24 = add nsw i32 %16# %23",,,0
"  %25 = sext i32 %24 to i64",,,0
"  %relidx_61 = sub i64 %25# %phidx_40",,,0
"  %37 = add nsw i64 %32# %14",,,0
"  %relidx_63 = sub i64 %37# %phidx_16",,,0
"  %39 = mul nsw i64 %32# %5",,,0
"  %40 = add nsw i64 %32# %14",,,0
"  %relidx_65 = sub i64 %40# %phidx_14",,,0
"  %50 = add nsw i64 %48# %14",,,0
"  %relidx_67 = sub i64 %50# %phidx_32",,,0
"  %5 = sext i32 %0 to i64",,,0
"  %52 = add nsw i64 %48# %39",,,0
"  %relidx_69 = sub i64 %52# %50",,,0
"  %56 = or i64 %48# 1",,,0
"  %57 = add nsw i64 %56# %14",,,0
"  %relidx_71 = sub i64 %57# %52",,,0
"  %59 = add nsw i64 %56# %39",,,0
"  %relidx_73 = sub i64 %59# %57",,,0
"  %63 = add nsw i64 %48# 2",,,0
"  %75 = add nsw i64 %71# %14",,,0
"  %relidx_75 = sub i64 %75# %phidx_36",,,0
"  %77 = add nsw i64 %71# %39",,,0
"  %relidx_77 = sub i64 %77# %75",,,0
"  %85 = mul nsw i32 %33# %0",,,0
"  %86 = trunc i64 %32 to i32",,,0
"  %87 = add nsw i32 %85# %86",,,0
"  %88 = sext i32 %87 to i64",,,0
"  %relidx_79 = sub i64 %88# %phidx_24",,,0
"  %92 = add nuw nsw i64 %32# 1",,,0
"  %93 = add nuw nsw i32 %33# 1",,,0
"  %100 = add nsw i64 %98# %14",,,0
"  %relidx_81 = sub i64 %100# %phidx_52",,,0
"  %104 = or i64 %98# 1",,,0
"  %105 = add nsw i64 %104# %14",,,0
"  %relidx_83 = sub i64 %105# %100",,,0
"  %109 = or i64 %98# 2",,,0
"  %110 = add nsw i64 %109# %14",,,0
"  %relidx_85 = sub i64 %110# %105",,,0
"  %114 = or i64 %98# 3",,,0
"  %115 = add nsw i64 %114# %14",,,0
"  %relidx_87 = sub i64 %115# %110",,,0
"  %119 = add nsw i64 %98# 4",,,0
"  %134 = add nsw i64 %132# %14",,,0
"  %relidx_ = sub i64 %134# %phidx_54",,,0
"  %138 = add nuw nsw i64 %132# 1",,,0
"  %147 = add nuw nsw i64 %7# 1",,,0
"  %148 = add nuw nsw i32 %8# 1",,,0
