instruction_name,file_name,line_no,is_vector
"  %81 = add nuw nsw i64 %73# 1",,,0
"  %76 = sub nsw i64 %28# %73",,,0
"  %relidx_93 = sub i64 %76# %phidx_20",,,0
"  %relidx_95 = sub i64 %73# %phidx_60",,,0
"  %relidx_97 = sub i64 %15# %phidx_10",,,0
"  %92 = add nsw i64 %15# -1",,,0
"  %22 = add i64 %16# 1",,,0
"  %28 = add nsw i64 %15# -1",,,0
"  %37 = sub nsw i64 %28# %34",,,0
"  %relidx_ = sub i64 %37# %phidx_14",,,0
"  %relidx_85 = sub i64 %34# %phidx_54",,,0
"  %42 = or i64 %34# 1",,,0
"  %43 = sub nsw i64 %28# %42",,,0
"  %relidx_79 = sub i64 %43# %37",,,0
"  %relidx_87 = sub i64 %42# %34",,,0
"  %48 = or i64 %34# 2",,,0
"  %49 = sub nsw i64 %28# %48",,,0
"  %relidx_81 = sub i64 %49# %43",,,0
"  %relidx_89 = sub i64 %48# %42",,,0
"  %54 = or i64 %34# 3",,,0
"  %55 = sub nsw i64 %28# %54",,,0
"  %relidx_83 = sub i64 %55# %49",,,0
"  %relidx_91 = sub i64 %54# %48",,,0
"  %60 = add nsw i64 %34# 4",,,0
"  %95 = and i64 %22# -4",,,0
"  %relidx_99 = sub i64 %101# %phidx_72",,,0
"  %107 = sub nsw i64 %92# %101",,,0
"  %relidx_101 = sub i64 %107# %101",,,0
"  %125 = add i64 %101# 4",,,0
"  %relidx_103 = sub i64 %132# %phidx_64",,,0
"  %134 = sub nsw i64 %92# %132",,,0
"  %relidx_105 = sub i64 %134# %132",,,0
"  %139 = add nuw nsw i64 %132# 1",,,0
"  %relidx_107 = sub i64 %15# %phidx_74",,,0
"  %144 = add nuw nsw i64 %15# 1",,,0
"  %146 = add nuw nsw i64 %16# 1",,,0
"  %81 = add nuw nsw i64 %73# 1",,,0
"  %relidx_85 = sub i64 %34# %phidx_54",,,0
"  %42 = or i64 %34# 1",,,0
"  %43 = sub nsw i64 %28# %42",,,0
"  %relidx_79 = sub i64 %43# %37",,,0
"  %relidx_87 = sub i64 %42# %34",,,0
"  %48 = or i64 %34# 2",,,0
"  %49 = sub nsw i64 %28# %48",,,0
"  %relidx_81 = sub i64 %49# %43",,,0
"  %relidx_89 = sub i64 %48# %42",,,0
"  %54 = or i64 %34# 3",,,0
"  %55 = sub nsw i64 %28# %54",,,0
"  %relidx_83 = sub i64 %55# %49",,,0
"  %relidx_91 = sub i64 %54# %48",,,0
"  %60 = add nsw i64 %34# 4",,,0
"  %22 = add i64 %16# 1",,,0
"  %28 = add nsw i64 %15# -1",,,0
"  %37 = sub nsw i64 %28# %34",,,0
"  %relidx_ = sub i64 %37# %phidx_14",,,0
"  %76 = sub nsw i64 %28# %73",,,0
"  %relidx_93 = sub i64 %76# %phidx_20",,,0
"  %relidx_95 = sub i64 %73# %phidx_60",,,0
"  %relidx_97 = sub i64 %15# %phidx_10",,,0
"  %92 = add nsw i64 %15# -1",,,0
"  %95 = and i64 %22# -4",,,0
"  %relidx_99 = sub i64 %101# %phidx_72",,,0
"  %107 = sub nsw i64 %92# %101",,,0
"  %relidx_101 = sub i64 %107# %101",,,0
"  %125 = add i64 %101# 4",,,0
"  %relidx_103 = sub i64 %132# %phidx_64",,,0
"  %134 = sub nsw i64 %92# %132",,,0
"  %relidx_105 = sub i64 %134# %132",,,0
"  %139 = add nuw nsw i64 %132# 1",,,0
"  %relidx_107 = sub i64 %15# %phidx_74",,,0
"  %144 = add nuw nsw i64 %15# 1",,,0
"  %146 = add nuw nsw i64 %16# 1",,,0
"  %81 = add nuw nsw i64 %73# 1",,,0
"  %76 = sub nsw i64 %28# %73",,,0
"  %relidx_93 = sub i64 %76# %phidx_20",,,0
"  %relidx_95 = sub i64 %73# %phidx_60",,,0
"  %relidx_97 = sub i64 %15# %phidx_10",,,0
"  %92 = add nsw i64 %15# -1",,,0
"  %22 = add i64 %16# 1",,,0
