instruction_name,file_name,line_no,is_vector
"  %78 = mul i64 %47# %77",,,0
"  %relidx_ = sub i64 %78# %phidx_112",,,0
"  %79 = add i64 %52# %78",,,0
"  %relidx_311 = sub i64 %79# %78",,,0
"  %80 = mul nsw i64 %77# %47",,,0
"  %89 = add nsw i64 %87# %80",,,0
"  %relidx_313 = sub i64 %89# %phidx_154",,,0
"  %99 = or i64 %87# 4",,,0
"  %100 = add nsw i64 %99# %80",,,0
"  %relidx_315 = sub i64 %100# %89",,,0
"  %110 = add i64 %87# 8",,,0
"  %232 = add nsw i64 %225# %80",,,0
"  %relidx_339 = sub i64 %232# %phidx_190",,,0
"  %235 = or i64 %225# 1",,,0
"  %238 = add nsw i64 %235# %153",,,0
"  %relidx_337 = sub i64 %238# %229",,,0
"  %241 = add nsw i64 %235# %80",,,0
"  %relidx_341 = sub i64 %241# %232",,,0
"  %244 = add nsw i64 %225# 2",,,0
"  %119 = add nsw i64 %116# %80",,,0
"  %relidx_317 = sub i64 %119# %phidx_164",,,0
"  %47 = sext i32 %1 to i64",,,0
"  %48 = sext i32 %2 to i64",,,0
"  %49 = add i32 %1# -1",,,0
"  %50 = zext i32 %49 to i64",,,0
"  %51 = add nuw nsw i64 %50# 1",,,0
"  %52 = zext i32 %49 to i64",,,0
"  %53 = zext i32 %49 to i64",,,0
"  %54 = add nuw nsw i64 %53# 1",,,0
"  %62 = and i64 %51# 8589934588",,,0
"  %67 = and i64 %54# 8589934588",,,0
"  %221 = add nuw nsw i64 %149# 1",,,0
"  %229 = add nsw i64 %225# %153",,,0
"  %relidx_335 = sub i64 %229# %phidx_86",,,0
"  %133 = add nuw nsw i64 %77# 1",,,0
"  %138 = add nsw i64 %137# %80",,,0
"  %relidx_319 = sub i64 %138# %phidx_126",,,0
"  %141 = add nuw nsw i64 %137# 1",,,0
"  %147 = mul nsw i64 %77# %48",,,0
"  %150 = mul i64 %47# %149",,,0
"  %relidx_321 = sub i64 %150# %phidx_66",,,0
"  %151 = add i64 %52# %150",,,0
"  %relidx_323 = sub i64 %151# %150",,,0
"  %152 = add nsw i64 %149# %147",,,0
"  %relidx_325 = sub i64 %152# %phidx_274",,,0
"  %153 = mul nsw i64 %149# %47",,,0
"  %182 = add nsw i64 %181# %153",,,0
"  %relidx_327 = sub i64 %182# %phidx_96",,,0
"  %190 = add nsw i64 %181# %80",,,0
"  %relidx_329 = sub i64 %190# %phidx_200",,,0
"  %200 = add i64 %181# 4",,,0
"  %212 = add nsw i64 %206# %153",,,0
"  %relidx_331 = sub i64 %212# %phidx_92",,,0
"  %215 = add nsw i64 %206# %80",,,0
"  %relidx_333 = sub i64 %215# %phidx_196",,,0
"  %78 = mul i64 %47# %77",,,0
"  %relidx_ = sub i64 %78# %phidx_112",,,0
"  %79 = add i64 %52# %78",,,0
"  %relidx_311 = sub i64 %79# %78",,,0
"  %80 = mul nsw i64 %77# %47",,,0
"  %89 = add nsw i64 %87# %80",,,0
"  %relidx_313 = sub i64 %89# %phidx_154",,,0
"  %99 = or i64 %87# 4",,,0
"  %100 = add nsw i64 %99# %80",,,0
"  %relidx_315 = sub i64 %100# %89",,,0
"  %110 = add i64 %87# 8",,,0
"  %232 = add nsw i64 %225# %80",,,0
"  %relidx_339 = sub i64 %232# %phidx_190",,,0
"  %235 = or i64 %225# 1",,,0
"  %238 = add nsw i64 %235# %153",,,0
"  %relidx_337 = sub i64 %238# %229",,,0
"  %241 = add nsw i64 %235# %80",,,0
"  %relidx_341 = sub i64 %241# %232",,,0
"  %244 = add nsw i64 %225# 2",,,0
"  %119 = add nsw i64 %116# %80",,,0
"  %relidx_317 = sub i64 %119# %phidx_164",,,0
"  %47 = sext i32 %1 to i64",,,0
"  %48 = sext i32 %2 to i64",,,0
"  %49 = add i32 %1# -1",,,0
"  %50 = zext i32 %49 to i64",,,0
"  %51 = add nuw nsw i64 %50# 1",,,0
"  %52 = zext i32 %49 to i64",,,0
"  %53 = zext i32 %49 to i64",,,0
"  %54 = add nuw nsw i64 %53# 1",,,0
"  %62 = and i64 %51# 8589934588",,,0
"  %67 = and i64 %54# 8589934588",,,0
"  %221 = add nuw nsw i64 %149# 1",,,0
"  %229 = add nsw i64 %225# %153",,,0
"  %relidx_335 = sub i64 %229# %phidx_86",,,0
"  %133 = add nuw nsw i64 %77# 1",,,0
"  %138 = add nsw i64 %137# %80",,,0
"  %relidx_319 = sub i64 %138# %phidx_126",,,0
"  %141 = add nuw nsw i64 %137# 1",,,0
"  %147 = mul nsw i64 %77# %48",,,0
"  %150 = mul i64 %47# %149",,,0
"  %relidx_321 = sub i64 %150# %phidx_66",,,0
"  %151 = add i64 %52# %150",,,0
"  %relidx_323 = sub i64 %151# %150",,,0
"  %152 = add nsw i64 %149# %147",,,0
"  %relidx_325 = sub i64 %152# %phidx_274",,,0
"  %153 = mul nsw i64 %149# %47",,,0
"  %182 = add nsw i64 %181# %153",,,0
"  %relidx_327 = sub i64 %182# %phidx_96",,,0
"  %190 = add nsw i64 %181# %80",,,0
"  %relidx_329 = sub i64 %190# %phidx_200",,,0
"  %200 = add i64 %181# 4",,,0
"  %212 = add nsw i64 %206# %153",,,0
"  %relidx_331 = sub i64 %212# %phidx_92",,,0
"  %215 = add nsw i64 %206# %80",,,0
"  %relidx_333 = sub i64 %215# %phidx_196",,,0
"  %78 = mul i64 %47# %77",,,0
"  %relidx_ = sub i64 %78# %phidx_8",,,0
