instruction_name,file_name,line_no,is_vector
"  %45 = mul i32 %43# %1",,,0
"  %46 = add i32 %17# %45",,,0
"  %47 = sext i32 %46 to i64",,,0
"  %relidx_159 = sub i64 %47# %phidx_82",,,0
"  %49 = add i32 %45# 1",,,0
"  %50 = sext i32 %49 to i64",,,0
"  %relidx_151 = sub i64 %50# %phidx_24",,,0
"  %52 = add i32 %21# %45",,,0
"  %53 = sext i32 %52 to i64",,,0
"  %relidx_153 = sub i64 %53# %50",,,0
"  %55 = add i32 %22# %45",,,0
"  %56 = sext i32 %55 to i64",,,0
"  %relidx_155 = sub i64 %56# %53",,,0
"  %58 = add i32 %45# %1",,,0
"  %59 = sext i32 %58 to i64",,,0
"  %relidx_157 = sub i64 %59# %56",,,0
"  %61 = mul nsw i32 %44# %1",,,0
"  %62 = add nuw nsw i32 %44# 1",,,0
"  %63 = mul nsw i32 %62# %1",,,0
"  %64 = add nsw i32 %44# -1",,,0
"  %65 = mul nsw i32 %64# %1",,,0
"  %85 = insertelement <2 x i32> undef# i32 %61# i32 0",,,1
"  %86 = shufflevector <2 x i32> %85# <2 x i32> undef# <2 x i32> zeroinitializer",,,1
"  %144 = add nsw i32 %128# %65",,,0
"  %145 = sext i32 %144 to i64",,,0
"  %relidx_181 = sub i64 %145# %141",,,0
"  %relidx_183 = sub i64 %130# %phidx_90",,,0
"  %149 = add nuw nsw i32 %128# 1",,,0
"  %9 = add i32 %1# -2",,,0
"  %10 = add i32 %1# 1",,,0
"  %11 = add i32 %1# -3",,,0
"  %12 = zext i32 %11 to i64",,,0
"  %relidx_ = sub i64 %12# %phidx_",,,0
"  %relidx_139 = sub i64 %12# %phidx_72",,,0
"  %13 = shl i32 %1# 1",,,0
"  %14 = or i32 %13# 1",,,0
"  %relidx_141 = sub i64 %12# %12",,,0
"  %15 = add i32 %1# 2",,,0
"  %relidx_143 = sub i64 %12# %12",,,0
"  %relidx_145 = sub i64 %12# %12",,,0
"  %relidx_147 = sub i64 %12# %12",,,0
"  %16 = add i32 %1# -2",,,0
"  %17 = add i32 %1# 1",,,0
"  %18 = add i32 %1# -3",,,0
"  %19 = zext i32 %18 to i64",,,0
"  %relidx_149 = sub i64 %19# %12",,,0
"  %relidx_129 = sub i64 %19# %12",,,0
"  %20 = shl i32 %1# 1",,,0
"  %21 = or i32 %20# 1",,,0
"  %relidx_131 = sub i64 %19# %19",,,0
"  %22 = add i32 %1# 2",,,0
"  %relidx_133 = sub i64 %19# %19",,,0
"  %relidx_135 = sub i64 %19# %19",,,0
"  %relidx_137 = sub i64 %19# %19",,,0
"  %29 = or i32 %16# 1",,,0
"  %37 = or i32 %9# 1",,,0
"  %89 = or i32 %88# 1",,,0
"  %90 = insertelement <2 x i32> undef# i32 %89# i32 0",,,1
"  %91 = shufflevector <2 x i32> %90# <2 x i32> undef# <2 x i32> zeroinitializer",,,1
"  %92 = add <2 x i32> %91# <i32 0# i32 1>",,,1
"  %93 = add nsw <2 x i32> %92# %86",,,1
"  %94 = extractelement <2 x i32> %93# i32 0",,,0
"  %95 = sext i32 %94 to i64",,,0
"  %relidx_161 = sub i64 %95# %phidx_42",,,0
"  %98 = extractelement <2 x i32> %93# i32 0",,,0
"  %99 = add nsw i32 %98# -1",,,0
"  %100 = sext i32 %99 to i64",,,0
"  %relidx_163 = sub i64 %100# %95",,,0
"  %104 = extractelement <2 x i32> %93# i32 0",,,0
"  %105 = add nsw i32 %104# 1",,,0
"  %106 = sext i32 %105 to i64",,,0
"  %relidx_165 = sub i64 %106# %100",,,0
"  %110 = add nsw i32 %89# %63",,,0
"  %111 = sext i32 %110 to i64",,,0
"  %relidx_167 = sub i64 %111# %106",,,0
"  %115 = add nsw i32 %89# %65",,,0
"  %116 = sext i32 %115 to i64",,,0
"  %relidx_169 = sub i64 %116# %111",,,0
"  %relidx_171 = sub i64 %95# %phidx_100",,,0
"  %122 = add i32 %88# 2",,,0
"  %129 = add nsw i32 %128# %61",,,0
"  %130 = sext i32 %129 to i64",,,0
"  %relidx_173 = sub i64 %130# %phidx_32",,,0
"  %132 = add nsw i32 %129# -1",,,0
"  %133 = sext i32 %132 to i64",,,0
"  %relidx_175 = sub i64 %133# %130",,,0
"  %136 = add nsw i32 %129# 1",,,0
"  %137 = sext i32 %136 to i64",,,0
"  %relidx_177 = sub i64 %137# %133",,,0
"  %140 = add nsw i32 %128# %63",,,0
"  %141 = sext i32 %140 to i64",,,0
"  %relidx_179 = sub i64 %141# %137",,,0
"  %154 = add i32 %43# 1",,,0
"  %160 = mul i32 %158# %1",,,0
"  %161 = add i32 %10# %160",,,0
"  %162 = sext i32 %161 to i64",,,0
"  %relidx_185 = sub i64 %162# %phidx_50",,,0
"  %164 = add i32 %160# 1",,,0
"  %165 = sext i32 %164 to i64",,,0
"  %relidx_187 = sub i64 %165# %phidx_108",,,0
"  %167 = add i32 %14# %160",,,0
"  %168 = sext i32 %167 to i64",,,0
"  %relidx_189 = sub i64 %168# %165",,,0
"  %170 = add i32 %15# %160",,,0
"  %171 = sext i32 %170 to i64",,,0
"  %relidx_191 = sub i64 %171# %168",,,0
"  %173 = add i32 %160# %1",,,0
"  %174 = sext i32 %173 to i64",,,0
"  %relidx_193 = sub i64 %174# %171",,,0
"  %176 = mul nsw i32 %159# %1",,,0
"  %177 = add nuw nsw i32 %159# 1",,,0
"  %178 = mul nsw i32 %177# %1",,,0
"  %179 = add nsw i32 %159# -1",,,0
"  %180 = mul nsw i32 %179# %1",,,0
"  %200 = insertelement <2 x i32> undef# i32 %176# i32 0",,,1
"  %201 = shufflevector <2 x i32> %200# <2 x i32> undef# <2 x i32> zeroinitializer",,,1
"  %204 = or i32 %203# 1",,,0
"  %205 = insertelement <2 x i32> undef# i32 %204# i32 0",,,1
"  %206 = shufflevector <2 x i32> %205# <2 x i32> undef# <2 x i32> zeroinitializer",,,1
"  %207 = add <2 x i32> %206# <i32 0# i32 1>",,,1
"  %208 = add nsw <2 x i32> %207# %201",,,1
"  %209 = extractelement <2 x i32> %208# i32 0",,,0
"  %210 = sext i32 %209 to i64",,,0
"  %relidx_197 = sub i64 %210# %phidx_124",,,0
"  %213 = extractelement <2 x i32> %208# i32 0",,,0
"  %214 = add nsw i32 %213# -1",,,0
