instruction_name,file_name,line_no,is_vector
"  %5 = sext i32 %0 to i64",,,0
"  %12 = mul nsw i64 %7# %5",,,0
"  %14 = mul nsw i64 %7# %5",,,0
"  %22 = add nsw i64 %21# %14",,,0
"  %relidx_57 = sub i64 %22# %phidx_36",,,0
"  %29 = add nsw i64 %27# %14",,,0
"  %relidx_59 = sub i64 %29# %phidx_48",,,0
"  %31 = mul nsw i64 %27# %5",,,0
"  %32 = add nsw i64 %31# %21",,,0
"  %relidx_61 = sub i64 %32# %29",,,0
"  %36 = or i64 %27# 1",,,0
"  %37 = add nsw i64 %36# %14",,,0
"  %relidx_63 = sub i64 %37# %32",,,0
"  %39 = mul nsw i64 %36# %5",,,0
"  %40 = add nsw i64 %39# %21",,,0
"  %relidx_65 = sub i64 %40# %37",,,0
"  %44 = add nsw i64 %27# 2",,,0
"  %55 = add nsw i64 %52# %14",,,0
"  %relidx_67 = sub i64 %55# %phidx_52",,,0
"  %57 = mul nsw i64 %52# %5",,,0
"  %58 = add nsw i64 %57# %21",,,0
"  %relidx_69 = sub i64 %58# %55",,,0
"  %64 = add nuw nsw i64 %21# 1",,,0
"  %72 = add nsw i64 %68# %12",,,0
"  %relidx_71 = sub i64 %72# %phidx_10",,,0
"  %83 = add nsw i64 %81# %12",,,0
"  %relidx_73 = sub i64 %83# %phidx_28",,,0
"  %85 = mul nsw i64 %81# %5",,,0
"  %86 = add nsw i64 %85# %68",,,0
"  %relidx_75 = sub i64 %86# %83",,,0
"  %90 = or i64 %81# 1",,,0
"  %91 = add nsw i64 %90# %12",,,0
"  %relidx_77 = sub i64 %91# %86",,,0
"  %93 = mul nsw i64 %90# %5",,,0
"  %94 = add nsw i64 %93# %68",,,0
"  %relidx_79 = sub i64 %94# %91",,,0
"  %98 = add nsw i64 %81# 2",,,0
"  %110 = add nsw i64 %106# %12",,,0
"  %relidx_81 = sub i64 %110# %phidx_32",,,0
"  %112 = mul nsw i64 %106# %5",,,0
"  %113 = add nsw i64 %112# %68",,,0
"  %relidx_83 = sub i64 %113# %110",,,0
"  %120 = mul nsw i32 %69# %0",,,0
"  %121 = trunc i64 %68 to i32",,,0
"  %122 = add nsw i32 %120# %121",,,0
"  %123 = sext i32 %122 to i64",,,0
"  %relidx_ = sub i64 %123# %phidx_16",,,0
"  %127 = add nuw nsw i64 %68# 1",,,0
"  %128 = add nuw nsw i32 %69# 1",,,0
"  %133 = add nuw nsw i64 %7# 1",,,0
