instruction_name,file_name,line_no,is_vector
"  %113 = add nsw i64 %112# %37",,,0
"  %relidx_131 = sub i64 %113# %phidx_12",,,0
"  %115 = trunc i64 %112 to i32",,,0
"  %126 = mul nsw i32 %123# %0",,,0
"  %127 = add nsw i32 %126# %91",,,0
"  %128 = sext i32 %127 to i64",,,0
"  %relidx_135 = sub i64 %128# %phidx_102",,,0
"  %130 = mul nsw i32 %123# %1",,,0
"  %131 = add nsw i32 %130# %115",,,0
"  %132 = sext i32 %131 to i64",,,0
"  %relidx_133 = sub i64 %132# %phidx_40",,,0
"  %11 = sext i32 %1 to i64",,,0
"  %12 = add i32 %1# -1",,,0
"  %13 = zext i32 %12 to i64",,,0
"  %14 = add nuw nsw i64 %13# 1",,,0
"  %22 = and i64 %14# 8589934588",,,0
"  %35 = add nuw nsw i64 %32# 1",,,0
"  %37 = mul nsw i64 %32# %11",,,0
"  %47 = add nsw i64 %45# %37",,,0
"  %relidx_ = sub i64 %47# %phidx_50",,,0
"  %57 = or i64 %45# 4",,,0
"  %58 = add nsw i64 %57# %37",,,0
"  %relidx_125 = sub i64 %58# %47",,,0
"  %68 = add i64 %45# 8",,,0
"  %77 = add nsw i64 %74# %37",,,0
"  %relidx_127 = sub i64 %77# %phidx_56",,,0
"  %90 = trunc i64 %35 to i32",,,0
"  %91 = trunc i64 %32 to i32",,,0
"  %98 = add nsw i64 %97# %37",,,0
"  %relidx_129 = sub i64 %98# %phidx_22",,,0
"  %101 = add nuw nsw i64 %97# 1",,,0
"  %140 = add nuw nsw i64 %112# 1",,,0
"  %147 = mul nsw i32 %145# %0",,,0
"  %148 = add nsw i32 %147# %91",,,0
"  %149 = sext i32 %148 to i64",,,0
"  %relidx_141 = sub i64 %149# %phidx_92",,,0
"  %151 = mul nsw i32 %145# %1",,,0
"  %152 = add nsw i32 %151# %115",,,0
"  %153 = sext i32 %152 to i64",,,0
"  %relidx_137 = sub i64 %153# %phidx_30",,,0
"  %157 = add nuw nsw i32 %145# 1",,,0
"  %158 = mul nsw i32 %157# %0",,,0
"  %159 = add nsw i32 %158# %91",,,0
"  %160 = sext i32 %159 to i64",,,0
"  %relidx_143 = sub i64 %160# %149",,,0
"  %162 = mul nsw i32 %157# %1",,,0
"  %163 = add nsw i32 %162# %115",,,0
"  %164 = sext i32 %163 to i64",,,0
"  %relidx_139 = sub i64 %164# %153",,,0
"  %168 = add nsw i32 %145# 2",,,0
