exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,153092310,0
Not Available,,,,,0,0,1,0,1.0,109912320,0
Not Available,,,,,0,0,1,0,1.0,208876800,0
Not Available,,,,,0,0,1,0,1.0,187101600,0
Not Available,,,,,0,0,1,0,1.0,151866624,0
Not Available,,,,,0,0,1,0,1.0,176539880,0
Not Available,,,,,0,0,1,0,1.0,201003264,0
Not Available,,,,,0,0,1,0,1.0,64461120,0
Not Available,,,,,0,0,1,0,1.0,56796168,0
1465683829358841,"  %123 = getelementptr inbounds double# double* %5# i64 %9",11154064,11154048,4,1,0,0,0,1.00000000003e-06,57492384,0
Not Available,,,,,0,0,1,0,1.0,123651270,0
1465683838471585,"  %194 = getelementptr inbounds double# double* %3# i64 %18",19419528,19421576,11,1,0,0,0,56570953.6853,25925904,0
1465683842441935,"  %212 = getelementptr inbounds double# double* %5# i64 %18",27709168,27447024,18,1,0,0,0,1.00000000014e-06,195106240,0
1465683850965006,"  %200 = getelementptr inbounds double# double* %3# i64 %19",38978504,38979528,10,1,0,0,0,1.00000000014e-06,88552254,0
1465683856549316,"  %188 = getelementptr inbounds double# double* %4# i64 %18",25852056,25852120,6,1,0,0,0,1.00000000014e-06,80991372,0
1465683859959619,"  %194 = getelementptr inbounds double# double* %3# i64 %18",34063224,34063228,2,1,0,0,0,1.50072016524e+131,24047040,0
Not Available,,,,,0,0,1,0,1.0,55679148,0
Not Available,,,,,0,0,1,0,1.0,58962600,0
Not Available,,,,,0,0,1,0,1.0,148028304,0
Not Available,,,,,0,0,1,0,1.0,125422920,0
1465683881475064,"  %188 = getelementptr inbounds double# double* %4# i64 %18",24805592,24805576,4,0,1,0,0,0.0,59127300,0
Not Available,,,,,0,0,1,0,1.0,166755888,0
Not Available,,,,,0,0,1,0,1.0,121551360,0
Not Available,,,,,0,0,1,0,1.0,265886610,0
Not Available,,,,,0,0,1,0,1.0,16613296,0
