exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,238130,0
Not Available,,,,,0,0,1,0,1.0,559574,0
1465684044770568,"  %108 = getelementptr inbounds double# double* %3# i64 %10",9826424,9828472,11,1,0,0,0,1.71200097492e+27,336260,0
Not Available,,,,,0,0,1,0,1.0,578852,0
Not Available,,,,,0,0,1,0,1.0,609652,0
Not Available,,,,,0,0,1,0,1.0,569702,0
Not Available,,,,,0,0,1,0,1.0,447410,0
1465684052793007,"  %100 = getelementptr inbounds double# double* %3# i64 %9",6513264,6513248,4,1,0,0,0,2.82209533909e+27,357872,0
Not Available,,,,,0,0,1,0,1.0,398752,0
1465684056867755,"  %167 = getelementptr inbounds double# double* %4# i64 %16",35790456,35806840,14,1,0,0,0,8.28400401281e+29,508358,0
Not Available,,,,,0,0,1,0,1.0,424988,0
Not Available,,,,,0,0,1,0,1.0,361558,0
Not Available,,,,,0,0,1,0,1.0,552560,0
Not Available,,,,,0,0,1,0,1.0,287852,0
Not Available,,,,,0,0,1,0,1.0,322632,0
Not Available,,,,,0,0,1,0,1.0,249510,0
1465684068186502,"  %167 = getelementptr inbounds double# double* %4# i64 %16",32725912,32726936,10,1,0,0,0,4.08438898727e+29,448678,0
Not Available,,,,,0,0,1,0,1.0,400336,0
Not Available,,,,,0,0,1,0,1.0,525032,0
Not Available,,,,,0,0,1,0,1.0,311202,0
Not Available,,,,,0,0,1,0,1.0,255422,0
Not Available,,,,,0,0,1,0,1.0,268242,0
Not Available,,,,,0,0,1,0,1.0,520412,0
1465684081057749,"  %174 = getelementptr inbounds double# double* %2# i64 %17",47708344469056,47708344469312,8,1,0,0,0,9.36205691654e+29,626888,0
1465684084643304,"  %174 = getelementptr inbounds double# double* %2# i64 %17",47901705448184,47901705446136,11,1,0,0,0,4.4173358648e+29,495002,0
Not Available,,,,,0,0,1,0,1.0,409016,0
Not Available,,,,,0,0,1,0,1.0,470240,0
Not Available,,,,,0,0,1,0,1.0,592022,0
