exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,333328,0
Not Available,,,,,0,0,1,0,1.0,449379,0
Not Available,,,,,0,0,1,0,1.0,340400,0
Not Available,,,,,0,0,1,0,1.0,370180,0
Not Available,,,,,0,0,1,0,1.0,305114,0
1465684029616643,"  %44 = getelementptr inbounds double# double* %5# i64 %3",28850824,28851080,8,1,0,0,0,1.97108312562e+18,665028,0
Not Available,,,,,0,0,1,0,1.0,563633,0
Not Available,,,,,0,0,1,0,1.0,304390,0
Not Available,,,,,0,0,1,0,1.0,485837,0
Not Available,,,,,0,0,1,0,1.0,425422,0
1465684037723947,"  %44 = getelementptr inbounds double# double* %5# i64 %3",22981808,22981809,0,1,0,0,0,1.12310477715e+18,601958,0
Not Available,,,,,0,0,1,0,1.0,541674,0
Not Available,,,,,0,0,1,0,1.0,355764,0
1465684044627122,"  %44 = getelementptr inbounds double# double* %5# i64 %3",13486240,13484192,11,1,0,0,0,2.26270589037e+16,565264,0
1465684047561679,"  %38 = getelementptr inbounds double# double* %2# i64 %3",47178071668408,47178071635640,15,1,0,0,0,5.54542850046e+17,511014,0
Not Available,,,,,0,0,1,0,1.0,430037,0
Not Available,,,,,0,0,1,0,1.0,269700,0
1465684052238743,"  %44 = getelementptr inbounds double# double* %5# i64 %3",17969824,17969840,4,1,0,0,0,8.81840776343e+16,244839,0
Not Available,,,,,0,0,1,0,1.0,592240,0
1465684055636737,"  %34 = getelementptr inbounds double# double* %3# i64 %3",28420728,28551800,17,0,1,0,0,0.0,535946,0
Not Available,,,,,0,0,1,0,1.0,263760,0
Not Available,,,,,0,0,1,0,1.0,255476,0
Not Available,,,,,0,0,1,0,1.0,504415,0
Not Available,,,,,0,0,1,0,1.0,429088,0
Not Available,,,,,0,0,1,0,1.0,306160,0
1465684066205250,"  %38 = getelementptr inbounds double# double* %2# i64 %3",47732489817112,47732490079256,18,1,0,0,0,7.99491028504e+17,505720,0
Not Available,,,,,0,0,1,0,1.0,693182,0
Not Available,,,,,0,0,1,0,1.0,466250,0
Not Available,,,,,0,0,1,0,1.0,613360,0
1465684075070627,"  %34 = getelementptr inbounds double# double* %3# i64 %3",32538920,32538924,2,0,1,0,0,0.0,332123,0
Not Available,,,,,0,0,1,0,1.0,533826,0
Not Available,,,,,0,0,1,0,1.0,392058,0
1465684080093938,"  %34 = getelementptr inbounds double# double* %3# i64 %3",34503040,34503072,5,0,1,0,0,0.0,394254,0
Not Available,,,,,0,0,1,0,1.0,436240,0
Not Available,,,,,0,0,1,0,1.0,428248,0
Not Available,,,,,0,0,1,0,1.0,287014,0
Not Available,,,,,0,0,1,0,1.0,671972,0
Not Available,,,,,0,0,1,0,1.0,440142,0
Not Available,,,,,0,0,1,0,1.0,282064,0
1465684093308749,"  %34 = getelementptr inbounds double# double* %3# i64 %3",11287608,11287600,3,0,1,0,0,0.0,379400,0
1465684095743312,"  %38 = getelementptr inbounds double# double* %2# i64 %3",47200332519160,47200332453624,16,1,0,0,0,7.54815146797e+16,445998,0
Not Available,,,,,0,0,1,0,1.0,340400,0
Not Available,,,,,0,0,1,0,1.0,440833,0
Not Available,,,,,0,0,1,0,1.0,506127,0
Not Available,,,,,0,0,1,0,1.0,462960,0
Not Available,,,,,0,0,1,0,1.0,442491,0
Not Available,,,,,0,0,1,0,1.0,456608,0
Not Available,,,,,0,0,1,0,1.0,636771,0
Not Available,,,,,0,0,1,0,1.0,279300,0
Not Available,,,,,0,0,1,0,1.0,434186,0
Not Available,,,,,0,0,1,0,1.0,597376,0
1465684116270674,"  %34 = getelementptr inbounds double# double* %3# i64 %3",28941904,28939856,11,0,1,0,0,0.0,596310,0
Not Available,,,,,0,0,1,0,1.0,303354,0
Not Available,,,,,0,0,1,0,1.0,401807,0
Not Available,,,,,0,0,1,0,1.0,486588,0
Not Available,,,,,0,0,1,0,1.0,503866,0
1465684126081866,"  %38 = getelementptr inbounds double# double* %2# i64 %3",47310455751240,47310455751244,2,1,0,0,0,2.95061156047e+237,264940,0
Not Available,,,,,0,0,1,0,1.0,503177,0
Not Available,,,,,0,0,1,0,1.0,262474,0
1465684132435490,"  %44 = getelementptr inbounds double# double* %5# i64 %3",17667136,17667264,7,1,0,0,0,2.78426603866e+17,482405,0
Not Available,,,,,0,0,1,0,1.0,463652,0
Not Available,,,,,0,0,1,0,1.0,345216,0
Not Available,,,,,0,0,1,0,1.0,455345,0
1465684140458012,"  %44 = getelementptr inbounds double# double* %5# i64 %3",36881504,36889696,13,1,0,0,0,7.88277474821e+17,260736,0
Not Available,,,,,0,0,1,0,1.0,494021,0
1465684144651345,"  %38 = getelementptr inbounds double# double* %2# i64 %3",47916821725016,47916821724952,6,1,0,0,0,2.73502097557e+17,472052,0
1465684147658703,"  %34 = getelementptr inbounds double# double* %3# i64 %3",25675352,25677400,11,1,0,0,0,2.69439351115e+17,327764,0
1465684150046142,"  %44 = getelementptr inbounds double# double* %5# i64 %3",22865920,22865922,1,1,0,0,0,1.42679777273e+17,266420,0
Not Available,,,,,0,0,1,0,1.0,338606,0
Not Available,,,,,0,0,1,0,1.0,244160,0
Not Available,,,,,0,0,1,0,1.0,370710,0
1465684157918779,"  %34 = getelementptr inbounds double# double* %3# i64 %3",36109136,36109168,5,1,0,0,0,4.82965773343e+16,318784,0
Not Available,,,,,0,0,1,0,1.0,349184,0
Not Available,,,,,0,0,1,0,1.0,312664,0
Not Available,,,,,0,0,1,0,1.0,495818,0
Not Available,,,,,0,0,1,0,1.0,646360,0
Not Available,,,,,0,0,1,0,1.0,312585,0
Not Available,,,,,0,0,1,0,1.0,523561,0
Not Available,,,,,0,0,1,0,1.0,440574,0
Not Available,,,,,0,0,1,0,1.0,409590,0
Not Available,,,,,0,0,1,0,1.0,325973,0
