exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,180441,0
1465951032096891,"  %59 = getelementptr inbounds double# double* %1# i64 %5",38449280,38449536,8,1,0,0,0,945513508.445,308945,0
1465951032451415,"  %56 = getelementptr inbounds double# double* %1# i64 %5",14840032,14840288,8,1,0,0,0,6.5224207019e+18,402641,0
1465951032770830,"  %65 = getelementptr inbounds double# double* %1# i64 %6",7030968,7031224,8,1,0,0,0,4.15785992605e+19,272459,0
Not Available,,,,,0,0,1,0,1.0,247065,0
Not Available,,,,,0,0,1,0,1.0,612745,0
Not Available,,,,,0,0,1,0,1.0,155155,0
Not Available,,,,,0,0,1,0,1.0,597861,0
Not Available,,,,,0,0,1,0,1.0,132349,0
Not Available,,,,,0,0,1,0,1.0,121836,0
Not Available,,,,,0,0,1,0,1.0,194054,0
Not Available,,,,,0,0,1,0,1.0,215731,0
1465951037240931,"  %65 = getelementptr inbounds double# double* %1# i64 %6",18549864,18549992,7,1,0,0,0,63292960.6952,272459,0
1465951037624944,"  %65 = getelementptr inbounds double# double* %1# i64 %6",7643928,7644056,7,1,0,0,0,253971774.28,121836,0
1465951037951860,"  %68 = getelementptr inbounds double# double* %1# i64 %6",11648200,11648072,7,1,0,0,0,5.73834987838e+19,449735,0
Not Available,,,,,0,0,1,0,1.0,272459,0
Not Available,,,,,0,0,1,0,1.0,318549,0
Not Available,,,,,0,0,1,0,1.0,328350,0
Not Available,,,,,0,0,1,0,1.0,402641,0
Not Available,,,,,0,0,1,0,1.0,513590,0
Not Available,,,,,0,0,1,0,1.0,89440,0
Not Available,,,,,0,0,1,0,1.0,328350,0
Not Available,,,,,0,0,1,0,1.0,597861,0
1465951042005750,"  %65 = getelementptr inbounds double# double* %1# i64 %6",36353688,36355736,11,1,0,0,0,1.88371063553e+19,281295,0
1465951042339229,"  %65 = getelementptr inbounds double# double* %1# i64 %6",16177880,16175832,11,1,0,0,0,23359028.8303,612745,0
1465951042760966,"  %59 = getelementptr inbounds double# double* %1# i64 %5",36778688,36780736,11,1,0,0,0,6.8675103319e+19,263810,0
Not Available,,,,,0,0,1,0,1.0,318549,0
Not Available,,,,,0,0,1,0,1.0,328350,0
Not Available,,,,,0,0,1,0,1.0,167480,0
Not Available,,,,,0,0,1,0,1.0,437635,0
Not Available,,,,,0,0,1,0,1.0,143450,0
Not Available,,,,,0,0,1,0,1.0,215731,0
Not Available,,,,,0,0,1,0,1.0,328350,0
Not Available,,,,,0,0,1,0,1.0,201110,0
Not Available,,,,,0,0,1,0,1.0,132349,0
1465951047133370,"  %56 = getelementptr inbounds double# double* %1# i64 %5",34886768,34919536,15,1,0,0,0,3.77381020649e+18,89440,0
