exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1465683858017383,"  %395 = getelementptr double# double* %4# i64 %38",47000433333920,11816061245088,45,0,1,0,0,0.0,128177962,0
Not Available,,,,,0,0,1,0,1.0,200150216,0
Not Available,,,,,0,0,1,0,1.0,19473626,0
1465683878619185,"  %319 = getelementptr inbounds double# double* %3# i64 %31",47109570835976,47109570967048,17,1,0,0,0,81888513.9691,263870634,0
Not Available,,,,,0,0,1,0,1.0,83219736,0
1465683896068060,"  %319 = getelementptr inbounds double# double* %3# i64 %31",27014128,27145200,17,1,0,0,0,123927158.799,50513318,0
Not Available,,,,,0,0,1,0,1.0,69924934,0
Not Available,,,,,0,0,1,0,1.0,227656910,0
Not Available,,,,,0,0,1,0,1.0,82081058,0
Not Available,,,,,0,0,1,0,1.0,50613026,0
Not Available,,,,,0,0,1,0,1.0,87467138,0
1465683920083518,"  %184 = getelementptr double# double* %castinttoptr57# i64 ",47981022008416,47981022008672,8,1,0,0,0,243359877.481,251523503,0
Not Available,,,,,0,0,1,0,1.0,117978368,0
Not Available,,,,,0,0,1,0,1.0,132314582,0
Not Available,,,,,0,0,1,0,1.0,115124288,0
Not Available,,,,,0,0,1,0,1.0,93003731,0
1465683955423910,"  %337 = getelementptr inbounds double# double* %5# i64 %33",47388941937680,47388941937664,4,1,0,0,0,64270707.1834,211806902,0
1465683969333626,"  %342 = getelementptr inbounds double# double* %5# i64 %34",47338143217192,47338143209000,13,1,0,0,0,781467753.79,179257208,0
1465683979187374,"  %425 = getelementptr inbounds double# double* %5# i64 %42",16257096,16257097,0,1,0,0,0,1.52508429008e+103,59262282,0
1465683986814812,"  %440 = getelementptr inbounds double# double* %4# i64 %43",47705710666992,47705710929136,18,1,0,0,0,88768753.1786,163993157,0
Not Available,,,,,0,0,1,0,1.0,116633007,0
Not Available,,,,,0,0,1,0,1.0,111688682,0
Not Available,,,,,0,0,1,0,1.0,83163459,0
1465684016146361,"  %440 = getelementptr inbounds double# double* %4# i64 %43",20658928,20658416,9,1,0,0,0,35890683.9051,6924973,0
1465684017883987,"  %235 = getelementptr inbounds double# double* %5# i64 %23",23686792,23685768,10,1,0,0,0,296784868.392,44992154,0
Not Available,,,,,0,0,1,0,1.0,35985778,0
Not Available,,,,,0,0,1,0,1.0,96686108,0
Not Available,,,,,0,0,1,0,1.0,252550586,0
Not Available,,,,,0,0,1,0,1.0,40463026,0
1465684047848954,"  %188 = getelementptr inbounds double# double* %5# i64 %18",18081536,18048768,15,1,0,0,0,978951427.784,52999064,0
Not Available,,,,,0,0,1,0,1.0,44048682,0
