exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,12055910,0
Not Available,,,,,0,0,1,0,1.0,9103520,0
Not Available,,,,,0,0,1,0,1.0,5126550,0
Not Available,,,,,0,0,1,0,1.0,7412850,0
Not Available,,,,,0,0,1,0,1.0,8657334,0
1465683947370656,"  %193 = getelementptr inbounds double# double* %7# i64 %19",47174421934480,47174421934481,0,1,0,0,0,8.22897272937e+17,5032152,0
Not Available,,,,,0,0,1,0,1.0,4843920,0
Not Available,,,,,0,0,1,0,1.0,5484572,0
Not Available,,,,,0,0,1,0,1.0,7718268,0
Not Available,,,,,0,0,1,0,1.0,6304580,0
Not Available,,,,,0,0,1,0,1.0,6709726,0
Not Available,,,,,0,0,1,0,1.0,5843965,0
1465683955068721,"  %196 = getelementptr double# double* %castinttoptr39# i64 ",47735379389568,47735379389584,4,1,0,0,0,7.58492930738e+17,5002005,0
1465683956897540,"  %160 = getelementptr double# double* %7# i64 %15",47499681171560,47499949607016,28,0,1,0,0,0.0,6175744,0
Not Available,,,,,0,0,1,0,1.0,8039003,0
Not Available,,,,,0,0,1,0,1.0,13448523,0
Not Available,,,,,0,0,1,0,1.0,15397888,0
Not Available,,,,,0,0,1,0,1.0,6363253,0
Not Available,,,,,0,0,1,0,1.0,10633545,0
Not Available,,,,,0,0,1,0,1.0,5043244,0
Not Available,,,,,0,0,1,0,1.0,9538956,0
Not Available,,,,,0,0,1,0,1.0,6154408,0
Not Available,,,,,0,0,1,0,1.0,7619216,0
Not Available,,,,,0,0,1,0,1.0,9289121,0
1465683970321585,"  %202 = getelementptr inbounds double# double* %5# i64 %20",47009224658384,47009224658896,9,1,0,0,0,2.85242818423e+18,8121740,0
Not Available,,,,,0,0,1,0,1.0,5494999,0
1465683974166834,"  %196 = getelementptr double# double* %castinttoptr39# i64 ",47624022909376,47624022909380,2,1,0,0,0,5.72282266589e+307,6928954,0
1465683975580522,"  %196 = getelementptr double# double* %castinttoptr39# i64 ",47886744365800,47886744365802,1,1,0,0,0,1.55125471473e+18,8845964,0
1465683977642753,"  %202 = getelementptr inbounds double# double* %5# i64 %20",47825062720688,47825062720560,7,1,0,0,0,2.74617408508e+18,4435067,0
