exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,232408,0
Not Available,,,,,0,0,1,0,1.0,603008,0
Not Available,,,,,0,0,1,0,1.0,234081,0
Not Available,,,,,0,0,1,0,1.0,288920,0
Not Available,,,,,0,0,1,0,1.0,217621,0
1465683969270017,"  %21 = getelementptr inbounds double# double* %3# i64 %1",47041947895152,47041947903344,13,1,0,0,0,9.74911473598e+16,571160,0
Not Available,,,,,0,0,1,0,1.0,300200,0
1465683974330250,"  %28 = getelementptr inbounds double# double* %4# i64 %1",47680740672904,47680740672908,2,1,0,0,0,1.92584578151e+18,237445,0
Not Available,,,,,0,0,1,0,1.0,683541,0
Not Available,,,,,0,0,1,0,1.0,398216,0
Not Available,,,,,0,0,1,0,1.0,658008,0
Not Available,,,,,0,0,1,0,1.0,632961,0
1465683983634729,"  %21 = getelementptr inbounds double# double* %3# i64 %1",47729663580320,47729663547552,15,1,0,0,0,4.94540779691e+17,571160,0
1465683987682685,"  %21 = getelementptr inbounds double# double* %3# i64 %1",46935631502704,46935631502708,2,1,0,0,0,7.28371998299e+16,277856,0
1465683990737214,"  %21 = getelementptr inbounds double# double* %3# i64 %1",47662528017264,47662528019312,11,1,0,0,0,4.39820353953e+17,512533,0
Not Available,,,,,0,0,1,0,1.0,478401,0
Not Available,,,,,0,0,1,0,1.0,276033,0
Not Available,,,,,0,0,1,0,1.0,396033,0
Not Available,,,,,0,0,1,0,1.0,547841,0
Not Available,,,,,0,0,1,0,1.0,220865,0
Not Available,,,,,0,0,1,0,1.0,576408,0
Not Available,,,,,0,0,1,0,1.0,317525,0
Not Available,,,,,0,0,1,0,1.0,644033,0
Not Available,,,,,0,0,1,0,1.0,457080,0
Not Available,,,,,0,0,1,0,1.0,380920,0
Not Available,,,,,0,0,1,0,1.0,376656,0
1465684010329276,"  %28 = getelementptr inbounds double# double* %4# i64 %1",47993184512616,47993184512620,2,1,0,0,0,7.553497239e+223,517505,0
Not Available,,,,,0,0,1,0,1.0,353633,0
Not Available,,,,,0,0,1,0,1.0,281520,0
1465684016509639,"  %21 = getelementptr inbounds double# double* %3# i64 %1",47001120918704,47001120919216,9,1,0,0,0,2.12879979705e+17,478401,0
Not Available,,,,,0,0,1,0,1.0,468865,0
Not Available,,,,,0,0,1,0,1.0,292656,0
1465684023077122,"  %23 = getelementptr inbounds double# double* %6# i64 %1",23802632,23802636,2,1,0,0,0,2.33478108765e+18,525008,0
Not Available,,,,,0,0,1,0,1.0,471240,0
1465684029457578,"  %28 = getelementptr inbounds double# double* %4# i64 %1",47413946240720,47413946240976,8,1,0,0,0,9.38283765229e+16,624720,0
Not Available,,,,,0,0,1,0,1.0,349525,0
Not Available,,,,,0,0,1,0,1.0,552981,0
