exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,42993820,0
Not Available,,,,,0,0,1,0,1.0,19188268,0
Not Available,,,,,0,0,1,0,1.0,155621992,0
Not Available,,,,,0,0,1,0,1.0,19700524,0
Not Available,,,,,0,0,1,0,1.0,6992620,0
Not Available,,,,,0,0,1,0,1.0,13379532,0
1465683902395797,"  %271 = getelementptr inbounds double# double* %3# i64 %26",47207355334120,47207355334088,5,1,0,0,0,125.888380051,145529292,0
Not Available,,,,,0,0,1,0,1.0,201574308,0
Not Available,,,,,0,0,1,0,1.0,232917516,0
Not Available,,,,,0,0,1,0,1.0,12377304,0
Not Available,,,,,0,0,1,0,1.0,200930412,0
Not Available,,,,,0,0,1,0,1.0,112310276,0
Not Available,,,,,0,0,1,0,1.0,134251092,0
1465683959808127,"  %271 = getelementptr inbounds double# double* %3# i64 %26",46927965817280,46927965751744,16,1,0,0,0,59926.4053431,88863048,0
Not Available,,,,,0,0,1,0,1.0,14476872,0
Not Available,,,,,0,0,1,0,1.0,57961916,0
1465683969531284,"  %271 = getelementptr inbounds double# double* %3# i64 %26",18384752,18392944,13,1,0,0,0,139377.622508,53321108,0
1465683977965795,"  %246 = getelementptr inbounds double# double* %3# i64 %24",47253023273656,47253023273528,7,1,0,0,0,15997.7944019,229811276,0
1465683990802901,"  %139 = getelementptr inbounds double# double* %2# i64 %13",47009814701832,47009814703880,11,1,0,0,0,19201.1286249,65460748,0
Not Available,,,,,0,0,1,0,1.0,48825516,0
Not Available,,,,,0,0,1,0,1.0,31701612,0
Not Available,,,,,0,0,1,0,1.0,47142828,0
Not Available,,,,,0,0,1,0,1.0,174177512,0
Not Available,,,,,0,0,1,0,1.0,16562956,0
1465684013949785,"  %246 = getelementptr inbounds double# double* %3# i64 %24",47828765711704,47828765449560,18,1,0,0,0,5671.05113006,86274540,0
1465684023258727,"  %246 = getelementptr inbounds double# double* %3# i64 %24",47312825602920,47312825602924,2,1,0,0,0,2.55897236749e+150,181272236,0
Not Available,,,,,0,0,1,0,1.0,243443212,0
1465684052377759,"  %127 = getelementptr inbounds double# double* %2# i64 %12",47135997386952,47135997386968,4,1,0,0,0,1674.85810304,155801004,0
1465684068517511,"  %114 = getelementptr inbounds double# double* %2# i64 %11",47106263811576,47106263810552,10,1,0,0,0,1535.51887417,234461836,0
1465684083400217,"  %197 = getelementptr double# double* %3# i64 %19",7209416,34366947784,35,0,1,0,0,0.0,6111228,0
Not Available,,,,,0,0,1,0,1.0,45328812,0
1465684090404978,"  %246 = getelementptr inbounds double# double* %3# i64 %24",47678815556752,47678815294608,18,1,0,0,0,103302.49269,97820204,0
Not Available,,,,,0,0,1,0,1.0,37126332,0
Not Available,,,,,0,0,1,0,1.0,26378364,0
Not Available,,,,,0,0,1,0,1.0,35417100,0
Not Available,,,,,0,0,1,0,1.0,175323804,0
Not Available,,,,,0,0,1,0,1.0,18033192,0
Not Available,,,,,0,0,1,0,1.0,297746832,0
Not Available,,,,,0,0,1,0,1.0,8375652,0
1465684148512752,"  %271 = getelementptr inbounds double# double* %3# i64 %26",37240984,37242008,10,1,0,0,0,752.464158773,52862700,0
Not Available,,,,,0,0,1,0,1.0,136918860,0
Not Available,,,,,0,0,1,0,1.0,12102060,0
Not Available,,,,,0,0,1,0,1.0,73949196,0
Not Available,,,,,0,0,1,0,1.0,103138092,0
1465684186516033,"  %246 = getelementptr inbounds double# double* %3# i64 %24",17101792,17097696,12,1,0,0,0,1704.33895397,30658640,0
Not Available,,,,,0,0,1,0,1.0,9938892,0
Not Available,,,,,0,0,1,0,1.0,26985932,0
Not Available,,,,,0,0,1,0,1.0,6179724,0
Not Available,,,,,0,0,1,0,1.0,287465020,0
Not Available,,,,,0,0,1,0,1.0,106256812,0
1465684222699620,"  %73 = getelementptr double# double* %2# i64 %7",21933088,24030240,21,0,1,0,0,0.0,31400524,0
Not Available,,,,,0,0,1,0,1.0,197930316,0
Not Available,,,,,0,0,1,0,1.0,271048944,0
Not Available,,,,,0,0,1,0,1.0,45680812,0
Not Available,,,,,0,0,1,0,1.0,95530188,0
Not Available,,,,,0,0,1,0,1.0,74036172,0
1465684296926676,"  %271 = getelementptr inbounds double# double* %3# i64 %26",47033122538696,47033122538952,8,1,0,0,0,71.6667208672,236810796,0
Not Available,,,,,0,0,1,0,1.0,163084172,0
1465684355107149,"  %127 = getelementptr inbounds double# double* %2# i64 %12",47794161126128,47794161126129,0,1,0,0,0,9.04430153156e+122,192805132,0
Not Available,,,,,0,0,1,0,1.0,183480060,0
1465684409469423,"  %246 = getelementptr inbounds double# double* %3# i64 %24",47093425292248,47093425259480,15,1,0,0,0,1393.00738108,143188956,0
1465684429112701,"  %114 = getelementptr inbounds double# double* %2# i64 %11",24733976,24766744,15,1,0,0,0,8595.60582519,10718364,0
1465684443909984,"  %271 = getelementptr inbounds double# double* %3# i64 %26",47674178477272,47674178473176,12,1,0,0,0,3402.46559596,185715020,0
1465684474250381,"  %246 = getelementptr inbounds double# double* %3# i64 %24",29684552,29680456,12,1,0,0,0,1237.92589712,38941772,0
Not Available,,,,,0,0,1,0,1.0,151667164,0
Not Available,,,,,0,0,1,0,1.0,10712252,0
Not Available,,,,,0,0,1,0,1.0,47686924,0
1465684516597546,"  %259 = getelementptr inbounds double# double* %3# i64 %25",7505264,7504240,10,1,0,0,0,199.748556972,84037516,0
1465684545734015,"  %271 = getelementptr inbounds double# double* %3# i64 %26",47606393571808,47606393571552,8,1,0,0,0,431.032401085,241936476,0
Not Available,,,,,0,0,1,0,1.0,132190532,0
1465684598136382,"  %114 = getelementptr inbounds double# double* %2# i64 %11",10254312,10254328,4,1,0,0,0,27.8000211716,25067340,0
Not Available,,,,,0,0,1,0,1.0,280267004,0
Not Available,,,,,0,0,1,0,1.0,103278616,0
Not Available,,,,,0,0,1,0,1.0,67898732,0
1465684668972040,"  %127 = getelementptr inbounds double# double* %2# i64 %12",47928882654672,47928882654544,7,1,0,0,0,1448.59222102,145394892,0
Not Available,,,,,0,0,1,0,1.0,11822732,0
Not Available,,,,,0,0,1,0,1.0,11508492,0
Not Available,,,,,0,0,1,0,1.0,120213996,0
Not Available,,,,,0,0,1,0,1.0,9157660,0
1465684728645829,"  %271 = getelementptr inbounds double# double* %3# i64 %26",37241432,37306968,16,1,0,0,0,166020.956197,10220300,0
Not Available,,,,,0,0,1,0,1.0,35635612,0
1465684749373671,"  %114 = getelementptr inbounds double# double* %2# i64 %11",47921822182472,47921822182473,0,1,0,0,0,1.24554268972e+267,179997228,0
1465684789525844,"  %246 = getelementptr inbounds double# double* %3# i64 %24",47262895114968,47262895049432,16,1,0,0,0,204576.32252,54167916,0
Not Available,,,,,0,0,1,0,1.0,33945012,0
1465684821122280,"  %259 = getelementptr inbounds double# double* %3# i64 %25",46945405160896,46945405144512,14,1,0,0,0,2873.52965307,231974412,0
1465684861964617,"  %139 = getelementptr inbounds double# double* %2# i64 %13",17979640,17979512,7,1,0,0,0,1868.64202094,9047820,0
Not Available,,,,,0,0,1,0,1.0,23161724,0
Not Available,,,,,0,0,1,0,1.0,127925400,0
Not Available,,,,,0,0,1,0,1.0,230070468,0
1465684935668901,"  %271 = getelementptr inbounds double# double* %3# i64 %26",47813414337912,47813414338040,7,1,0,0,0,4249.6894691,127745980,0
Not Available,,,,,0,0,1,0,1.0,117993104,0
1465684977960382,"  %259 = getelementptr inbounds double# double* %3# i64 %25",47938473328464,47938473324368,12,1,0,0,0,55879.69517,63101292,0
1465684992524330,"  %127 = getelementptr inbounds double# double* %2# i64 %12",29951040,29950016,10,1,0,0,0,457.841305017,55988988,0
1465685012502488,"  %259 = getelementptr inbounds double# double* %3# i64 %25",47514635588656,47514635523120,16,1,0,0,0,17417.348045,132966300,0
1465685042804550,"  %127 = getelementptr inbounds double# double* %2# i64 %12",47263531133808,47263531101040,15,1,0,0,0,4427.71558905,124677708,0
Not Available,,,,,0,0,1,0,1.0,139236420,0
1465685092296820,"  %246 = getelementptr inbounds double# double* %3# i64 %24",14959248,14959232,4,1,0,0,0,43.8033789396,54404092,0
1465685123447484,"  %259 = getelementptr inbounds double# double* %3# i64 %25",47573833845008,47573833845010,1,1,0,0,0,496999.178089,319580012,0
Not Available,,,,,0,0,1,0,1.0,217420908,0
Not Available,,,,,0,0,1,0,1.0,250715196,0
Not Available,,,,,0,0,1,0,1.0,15857868,0
Not Available,,,,,0,0,1,0,1.0,41615712,0
1465685271221075,"  %127 = getelementptr inbounds double# double* %2# i64 %12",47106465832976,47106465767440,16,1,0,0,0,2449.41454494,275835724,0
Not Available,,,,,0,0,1,0,1.0,19696780,0
1465685331785594,"  %139 = getelementptr inbounds double# double* %2# i64 %13",47631293739328,47631293739840,9,1,0,0,0,11804.4660032,186201772,0
Not Available,,,,,0,0,1,0,1.0,9455196,0
Not Available,,,,,0,0,1,0,1.0,52780236,0
Not Available,,,,,0,0,1,0,1.0,108578412,0
Not Available,,,,,0,0,1,0,1.0,25739712,0
1465685399292947,"  %139 = getelementptr inbounds double# double* %2# i64 %13",47237346148648,47237346149672,10,1,0,0,0,4331.67478704,82884396,0
