exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,241045,0
Not Available,,,,,0,0,1,0,1.0,755196,0
Not Available,,,,,0,0,1,0,1.0,261924,0
Not Available,,,,,0,0,1,0,1.0,412930,0
Not Available,,,,,0,0,1,0,1.0,331721,0
Not Available,,,,,0,0,1,0,1.0,398566,0
Not Available,,,,,0,0,1,0,1.0,1406144,0
Not Available,,,,,0,0,1,0,1.0,473836,0
1465951417807429,"  %32 = getelementptr inbounds double# double* %1# i64 %3",11740336,11740848,9,1,0,0,0,2.98688827555e+36,1159060,0
Not Available,,,,,0,0,1,0,1.0,1102179,0
1465951419152213,"  %107 = getelementptr inbounds double# double* %1# i64 %10",32925376,32927424,11,1,0,0,0,9.70468179789e+16,176736,0
1465951419672658,"  %36 = getelementptr inbounds double# double* %1# i64 %3",22100168,22098120,11,1,0,0,0,1.60083662644e+16,1047190,0
Not Available,,,,,0,0,1,0,1.0,594320,0
Not Available,,,,,0,0,1,0,1.0,398566,0
Not Available,,,,,0,0,1,0,1.0,994061,0
Not Available,,,,,0,0,1,0,1.0,575985,0
Not Available,,,,,0,0,1,0,1.0,458084,0
Not Available,,,,,0,0,1,0,1.0,845514,0
1465951424305827,"  %32 = getelementptr inbounds double# double* %1# i64 %3",14281688,14273496,13,1,0,0,0,2.16817909969e+36,241045,0
1465951424827527,"  %46 = getelementptr inbounds double# double* %1# i64 %4",13801136,13809328,13,1,0,0,0,6.97329086127e+16,1373505,0
Not Available,,,,,0,0,1,0,1.0,319319,0
1465951426008678,"  %97 = getelementptr inbounds double# double* %1# i64 %9",19175352,19175096,8,1,0,0,0,2.13362352659e+17,799505,0
1465951426620272,"  %93 = getelementptr inbounds double# double* %1# i64 %9",7257376,7257120,8,1,0,0,0,4.70902943125e+35,1373505,0
Not Available,,,,,0,0,1,0,1.0,442685,0
Not Available,,,,,0,0,1,0,1.0,344440,0
Not Available,,,,,0,0,1,0,1.0,185120,0
Not Available,,,,,0,0,1,0,1.0,1278626,0
Not Available,,,,,0,0,1,0,1.0,331721,0
Not Available,,,,,0,0,1,0,1.0,506415,0
Not Available,,,,,0,0,1,0,1.0,712555,0
Not Available,,,,,0,0,1,0,1.0,575985,0
Not Available,,,,,0,0,1,0,1.0,942760,0
Not Available,,,,,0,0,1,0,1.0,307230,0
Not Available,,,,,0,0,1,0,1.0,968184,0
Not Available,,,,,0,0,1,0,1.0,994061,0
Not Available,,,,,0,0,1,0,1.0,193765,0
Not Available,,,,,0,0,1,0,1.0,1130381,0
Not Available,,,,,0,0,1,0,1.0,1373505,0
Not Available,,,,,0,0,1,0,1.0,384539,0
Not Available,,,,,0,0,1,0,1.0,489945,0
1465951439070741,"  %32 = getelementptr inbounds double# double* %1# i64 %3",22900688,22892496,13,1,0,0,0,1.52087537525e+37,506415,0
1465951439616180,"  %46 = getelementptr inbounds double# double* %1# i64 %4",7915376,7923568,13,1,0,0,0,2.51633889642e+17,473836,0
Not Available,,,,,0,0,1,0,1.0,1406144,0
Not Available,,,,,0,0,1,0,1.0,968184,0
Not Available,,,,,0,0,1,0,1.0,1309750,0
1465951442584230,"  %36 = getelementptr inbounds double# double* %1# i64 %3",8821168,8829360,13,1,0,0,0,3.15898230291e+19,357480,0
Not Available,,,,,0,0,1,0,1.0,442685,0
Not Available,,,,,0,0,1,0,1.0,651651,0
Not Available,,,,,0,0,1,0,1.0,575985,0
Not Available,,,,,0,0,1,0,1.0,185120,0
Not Available,,,,,0,0,1,0,1.0,651651,0
Not Available,,,,,0,0,1,0,1.0,398566,0
Not Available,,,,,0,0,1,0,1.0,613040,0
Not Available,,,,,0,0,1,0,1.0,458084,0
1465951448458552,"  %46 = getelementptr inbounds double# double* %1# i64 %4",47926543580688,47926543646224,16,1,0,0,0,4.24509160587e+19,1406144,0
Not Available,,,,,0,0,1,0,1.0,331721,0
Not Available,,,,,0,0,1,0,1.0,473836,0
Not Available,,,,,0,0,1,0,1.0,231035,0
Not Available,,,,,0,0,1,0,1.0,370845,0
Not Available,,,,,0,0,1,0,1.0,272801,0
1465951452480439,"  %42 = getelementptr inbounds double# double* %1# i64 %4",26038008,26038009,0,1,0,0,0,5.55779282721e+16,1159060,0
1465951453163736,"  %46 = getelementptr inbounds double# double* %1# i64 %4",18336472,18336476,2,1,0,0,0,8.60137912502e+16,1309750,0
1465951453812988,"  %46 = getelementptr inbounds double# double* %1# i64 %4",33539816,33539820,2,1,0,0,0,1.32818689281e+17,221306,0
Not Available,,,,,0,0,1,0,1.0,968184,0
Not Available,,,,,0,0,1,0,1.0,1047190,0
Not Available,,,,,0,0,1,0,1.0,1159060,0
1465951456480646,"  %97 = getelementptr inbounds double# double* %1# i64 %9",38211952,38211954,1,1,0,0,0,1.87212493978e+177,1130381,0
1465951457083218,"  %42 = getelementptr inbounds double# double* %1# i64 %4",8704488,8835560,17,1,0,0,0,1.81593659122e+18,458084,0
Not Available,,,,,0,0,1,0,1.0,755196,0
1465951458350815,"  %36 = getelementptr inbounds double# double* %1# i64 %3",18357304,18357305,0,1,0,0,0,3.51735561717e+200,1020395,0
1465951458947481,"  %97 = getelementptr inbounds double# double* %1# i64 %9",9563480,9563481,0,1,0,0,0,3.04362405061e+17,331721,0
Not Available,,,,,0,0,1,0,1.0,558031,0
1465951460103503,"  %42 = getelementptr inbounds double# double* %1# i64 %4",32374328,32372280,11,1,0,0,0,7.68904215552e+17,272801,0
1465951460574102,"  %36 = getelementptr inbounds double# double* %1# i64 %3",11601304,11603352,11,1,0,0,0,5.65148984094e+18,295450,0
Not Available,,,,,0,0,1,0,1.0,1217865,0
Not Available,,,,,0,0,1,0,1.0,261924,0
Not Available,,,,,0,0,1,0,1.0,1217865,0
Not Available,,,,,0,0,1,0,1.0,632149,0
Not Available,,,,,0,0,1,0,1.0,777140,0
Not Available,,,,,0,0,1,0,1.0,1406144,0
Not Available,,,,,0,0,1,0,1.0,370845,0
Not Available,,,,,0,0,1,0,1.0,594320,0
Not Available,,,,,0,0,1,0,1.0,1309750,0
Not Available,,,,,0,0,1,0,1.0,251340,0
Not Available,,,,,0,0,1,0,1.0,283975,0
Not Available,,,,,0,0,1,0,1.0,799505,0
Not Available,,,,,0,0,1,0,1.0,651651,0
1465951470318484,"  %107 = getelementptr inbounds double# double* %1# i64 %10",11348456,11348424,5,1,0,0,0,6.10750742223e+16,344440,0
1465951470840833,"  %103 = getelementptr inbounds double# double* %1# i64 %10",32198424,32198456,5,1,0,0,0,1.62967265767e+16,251340,0
Not Available,,,,,0,0,1,0,1.0,231035,0
1465951472014464,"  %103 = getelementptr inbounds double# double* %1# i64 %10",33670440,33670442,1,1,0,0,0,1.72473600473e+180,1159060,0
1465951472630452,"  %36 = getelementptr inbounds double# double* %1# i64 %3",6750464,6750466,1,1,0,0,0,5.62299535918e+17,489945,0
Not Available,,,,,0,0,1,0,1.0,231035,0
Not Available,,,,,0,0,1,0,1.0,221306,0
Not Available,,,,,0,0,1,0,1.0,319319,0
Not Available,,,,,0,0,1,0,1.0,968184,0
Not Available,,,,,0,0,1,0,1.0,473836,0
Not Available,,,,,0,0,1,0,1.0,558031,0
1465951477171084,"  %32 = getelementptr inbounds double# double* %1# i64 %3",20332832,20332834,1,1,0,0,0,2.64264653149e+305,211854,0
1465951477700518,"  %107 = getelementptr inbounds double# double* %1# i64 %10",35340592,35340594,1,1,0,0,0,1.06166093185e+16,1309750,0
Not Available,,,,,0,0,1,0,1.0,917785,0
Not Available,,,,,0,0,1,0,1.0,917785,0
Not Available,,,,,0,0,1,0,1.0,176736,0
Not Available,,,,,0,0,1,0,1.0,733669,0
Not Available,,,,,0,0,1,0,1.0,384539,0
Not Available,,,,,0,0,1,0,1.0,1130381,0
Not Available,,,,,0,0,1,0,1.0,221306,0
Not Available,,,,,0,0,1,0,1.0,942760,0
Not Available,,,,,0,0,1,0,1.0,822295,0
Not Available,,,,,0,0,1,0,1.0,755196,0
1465951485680756,"  %107 = getelementptr inbounds double# double* %1# i64 %10",36050072,36058264,13,1,0,0,0,3.77692592659e+16,1373505,0
Not Available,,,,,0,0,1,0,1.0,1278626,0
Not Available,,,,,0,0,1,0,1.0,344440,0
Not Available,,,,,0,0,1,0,1.0,489945,0
1465951488533668,"  %24 = getelementptr inbounds double# double* %1# i64 %2",7448024,7448056,5,1,0,0,0,1.00694966403e+20,442685,0
Not Available,,,,,0,0,1,0,1.0,331721,0
Not Available,,,,,0,0,1,0,1.0,506415,0
Not Available,,,,,0,0,1,0,1.0,319319,0
Not Available,,,,,0,0,1,0,1.0,319319,0
Not Available,,,,,0,0,1,0,1.0,283975,0
1465951492602856,"  %93 = getelementptr inbounds double# double* %1# i64 %9",25402104,25410296,13,1,0,0,0,1.21763396765e+38,1074450,0
Not Available,,,,,0,0,1,0,1.0,1373505,0
Not Available,,,,,0,0,1,0,1.0,651651,0
1465951494652346,"  %32 = getelementptr inbounds double# double* %1# i64 %3",38738832,38771600,15,1,0,0,0,2.50329472086e+38,1130381,0
Not Available,,,,,0,0,1,0,1.0,1247999,0
1465951496044435,"  %81 = getelementptr inbounds double# double* %1# i64 %7",12364648,12362600,11,1,0,0,0,3.39570882176e+38,822295,0
1465951496614000,"  %42 = getelementptr inbounds double# double* %1# i64 %4",8236488,8234440,11,1,0,0,0,4.73120557671e+36,755196,0
1465951497169569,"  %32 = getelementptr inbounds double# double* %1# i64 %3",22835872,22836896,10,1,0,0,0,1.7488781974e+38,458084,0
1465951497688116,"  %36 = getelementptr inbounds double# double* %1# i64 %3",8008120,8009144,10,1,0,0,0,6.87190243818e+19,231035,0
1465951498171972,"  %97 = getelementptr inbounds double# double* %1# i64 %9",27730760,27730504,8,1,0,0,0,1.48010261019e+17,1102179,0
1465951498752828,"  %24 = getelementptr inbounds double# double* %1# i64 %2",8952936,8953192,8,1,0,0,0,1.1956514105e+20,193765,0
Not Available,,,,,0,0,1,0,1.0,1188220,0
Not Available,,,,,0,0,1,0,1.0,893255,0
Not Available,,,,,0,0,1,0,1.0,1130381,0
Not Available,,,,,0,0,1,0,1.0,1309750,0
Not Available,,,,,0,0,1,0,1.0,241045,0
1465951503110313,"  %42 = getelementptr inbounds double# double* %1# i64 %4",24347064,24347048,4,1,0,0,0,1.14965318387e+18,869166,0
1465951503759343,"  %32 = getelementptr inbounds double# double* %1# i64 %3",31227480,31227464,4,1,0,0,0,1.40347685257e+18,1074450,0
Not Available,,,,,0,0,1,0,1.0,1047190,0
Not Available,,,,,0,0,1,0,1.0,384539,0
Not Available,,,,,0,0,1,0,1.0,458084,0
Not Available,,,,,0,0,1,0,1.0,968184,0
Not Available,,,,,0,0,1,0,1.0,398566,0
Not Available,,,,,0,0,1,0,1.0,384539,0
Not Available,,,,,0,0,1,0,1.0,307230,0
Not Available,,,,,0,0,1,0,1.0,211854,0
1465951510308890,"  %107 = getelementptr inbounds double# double* %1# i64 %10",8158360,8158362,1,1,0,0,0,9.5869477199e+16,261924,0
1465951510885221,"  %36 = getelementptr inbounds double# double* %1# i64 %3",34298224,34298226,1,1,0,0,0,4.18341825955e+15,671550,0
Not Available,,,,,0,0,1,0,1.0,193765,0
Not Available,,,,,0,0,1,0,1.0,458084,0
Not Available,,,,,0,0,1,0,1.0,442685,0
Not Available,,,,,0,0,1,0,1.0,251340,0
Not Available,,,,,0,0,1,0,1.0,1217865,0
Not Available,,,,,0,0,1,0,1.0,632149,0
Not Available,,,,,0,0,1,0,1.0,370845,0
1465951516593255,"  %32 = getelementptr inbounds double# double* %1# i64 %3",22071152,22071156,2,1,0,0,0,1.8362053467e+17,1217865,0
Not Available,,,,,0,0,1,0,1.0,319319,0
Not Available,,,,,0,0,1,0,1.0,1047190,0
Not Available,,,,,0,0,1,0,1.0,384539,0
Not Available,,,,,0,0,1,0,1.0,427635,0
Not Available,,,,,0,0,1,0,1.0,594320,0
Not Available,,,,,0,0,1,0,1.0,176736,0
Not Available,,,,,0,0,1,0,1.0,241045,0
Not Available,,,,,0,0,1,0,1.0,221306,0
Not Available,,,,,0,0,1,0,1.0,540454,0
Not Available,,,,,0,0,1,0,1.0,458084,0
Not Available,,,,,0,0,1,0,1.0,942760,0
Not Available,,,,,0,0,1,0,1.0,344440,0
