exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,2342430,0
1465684010205224,"  %83 = getelementptr inbounds double# double* %4# i64 %7",7177424,7177428,2,1,0,0,0,1.6912940482e+217,3596712,0
Not Available,,,,,0,0,1,0,1.0,1237656,0
Not Available,,,,,0,0,1,0,1.0,1431612,0
Not Available,,,,,0,0,1,0,1.0,1961400,0
Not Available,,,,,0,0,1,0,1.0,3328800,0
Not Available,,,,,0,0,1,0,1.0,3299672,0
Not Available,,,,,0,0,1,0,1.0,3468906,0
1465684037103912,"  %26 = getelementptr inbounds double# double* %5# i64 %2",47985186211968,47985186211969,0,1,0,0,0,2.04379276471e+18,3029340,0
Not Available,,,,,0,0,1,0,1.0,2150622,0
Not Available,,,,,0,0,1,0,1.0,1733172,0
1465684052132062,"  %90 = getelementptr inbounds double# double* %5# i64 %8",47864558430136,47864558430120,4,1,0,0,0,7.21517863453e+17,3680642,0
Not Available,,,,,0,0,1,0,1.0,4066272,0
1465684068994688,"  %92 = getelementptr inbounds double# double* %4# i64 %8",9251320,9252344,10,1,0,0,0,1.04688795726e+17,2925810,0
1465684079353107,"  %34 = getelementptr inbounds double# double* %5# i64 %3",47166640433728,47166640466496,15,1,0,0,0,5.07688992282e+17,3220230,0
Not Available,,,,,0,0,1,0,1.0,3241800,0
Not Available,,,,,0,0,1,0,1.0,1465310,0
Not Available,,,,,0,0,1,0,1.0,1242110,0
Not Available,,,,,0,0,1,0,1.0,2810652,0
Not Available,,,,,0,0,1,0,1.0,2046330,0
Not Available,,,,,0,0,1,0,1.0,2619542,0
Not Available,,,,,0,0,1,0,1.0,3642372,0
Not Available,,,,,0,0,1,0,1.0,1759602,0
Not Available,,,,,0,0,1,0,1.0,3205890,0
Not Available,,,,,0,0,1,0,1.0,2606610,0
1465684125527962,"  %90 = getelementptr inbounds double# double* %5# i64 %8",47186087548344,47186087548408,6,1,0,0,0,3.82535384646e+17,3241800,0
Not Available,,,,,0,0,1,0,1.0,2080806,0
Not Available,,,,,0,0,1,0,1.0,1818452,0
Not Available,,,,,0,0,1,0,1.0,2658530,0
Not Available,,,,,0,0,1,0,1.0,1867322,0
1465684151054568,"  %36 = getelementptr inbounds double# double* %3# i64 %3",8015176,8019272,12,1,0,0,0,2.98329209846e+17,3148850,0
Not Available,,,,,0,0,1,0,1.0,4058210,0
1465684169714566,"  %34 = getelementptr inbounds double# double* %5# i64 %3",47066894072792,47066885684184,23,1,0,0,0,8.45621759223e+17,2215632,0
Not Available,,,,,0,0,1,0,1.0,2052056,0
Not Available,,,,,0,0,1,0,1.0,3241800,0
Not Available,,,,,0,0,1,0,1.0,3711402,0
1465684194246045,"  %26 = getelementptr inbounds double# double* %5# i64 %2",47030582848920,47030582717848,17,1,0,0,0,2.53567249285e+17,1802306,0
Not Available,,,,,0,0,1,0,1.0,3843560,0
Not Available,,,,,0,0,1,0,1.0,1388862,0
Not Available,,,,,0,0,1,0,1.0,2197806,0
1465684218348352,"  %28 = getelementptr inbounds double# double* %3# i64 %2",21499520,21497472,11,1,0,0,0,9.36378970365e+17,3299672,0
Not Available,,,,,0,0,1,0,1.0,3978030,0
1465684243602604,"  %36 = getelementptr inbounds double# double* %3# i64 %3",18062744,18060696,11,1,0,0,0,4.52240122413e+17,3812256,0
Not Available,,,,,0,0,1,0,1.0,1548780,0
1465684265634877,"  %81 = getelementptr inbounds double# double* %5# i64 %7",47772950585448,47772950577256,13,1,0,0,0,5.9845725494e+17,2075040,0
Not Available,,,,,0,0,1,0,1.0,2593710,0
Not Available,,,,,0,0,1,0,1.0,3954132,0
Not Available,,,,,0,0,1,0,1.0,2665056,0
1465684298865606,"  %92 = getelementptr inbounds double# double* %4# i64 %8",13577720,13581816,12,1,0,0,0,1.62401094839e+17,3277910,0
1465684319120351,"  %90 = getelementptr inbounds double# double* %5# i64 %8",47743564902424,47743564902426,1,1,0,0,0,2.58533793347e+17,2980802,0
1465684339158489,"  %34 = getelementptr inbounds double# double* %5# i64 %3",47072692165136,47072692166160,10,1,0,0,0,1.67343969243e+17,3120522,0
Not Available,,,,,0,0,1,0,1.0,1598960,0
Not Available,,,,,0,0,1,0,1.0,3184440,0
Not Available,,,,,0,0,1,0,1.0,1519056,0
Not Available,,,,,0,0,1,0,1.0,3962090,0
Not Available,,,,,0,0,1,0,1.0,1961400,0
1465684388846579,"  %36 = getelementptr inbounds double# double* %3# i64 %3",25285848,25285784,6,1,0,0,0,2.38634182708e+18,2180052,0
Not Available,,,,,0,0,1,0,1.0,1568756,0
Not Available,,,,,0,0,1,0,1.0,4188162,0
Not Available,,,,,0,0,1,0,1.0,1764912,0
Not Available,,,,,0,0,1,0,1.0,3454022,0
Not Available,,,,,0,0,1,0,1.0,2360832,0
Not Available,,,,,0,0,1,0,1.0,1738442,0
Not Available,,,,,0,0,1,0,1.0,2330202,0
Not Available,,,,,0,0,1,0,1.0,1323650,0
1465684462714717,"  %83 = getelementptr inbounds double# double* %4# i64 %7",39579232,39579360,7,1,0,0,0,1.88714135155e+17,3765540,0
Not Available,,,,,0,0,1,0,1.0,1578792,0
Not Available,,,,,0,0,1,0,1.0,3387440,0
Not Available,,,,,0,0,1,0,1.0,2763906,0
1465684509870555,"  %90 = getelementptr inbounds double# double* %5# i64 %8",47996266468920,47996266469176,8,1,0,0,0,9.22688265553e+16,1070190,0
Not Available,,,,,0,0,1,0,1.0,1398306,0
Not Available,,,,,0,0,1,0,1.0,1167480,0
Not Available,,,,,0,0,1,0,1.0,1323650,0
Not Available,,,,,0,0,1,0,1.0,4026042,0
1465684545015232,"  %36 = getelementptr inbounds double# double* %3# i64 %3",14671736,14671480,8,1,0,0,0,2.06251821e+17,1563750,0
Not Available,,,,,0,0,1,0,1.0,2871330,0
1465684565935375,"  %36 = getelementptr inbounds double# double* %3# i64 %3",21796168,21796104,6,1,0,0,0,2.06045391607e+17,1384152,0
Not Available,,,,,0,0,1,0,1.0,1282556,0
1465684582455133,"  %26 = getelementptr inbounds double# double* %5# i64 %2",47143796204416,47143796335488,17,1,0,0,0,8.57062228889e+17,1237656,0
Not Available,,,,,0,0,1,0,1.0,1911306,0
Not Available,,,,,0,0,1,0,1.0,3476360,0
Not Available,,,,,0,0,1,0,1.0,1441200,0
Not Available,,,,,0,0,1,0,1.0,1176140,0
1465684621412298,"  %26 = getelementptr inbounds double# double* %5# i64 %2",47168584942976,47168584942978,1,1,0,0,0,1.60229174108e+18,2810652,0
Not Available,,,,,0,0,1,0,1.0,3270672,0
1465684652409579,"  %36 = getelementptr inbounds double# double* %3# i64 %3",11629336,11630360,10,1,0,0,0,2.20409607768e+16,2504306,0
1465684673723781,"  %36 = getelementptr inbounds double# double* %3# i64 %3",24508776,24508778,1,1,0,0,0,7.19240672512e+17,2568006,0
1465684696383889,"  %90 = getelementptr inbounds double# double* %5# i64 %8",47147018172136,47147018172072,6,1,0,0,0,1.77570310742e+18,3946182,0
1465684728662320,"  %90 = getelementptr inbounds double# double* %5# i64 %8",47768352411672,47768352346136,16,1,0,0,0,9.625547174e+17,3946182,0
Not Available,,,,,0,0,1,0,1.0,1450820,0
Not Available,,,,,0,0,1,0,1.0,3851406,0
Not Available,,,,,0,0,1,0,1.0,1706942,0
Not Available,,,,,0,0,1,0,1.0,1538840,0
Not Available,,,,,0,0,1,0,1.0,2052056,0
1465684789073427,"  %90 = getelementptr inbounds double# double* %5# i64 %8",47544315665576,47544315600040,16,1,0,0,0,2.24500960575e+18,1818452,0
Not Available,,,,,0,0,1,0,1.0,3521252,0
1465684813302133,"  %83 = getelementptr inbounds double# double* %4# i64 %7",32951376,32951360,4,1,0,0,0,1.78775706986e+15,2098152,0
