exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,186372906,0
Not Available,,,,,0,0,1,0,1.0,55727718,0
1465683915632018,"  %233 = getelementptr inbounds double# double* %2# i64 %23",47401697300496,47401697300624,7,1,0,0,0,150.681666017,272167539,0
1465683927083650,"  %237 = getelementptr inbounds double# double* %2# i64 %23",24986312,24986344,5,1,0,0,0,1203.50088692,16881486,0
1465683928972823,"  %233 = getelementptr inbounds double# double* %2# i64 %23",17853104,17918640,16,1,0,0,0,11811.1169699,23123886,0
Not Available,,,,,0,0,1,0,1.0,31505766,0
Not Available,,,,,0,0,1,0,1.0,231814230,0
Not Available,,,,,0,0,1,0,1.0,11188806,0
Not Available,,,,,0,0,1,0,1.0,84558471,0
Not Available,,,,,0,0,1,0,1.0,100684248,0
Not Available,,,,,0,0,1,0,1.0,374031411,0
Not Available,,,,,0,0,1,0,1.0,64625694,0
Not Available,,,,,0,0,1,0,1.0,38001102,0
Not Available,,,,,0,0,1,0,1.0,474024966,0
Not Available,,,,,0,0,1,0,1.0,184970022,0
Not Available,,,,,0,0,1,0,1.0,215233926,0
Not Available,,,,,0,0,1,0,1.0,104486523,0
Not Available,,,,,0,0,1,0,1.0,50051931,0
Not Available,,,,,0,0,1,0,1.0,418471521,0
Not Available,,,,,0,0,1,0,1.0,54739590,0
Not Available,,,,,0,0,1,0,1.0,127163310,0
Not Available,,,,,0,0,1,0,1.0,114300006,0
1465684079937649,"  %242 = getelementptr inbounds double# double* %2# i64 %24",32782944,32815712,15,1,0,0,0,75857.816659,85659657,0
Not Available,,,,,0,0,1,0,1.0,129872301,0
Not Available,,,,,0,0,1,0,1.0,215709324,0
1465684116902673,"  %256 = getelementptr inbounds double# double* %2# i64 %25",39864032,39866080,11,1,0,0,0,968.722558022,11560974,0
1465684122243094,"  %222 = getelementptr inbounds double# double* %2# i64 %22",19505616,19506128,9,1,0,0,0,20969.23997,135607398,0
Not Available,,,,,0,0,1,0,1.0,337929576,0
Not Available,,,,,0,0,1,0,1.0,373630731,0
1465684185354604,"  %50 = getelementptr double# double* %2# i64 %4",47600070953128,47565711214760,35,0,1,0,0,0.0,79971846,0
1465684194896483,"  %222 = getelementptr inbounds double# double* %2# i64 %22",26242816,26373888,17,1,0,0,0,27916.3763921,66523686,0
Not Available,,,,,0,0,1,0,1.0,91951098,0
Not Available,,,,,0,0,1,0,1.0,324199734,0
Not Available,,,,,0,0,1,0,1.0,83579775,0
Not Available,,,,,0,0,1,0,1.0,146591556,0
Not Available,,,,,0,0,1,0,1.0,110373234,0
Not Available,,,,,0,0,1,0,1.0,33942876,0
Not Available,,,,,0,0,1,0,1.0,122102079,0
Not Available,,,,,0,0,1,0,1.0,161186766,0
Not Available,,,,,0,0,1,0,1.0,28220406,0
Not Available,,,,,0,0,1,0,1.0,29499369,0
1465684311902666,"  %226 = getelementptr inbounds double# double* %2# i64 %22",47437668494912,47437668494913,0,1,0,0,0,264189.183963,278348406,0
Not Available,,,,,0,0,1,0,1.0,37603581,0
1465684350056347,"  %242 = getelementptr inbounds double# double* %2# i64 %24",6875744,6876768,10,1,0,0,0,1052.23849893,45702663,0
Not Available,,,,,0,0,1,0,1.0,459837006,0
Not Available,,,,,0,0,1,0,1.0,9202866,0
1465684409912370,"  %233 = getelementptr inbounds double# double* %2# i64 %23",10047696,10080464,15,1,0,0,0,3963.67265391,66000534,0
Not Available,,,,,0,0,1,0,1.0,210179454,0
1465684450056008,"  %226 = getelementptr inbounds double# double* %2# i64 %22",47216040184776,47216042281928,21,1,0,0,0,70819.202142,248497773,0
Not Available,,,,,0,0,1,0,1.0,82851558,0
Not Available,,,,,0,0,1,0,1.0,45398931,0
Not Available,,,,,0,0,1,0,1.0,367909782,0
1465684569964435,"  %222 = getelementptr inbounds double# double* %2# i64 %22",7850816,7818048,15,1,0,0,0,3089.85041404,83541030,0
Not Available,,,,,0,0,1,0,1.0,130730631,0
Not Available,,,,,0,0,1,0,1.0,44402667,0
Not Available,,,,,0,0,1,0,1.0,215769021,0
Not Available,,,,,0,0,1,0,1.0,228769206,0
Not Available,,,,,0,0,1,0,1.0,19434174,0
1465684698829270,"  %247 = getelementptr inbounds double# double* %2# i64 %24",47828931824808,47828931824824,4,1,0,0,0,58.8329520226,194974134,0
Not Available,,,,,0,0,1,0,1.0,122476542,0
Not Available,,,,,0,0,1,0,1.0,215588742,0
Not Available,,,,,0,0,1,0,1.0,115254177,0
Not Available,,,,,0,0,1,0,1.0,404687661,0
1465684861905382,"  %261 = getelementptr inbounds double# double* %2# i64 %25",47456648763368,47456648763240,7,1,0,0,0,342.665180087,387756474,0
Not Available,,,,,0,0,1,0,1.0,6909090,0
1465684937836996,"  %222 = getelementptr inbounds double# double* %2# i64 %22",47538284366352,47538284366416,6,1,0,0,0,495.627956033,223525662,0
Not Available,,,,,0,0,1,0,1.0,187768671,0
Not Available,,,,,0,0,1,0,1.0,166622406,0
Not Available,,,,,0,0,1,0,1.0,240337158,0
1465685066405208,"  %247 = getelementptr inbounds double# double* %2# i64 %24",14878968,14879480,9,1,0,0,0,15191.138417,44289861,0
1465685078568752,"  %261 = getelementptr inbounds double# double* %2# i64 %25",39057400,39057401,0,1,0,0,0,15084.356173,96440631,0
1465685099508938,"  %226 = getelementptr inbounds double# double* %2# i64 %22",46943993772080,46943995869232,21,1,0,0,0,3.22583532488e+79,90102678,0
1465685130767959,"  %242 = getelementptr inbounds double# double* %2# i64 %24",47293370398136,47293370389944,13,1,0,0,0,436200.400137,259031454,0
Not Available,,,,,0,0,1,0,1.0,9694743,0
Not Available,,,,,0,0,1,0,1.0,22175214,0
Not Available,,,,,0,0,1,0,1.0,57091776,0
Not Available,,,,,0,0,1,0,1.0,160761012,0
Not Available,,,,,0,0,1,0,1.0,96090630,0
Not Available,,,,,0,0,1,0,1.0,238455366,0
Not Available,,,,,0,0,1,0,1.0,184917102,0
Not Available,,,,,0,0,1,0,1.0,90385017,0
1465685316771130,"  %226 = getelementptr inbounds double# double* %2# i64 %22",47425953425720,47425955522872,21,1,0,0,0,157586.290408,317860521,0
Not Available,,,,,0,0,1,0,1.0,221493507,0
1465685398577276,"  %222 = getelementptr inbounds double# double* %2# i64 %22",30741928,30741800,7,1,0,0,0,24207.474806,6678321,0
Not Available,,,,,0,0,1,0,1.0,212662653,0
Not Available,,,,,0,0,1,0,1.0,44593881,0
Not Available,,,,,0,0,1,0,1.0,78660294,0
Not Available,,,,,0,0,1,0,1.0,208973013,0
