exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,47779284,0
1465683988968168,"  %176 = getelementptr inbounds double# double* %4# i64 %17",47911094559008,47911094560032,10,1,0,0,0,7.97960918767e+16,80660878,0
Not Available,,,,,0,0,1,0,1.0,50435865,0
Not Available,,,,,0,0,1,0,1.0,32779307,0
Not Available,,,,,0,0,1,0,1.0,96126442,0
Not Available,,,,,0,0,1,0,1.0,37832670,0
Not Available,,,,,0,0,1,0,1.0,40703270,0
Not Available,,,,,0,0,1,0,1.0,48335488,0
1465684023021290,"  %176 = getelementptr inbounds double# double* %4# i64 %17",47122589326448,47122589326452,2,1,0,0,0,1.8150407251e+280,70900156,0
Not Available,,,,,0,0,1,0,1.0,79143784,0
1465684039524105,"  %171 = getelementptr inbounds double# double* %3# i64 %16",47396737212832,47396737212800,5,1,0,0,0,2.34791442759e+18,46394269,0
Not Available,,,,,0,0,1,0,1.0,90626671,0
1465684052868740,"  %176 = getelementptr inbounds double# double* %4# i64 %17",47435472619856,47435472619840,4,1,0,0,0,3.7716252818e+17,48093484,0
1465684060060570,"  %176 = getelementptr inbounds double# double* %4# i64 %17",47178475717744,47178475193456,19,1,0,0,0,8.82740235442e+17,31742436,0
Not Available,,,,,0,0,1,0,1.0,94552095,0
Not Available,,,,,0,0,1,0,1.0,101159758,0
Not Available,,,,,0,0,1,0,1.0,44344572,0
Not Available,,,,,0,0,1,0,1.0,65808465,0
Not Available,,,,,0,0,1,0,1.0,74390585,0
Not Available,,,,,0,0,1,0,1.0,107960414,0
Not Available,,,,,0,0,1,0,1.0,64060418,0
Not Available,,,,,0,0,1,0,1.0,29073536,0
Not Available,,,,,0,0,1,0,1.0,80479750,0
1465684132675452,"  %176 = getelementptr inbounds double# double* %4# i64 %17",47551424420640,47551424420768,7,1,0,0,0,2.12454053656e+18,100398408,0
