exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1465750890617351,"  %77 = add nsw i32 %injectError21# %injectError1",548,2596,11,1,0,0,0,1.00000000014e-06,88085959,0
Not Available,,,,,0,0,1,0,1.0,411430845,0
1465750927736266,"  %199 = sext i32 %injectError63 to i6",5561,1465,12,1,0,0,0,1.00000000014e-06,351616857,0
Not Available,,,,,0,0,1,0,1.0,135135007,0
Not Available,,,,,0,0,1,0,1.0,318832807,0
Not Available,,,,,0,0,1,0,1.0,206502903,0
1465750973177249,"  %87 = shl i64 %injectError25# 3",4342211936256,4342211936320,6,0,1,0,0,0.0,39790457,0
1465750981410746,"  %94 = add nsw i32 %84# %injectError",7982,3886,12,1,0,0,0,1.00000000014e-06,280087111,0
Not Available,,,,,0,0,1,0,1.0,305737741,0
Not Available,,,,,0,0,1,0,1.0,163101279,0
Not Available,,,,,0,0,1,0,1.0,77255669,0
1465751045678724,"  %109 = add nsw i32 %injectError14# %injectError3",7345,7353,3,0,1,0,0,0.0,295172647,0
1465751077148907,"  %213 = add nuw nsw i64 %175# ",12,28,4,1,0,0,0,1.00000000014e-06,325685263,0
Not Available,,,,,0,0,1,0,1.0,501281711,0
1465751151200511,"  %69 = sext i32 %injectError19 to i6",3378,2305843009213697330,61,0,1,0,0,0.0,142960215,0
1465751186053937,"  %78 = sext i32 %injectError22 to i6",10063,26447,14,1,0,0,0,1.00000000014e-06,505261257,0
Not Available,,,,,0,0,1,0,1.0,145408775,0
1465751277361445,"  %69 = sext i32 %injectError19 to i6",12349,4611686018427400253,62,0,1,0,0,0.0,377623783,0
1465751343281729,"  %63 = sext i32 %injectError15 to i6",3383,2305843009213697335,61,0,1,0,0,0.0,300012421,0
Not Available,,,,,0,0,1,0,1.0,74785207,0
1465751417345239,"  %189 = add nsw i32 %176# %injectError4",6200,6184,4,1,0,0,0,1.00000000014e-06,248526087,0
Not Available,,,,,0,0,1,0,1.0,160765567,0
Not Available,,,,,0,0,1,0,1.0,115719457,0
1465751483116469,"  %78 = sext i32 %injectError22 to i6",1172,5268,12,0,1,0,0,0.0,84650839,0
1465751497326190,"  %198 = add nsw i32 %176# %injectError4",549,4645,12,1,0,0,0,1.00000000014e-06,32170877,0
1465751513412630,"  %189 = add nsw i32 %176# %injectError4",4360,4872,9,1,0,0,0,9.99999999918e-07,197470375,0
Not Available,,,,,0,0,1,0,1.0,469348935,0
Not Available,,,,,0,0,1,0,1.0,330164361,0
1465751620541009,"  %98 = add nsw i32 %injectError12# %injectError3",10620,14716,12,1,0,0,0,8.40000000001e-05,336190953,0
1465751667132416,"  %67 = mul nsw i32 %injectError17# %",1058,1314,8,1,0,0,0,1.00000000003e-06,59671399,0
Not Available,,,,,0,0,1,0,1.0,149805095,0
1465751701920567,"  %97 = mul nsw i32 %84# %",3538,3539,0,0,1,0,0,0.0,128664493,0
Not Available,,,,,0,0,1,0,1.0,177570407,0
Not Available,,,,,0,0,1,0,1.0,51459911,0
Not Available,,,,,0,0,1,0,1.0,106929767,0
1465751785936892,"  %187 = sext i32 %injectError59 to i6",5788,4611686018427393692,62,0,1,0,0,0.0,267189447,0
Not Available,,,,,0,0,1,0,1.0,47895987,0
1465751845536801,"  %213 = add nuw nsw i64 %175# ",29,-9223372036854775779,63,0,1,0,0,0.0,278957959,0
1465751911765670,"  %99 = sext i32 %injectError31 to i6",7383,7381,1,1,0,0,0,1.00000000003e-06,407809607,0
Not Available,,,,,0,0,1,0,1.0,39531103,0
Not Available,,,,,0,0,1,0,1.0,62055907,0
1465751997476970,"  %164 = ashr exact i64 %injectError52# 3",4905,4921,4,1,0,0,0,1.00000000014e-06,203148007,0
Not Available,,,,,0,0,1,0,1.0,330721657,0
