exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,385808,0
Not Available,,,,,0,0,1,0,1.0,323214,0
Not Available,,,,,0,0,1,0,1.0,349596,0
Not Available,,,,,0,0,1,0,1.0,224968,0
Not Available,,,,,0,0,1,0,1.0,424358,0
Not Available,,,,,0,0,1,0,1.0,233364,0
Not Available,,,,,0,0,1,0,1.0,305586,0
Not Available,,,,,0,0,1,0,1.0,510758,0
Not Available,,,,,0,0,1,0,1.0,334649,0
Not Available,,,,,0,0,1,0,1.0,219300,0
Not Available,,,,,0,0,1,0,1.0,573784,0
Not Available,,,,,0,0,1,0,1.0,440378,0
Not Available,,,,,0,0,1,0,1.0,240878,0
1465751034484312,"  %105 = add nsw i64 %injectError19# %injectError1",158945,158881,6,1,0,0,0,9.70329641617e+26,535958,0
Not Available,,,,,0,0,1,0,1.0,313028,0
Not Available,,,,,0,0,1,0,1.0,454469,0
Not Available,,,,,0,0,1,0,1.0,339896,0
Not Available,,,,,0,0,1,0,1.0,362818,0
1465751045134249,"  %97 = add nsw i64 %94# %injectError1",46792,46784,3,1,0,0,0,1.91620517933e+25,270838,0
Not Available,,,,,0,0,1,0,1.0,311336,0
1465751049419429,"  %105 = add nsw i64 %injectError19# %injectError1",63639,63647,3,1,0,0,0,1.46044785723e+27,421044,0
Not Available,,,,,0,0,1,0,1.0,264202,0
1465751054015724,"  %105 = add nsw i64 %injectError19# %injectError1",119945,119817,7,1,0,0,0,3.56177553883e+27,462964,0
1465751058934463,"  %97 = add nsw i64 %94# %injectError1",25138,287282,18,1,0,0,0,9.51855066937e+26,309784,0
Not Available,,,,,0,0,1,0,1.0,550322,0
1465751063463373,"  %105 = add nsw i64 %injectError19# %injectError1",135342,137390,11,1,0,0,0,8.19847983523e+24,417593,0
Not Available,,,,,0,0,1,0,1.0,434723,0
Not Available,,,,,0,0,1,0,1.0,361195,0
1465751072880254,"  %112 = add nsw i64 %94# ",78,206,7,1,0,0,0,3.49686446316e+52,524864,0
1465751076538377,"  %105 = add nsw i64 %injectError19# %injectError1",17871,16847,10,1,0,0,0,4.25141346856e+25,278168,0
1465751079495107,"  %105 = add nsw i64 %injectError19# %injectError1",145553,146577,10,1,0,0,0,3.23300984475e+27,407348,0
Not Available,,,,,0,0,1,0,1.0,387782,0
Not Available,,,,,0,0,1,0,1.0,399784,0
Not Available,,,,,0,0,1,0,1.0,204368,0
Not Available,,,,,0,0,1,0,1.0,371648,0
1465751090800271,"  %166 = or i64 %164# ",337,8529,13,1,0,0,0,7.99352646008e+29,458498,0
Not Available,,,,,0,0,1,0,1.0,308834,0
Not Available,,,,,0,0,1,0,1.0,491546,0
1465751098346991,"  %112 = add nsw i64 %94# ",40,8,5,1,0,0,0,1.19160974335e+28,255098,0
Not Available,,,,,0,0,1,0,1.0,230518,0
Not Available,,,,,0,0,1,0,1.0,370352,0
Not Available,,,,,0,0,1,0,1.0,375293,0
Not Available,,,,,0,0,1,0,1.0,438523,0
Not Available,,,,,0,0,1,0,1.0,508880,0
1465751111906862,"  %97 = add nsw i64 %94# %injectError1",129787,129791,2,1,0,0,0,2.93223046162e+25,361504,0
Not Available,,,,,0,0,1,0,1.0,376728,0
1465751117587505,"  %166 = or i64 %164# ",185,697,9,1,0,0,0,7.2028513742e+29,464538,0
Not Available,,,,,0,0,1,0,1.0,419433,0
Not Available,,,,,0,0,1,0,1.0,355888,0
Not Available,,,,,0,0,1,0,1.0,206122,0
Not Available,,,,,0,0,1,0,1.0,295496,0
Not Available,,,,,0,0,1,0,1.0,704816,0
Not Available,,,,,0,0,1,0,1.0,571508,0
Not Available,,,,,0,0,1,0,1.0,254332,0
1465751137018111,"  %173 = add nsw i64 %injectError23# %injectError1",63665,47281,14,1,0,0,0,8.02857206568e+29,349392,0
1465751140601556,"  %97 = add nsw i64 %94# %injectError1",89606,24070,16,1,0,0,0,8.55467036203e+26,397972,0
Not Available,,,,,0,0,1,0,1.0,617107,0
Not Available,,,,,0,0,1,0,1.0,550628,0
1465751149096143,"  %105 = add nsw i64 %injectError19# %injectError1",100187,99163,10,1,0,0,0,2.84719439375e+27,531768,0
Not Available,,,,,0,0,1,0,1.0,531626,0
1465751155255304,"  %97 = add nsw i64 %94# %injectError1",16368,2305843009213710320,61,0,1,0,0,0.0,281842,0
1465751158802240,"  %105 = add nsw i64 %injectError19# %injectError1",27199,4611686018427415103,62,0,1,0,0,0.0,464588,0
Not Available,,,,,0,0,1,0,1.0,450650,0
Not Available,,,,,0,0,1,0,1.0,306683,0
1465751167629278,"  %105 = add nsw i64 %injectError19# %injectError1",61375,2305843009213755327,61,0,1,0,0,0.0,362878,0
Not Available,,,,,0,0,1,0,1.0,448534,0
Not Available,,,,,0,0,1,0,1.0,310376,0
Not Available,,,,,0,0,1,0,1.0,506529,0
Not Available,,,,,0,0,1,0,1.0,430339,0
Not Available,,,,,0,0,1,0,1.0,261458,0
Not Available,,,,,0,0,1,0,1.0,325226,0
1465751184751378,"  %97 = add nsw i64 %94# %injectError1",105744,103696,11,1,0,0,0,6.34340738842e+26,309404,0
Not Available,,,,,0,0,1,0,1.0,416298,0
Not Available,,,,,0,0,1,0,1.0,302278,0
Not Available,,,,,0,0,1,0,1.0,360938,0
Not Available,,,,,0,0,1,0,1.0,292952,0
Not Available,,,,,0,0,1,0,1.0,290423,0
Not Available,,,,,0,0,1,0,1.0,456632,0
Not Available,,,,,0,0,1,0,1.0,218688,0
1465751204395864,"  %97 = add nsw i64 %94# %injectError1",27302,27366,6,1,0,0,0,8.35068645485e+26,265678,0
