exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1465751003443559,"  %48 = add nuw nsw i64 %32# ",174,-9223372036854775634,63,0,1,0,0,0.0,442261,0
1465751006932425,"  %37 = add nsw i64 %32# %injectError",89941,89877,6,1,0,0,0,2.76583261282e+17,341735,0
Not Available,,,,,0,0,1,0,1.0,308229,0
Not Available,,,,,0,0,1,0,1.0,383689,0
Not Available,,,,,0,0,1,0,1.0,294517,0
1465751014194923,"  %48 = add nuw nsw i64 %32# ",66,74,3,1,0,0,0,9.97862444208e+18,258217,0
Not Available,,,,,0,0,1,0,1.0,260833,0
Not Available,,,,,0,0,1,0,1.0,223945,0
Not Available,,,,,0,0,1,0,1.0,344065,0
Not Available,,,,,0,0,1,0,1.0,270685,0
Not Available,,,,,0,0,1,0,1.0,322051,0
Not Available,,,,,0,0,1,0,1.0,322945,0
1465751027116097,"  %37 = add nsw i64 %32# %injectError",157702,157718,4,1,0,0,0,1.13061991653e+16,355213,0
Not Available,,,,,0,0,1,0,1.0,246481,0
Not Available,,,,,0,0,1,0,1.0,308295,0
1465751033552694,"  %48 = add nuw nsw i64 %32# ",156,157,0,1,0,0,0,2.82660675025e+17,231019,0
1465751036225928,"  %48 = add nuw nsw i64 %32# ",225,161,6,1,0,0,0,8.61005074734e+19,303789,0
Not Available,,,,,0,0,1,0,1.0,248057,0
Not Available,,,,,0,0,1,0,1.0,238375,0
Not Available,,,,,0,0,1,0,1.0,237709,0
Not Available,,,,,0,0,1,0,1.0,360369,0
Not Available,,,,,0,0,1,0,1.0,304675,0
Not Available,,,,,0,0,1,0,1.0,256969,0
Not Available,,,,,0,0,1,0,1.0,487425,0
Not Available,,,,,0,0,1,0,1.0,236403,0
1465751054691153,"  %37 = add nsw i64 %32# %injectError",126477,126605,7,1,0,0,0,8.01012468067e+16,327345,0
1465751058755322,"  %37 = add nsw i64 %32# %injectError",89375,351519,18,1,0,0,0,1.59172018708e+18,367317,0
Not Available,,,,,0,0,1,0,1.0,237729,0
Not Available,,,,,0,0,1,0,1.0,182777,0
1465751065548396,"  %37 = add nsw i64 %32# %injectError",146572,146604,5,1,0,0,0,1.98372876566e+18,371905,0
Not Available,,,,,0,0,1,0,1.0,260713,0
Not Available,,,,,0,0,1,0,1.0,242251,0
Not Available,,,,,0,0,1,0,1.0,330317,0
Not Available,,,,,0,0,1,0,1.0,406547,0
1465751077731847,"  %48 = add nuw nsw i64 %32# ",242,226,4,1,0,0,0,1.96971728876e+19,315745,0
Not Available,,,,,0,0,1,0,1.0,180085,0
Not Available,,,,,0,0,1,0,1.0,494953,0
Not Available,,,,,0,0,1,0,1.0,438617,0
Not Available,,,,,0,0,1,0,1.0,409501,0
1465751090390759,"  %37 = add nsw i64 %32# %injectError",54874,63066,13,1,0,0,0,1.31436082834e+17,260225,0
Not Available,,,,,0,0,1,0,1.0,216241,0
Not Available,,,,,0,0,1,0,1.0,163841,0
Not Available,,,,,0,0,1,0,1.0,264415,0
Not Available,,,,,0,0,1,0,1.0,299461,0
Not Available,,,,,0,0,1,0,1.0,164707,0
Not Available,,,,,0,0,1,0,1.0,355145,0
Not Available,,,,,0,0,1,0,1.0,436799,0
Not Available,,,,,0,0,1,0,1.0,215801,0
Not Available,,,,,0,0,1,0,1.0,241489,0
1465751111900583,"  %37 = add nsw i64 %32# %injectError",31875,31879,2,1,0,0,0,1.60800939897e+18,318407,0
Not Available,,,,,0,0,1,0,1.0,156559,0
1465751117666558,"  %37 = add nsw i64 %32# %injectError",56190,55678,9,1,0,0,0,7.34648409897e+17,302941,0
Not Available,,,,,0,0,1,0,1.0,311873,0
Not Available,,,,,0,0,1,0,1.0,319025,0
Not Available,,,,,0,0,1,0,1.0,483145,0
Not Available,,,,,0,0,1,0,1.0,193451,0
Not Available,,,,,0,0,1,0,1.0,286181,0
Not Available,,,,,0,0,1,0,1.0,449681,0
Not Available,,,,,0,0,1,0,1.0,315169,0
1465751137408300,"  %37 = add nsw i64 %32# %injectError",18313,1929,14,1,0,0,0,1.84625325107e+17,177121,0
Not Available,,,,,0,0,1,0,1.0,285767,0
Not Available,,,,,0,0,1,0,1.0,342415,0
1465751143950986,"  %37 = add nsw i64 %32# %injectError",60597,64693,12,1,0,0,0,5.80286664331e+17,196553,0
1465751147136830,"  %37 = add nsw i64 %32# %injectError",32197,32229,5,1,0,0,0,4.16952004781e+17,234349,0
Not Available,,,,,0,0,1,0,1.0,348649,0
Not Available,,,,,0,0,1,0,1.0,282611,0
1465751155209132,"  %48 = add nuw nsw i64 %32# ",91,2305843009213694043,61,0,1,0,0,0.0,323725,0
Not Available,,,,,0,0,1,0,1.0,255573,0
Not Available,,,,,0,0,1,0,1.0,414101,0
Not Available,,,,,0,0,1,0,1.0,285103,0
1465751167098157,"  %48 = add nuw nsw i64 %32# ",73,2305843009213694025,61,0,1,0,0,0.0,364041,0
Not Available,,,,,0,0,1,0,1.0,422401,0
Not Available,,,,,0,0,1,0,1.0,219043,0
Not Available,,,,,0,0,1,0,1.0,324787,0
Not Available,,,,,0,0,1,0,1.0,206401,0
Not Available,,,,,0,0,1,0,1.0,223561,0
Not Available,,,,,0,0,1,0,1.0,300565,0
1465751186495728,"  %37 = add nsw i64 %32# %injectError",107103,123487,14,1,0,0,0,2.53098555774e+17,308109,0
Not Available,,,,,0,0,1,0,1.0,329561,0
Not Available,,,,,0,0,1,0,1.0,204001,0
Not Available,,,,,0,0,1,0,1.0,278461,0
1465751198408849,"  %37 = add nsw i64 %32# %injectError",117164,51628,16,1,0,0,0,2.46074726595e+17,441153,0
Not Available,,,,,0,0,1,0,1.0,155629,0
Not Available,,,,,0,0,1,0,1.0,367285,0
Not Available,,,,,0,0,1,0,1.0,341141,0
Not Available,,,,,0,0,1,0,1.0,463625,0
Not Available,,,,,0,0,1,0,1.0,392193,0
Not Available,,,,,0,0,1,0,1.0,326367,0
Not Available,,,,,0,0,1,0,1.0,466187,0
Not Available,,,,,0,0,1,0,1.0,257287,0
Not Available,,,,,0,0,1,0,1.0,355121,0
Not Available,,,,,0,0,1,0,1.0,248169,0
Not Available,,,,,0,0,1,0,1.0,236005,0
Not Available,,,,,0,0,1,0,1.0,248137,0
Not Available,,,,,0,0,1,0,1.0,253989,0
