exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1465951105094873,"  %72 = add nsw i64 %52# ",8,-9223372036854775800,63,0,1,0,0,0.0,247729,0
1465951105567328,"  %72 = add nsw i64 %52# ",2,-9223372036854775806,63,0,1,0,0,0.0,581101,0
Not Available,,,,,0,0,1,0,1.0,1027657,0
Not Available,,,,,0,0,1,0,1.0,403927,0
1465951107071647,"  %58 = add nsw i64 %52# %injectError1",2964,2836,7,1,0,0,0,962402116.274,614907,0
1465951107585768,"  %72 = add nsw i64 %52# ",32,160,7,1,0,0,0,4.77346733145e+19,220595,0
1465951107937547,"  %63 = or i64 %52# ",3,131,7,1,0,0,0,2.02814242158e+31,203653,0
Not Available,,,,,0,0,1,0,1.0,724137,0
1465951108703627,"  %72 = add nsw i64 %52# ",32,576460752303423520,59,0,1,0,0,0.0,257245,0
Not Available,,,,,0,0,1,0,1.0,267001,0
Not Available,,,,,0,0,1,0,1.0,487159,0
Not Available,,,,,0,0,1,0,1.0,517251,0
Not Available,,,,,0,0,1,0,1.0,203653,0
Not Available,,,,,0,0,1,0,1.0,979911,0
1465951112257494,"  %55 = add nsw i64 %52# %injectError",4244,-9223372036854771564,63,0,1,0,0,0.0,472561,0
1465951112715301,"  %67 = add nsw i64 %injectError15# %injectError1",6550,-9223372036854769258,63,0,1,0,0,0.0,649999,0
Not Available,,,,,0,0,1,0,1.0,308491,0
Not Available,,,,,0,0,1,0,1.0,614907,0
Not Available,,,,,0,0,1,0,1.0,172415,0
Not Available,,,,,0,0,1,0,1.0,165139,0
1465951115193275,"  %118 = add nsw i64 %injectError28# %injectError",3901,3965,6,0,1,0,0,0.0,229407,0
1465951115514422,"  %63 = or i64 %52# ",51,115,6,1,0,0,0,3.56187780683e+19,532751,0
1465951115939684,"  %72 = add nsw i64 %52# ",6,70,6,1,0,0,0,9.70074898948e+31,845589,0
1465951116315544,"  %64 = add nsw i64 %injectError15# %injectError",5049,-9223372036854770759,63,0,1,0,0,0.0,203653,0
1465951116721217,"  %58 = add nsw i64 %52# %injectError1",13710,-9223372036854762098,63,0,1,0,0,0.0,956603,0
