exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1465750905236360,"  %323 = trunc i64 %313 to i3",91,603,9,1,0,0,0,188138494.221,110632478,0
1465750917459798,"  %332 = add nuw nsw i32 %314# ",50,54,2,1,0,0,0,519253830.472,346977201,0
1465750950475706,"  %187 = add nsw i64 %172# %injectError3",45228,176300,17,1,0,0,0,7.55589101938e+56,471455982,0
Not Available,,,,,0,0,1,0,1.0,127876017,0
1465750987310635,"  %429 = add i64 %injectError85# %injectError8",4062,4294971358,32,0,1,0,0,0.0,363512333,0
Not Available,,,,,0,0,1,0,1.0,114838180,0
1465751015751952,"  %347 = add nsw i64 %313# ",33,8589934625,33,0,1,0,0,0.0,107191699,0
1465751023426841,"  %331 = add nuw nsw i64 %313# ",2,288230376151711746,58,0,1,0,0,0.0,22883869,0
1465751027100116,"  %331 = add nuw nsw i64 %313# ",2,18,4,1,0,0,0,147033339.791,46184564,0
Not Available,,,,,0,0,1,0,1.0,120208681,0
Not Available,,,,,0,0,1,0,1.0,90931636,0
Not Available,,,,,0,0,1,0,1.0,76591747,0
Not Available,,,,,0,0,1,0,1.0,592297361,0
1465751098633754,"  %429 = add i64 %injectError85# %injectError8",3551,3583,5,1,0,0,0,38760038.0684,81216519,0
1465751129459048,"  %451 = add i64 %422# ",180,188,3,1,0,0,0,124945953.813,477623367,0
1465751181509536,"  %323 = trunc i64 %313 to i3",25,537,9,1,0,0,0,688879365.946,78749198,0
Not Available,,,,,0,0,1,0,1.0,47878018,0
1465751201542111,"  %431 = ashr exact i64 %injectError87# 3",1665,1153,9,1,0,0,0,43571412.3898,98110009,0
1465751216156726,"  %424 = add nsw i64 %422# %injectError8",1045,5141,12,1,0,0,0,126585946.904,56898336,0
Not Available,,,,,0,0,1,0,1.0,541585504,0
Not Available,,,,,0,0,1,0,1.0,307119962,0
Not Available,,,,,0,0,1,0,1.0,39113960,0
Not Available,,,,,0,0,1,0,1.0,126812068,0
Not Available,,,,,0,0,1,0,1.0,184532367,0
1465751408180669,"  %317 = add nsw i32 %314# %injectError5",2434,3458,10,1,0,0,0,226194042.842,77243779,0
