exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,3151585,0
Not Available,,,,,0,0,1,0,1.0,4064994,0
Not Available,,,,,0,0,1,0,1.0,2524616,0
Not Available,,,,,0,0,1,0,1.0,7452838,0
1465750952782877,"  %258 = add nsw i64 %injectError35# %injectError1",8173,2305843009213702125,61,0,1,0,0,0.0,4338778,0
Not Available,,,,,0,0,1,0,1.0,3421050,0
1465750956083257,"  %192 = add nsw i64 %190# %injectError2",3344,3856,9,1,0,0,0,1.19267014834e+18,5493844,0
1465750958058528,"  %243 = add nsw i64 %238# %injectError2",22782,2305843009213716734,61,0,1,0,0,0.0,3253444,0
Not Available,,,,,0,0,1,0,1.0,4627018,0
Not Available,,,,,0,0,1,0,1.0,4253740,0
Not Available,,,,,0,0,1,0,1.0,6269410,0
Not Available,,,,,0,0,1,0,1.0,3604115,0
Not Available,,,,,0,0,1,0,1.0,3112702,0
Not Available,,,,,0,0,1,0,1.0,3187522,0
Not Available,,,,,0,0,1,0,1.0,7108330,0
Not Available,,,,,0,0,1,0,1.0,7695370,0
Not Available,,,,,0,0,1,0,1.0,6525802,0
Not Available,,,,,0,0,1,0,1.0,2215434,0
Not Available,,,,,0,0,1,0,1.0,6724186,0
Not Available,,,,,0,0,1,0,1.0,4136730,0
1465750972844199,"  %212 = add i64 %190# ",168,160,3,1,0,0,0,6.41061151599e+17,6723118,0
1465750974921792,"  %192 = add nsw i64 %190# %injectError2",4761,665,12,1,0,0,0,1.20571034093e+18,3436378,0
Not Available,,,,,0,0,1,0,1.0,6350032,0
Not Available,,,,,0,0,1,0,1.0,6790906,0
1465750978878655,"  %192 = add nsw i64 %190# %injectError2",17566,17562,2,1,0,0,0,1.44944001817e+18,5477026,0
1465750980801886,"  %157 = mul i64 %injectError1# %15",10976,35184372099808,45,0,1,0,0,0.0,4062738,0
Not Available,,,,,0,0,1,0,1.0,7419862,0
Not Available,,,,,0,0,1,0,1.0,6247954,0
Not Available,,,,,0,0,1,0,1.0,5196190,0
Not Available,,,,,0,0,1,0,1.0,5330984,0
Not Available,,,,,0,0,1,0,1.0,6512830,0
Not Available,,,,,0,0,1,0,1.0,4279370,0
1465750989627375,"  %201 = add nsw i64 %190# %injectError1",1921,1409,9,1,0,0,0,2.43329500685e+18,2465974,0
Not Available,,,,,0,0,1,0,1.0,6273832,0
Not Available,,,,,0,0,1,0,1.0,9440560,0
Not Available,,,,,0,0,1,0,1.0,4669922,0
Not Available,,,,,0,0,1,0,1.0,6720686,0
Not Available,,,,,0,0,1,0,1.0,5645570,0
Not Available,,,,,0,0,1,0,1.0,6299381,0
1465750999975308,"  %161 = add nsw i64 %155# %injectError2",25052,25036,4,1,0,0,0,1.11191403431e+18,4762951,0
Not Available,,,,,0,0,1,0,1.0,6243652,0
Not Available,,,,,0,0,1,0,1.0,5933409,0
Not Available,,,,,0,0,1,0,1.0,4499818,0
Not Available,,,,,0,0,1,0,1.0,4386434,0
Not Available,,,,,0,0,1,0,1.0,6524710,0
1465751010778434,"  %192 = add nsw i64 %190# %injectError2",27299,25251,11,1,0,0,0,9.65504989277e+17,5277894,0
Not Available,,,,,0,0,1,0,1.0,7701310,0
1465751014514011,"  %251 = or i64 %238# ",165,173,3,1,0,0,0,3.52587182189e+18,4112650,0
Not Available,,,,,0,0,1,0,1.0,5957010,0
Not Available,,,,,0,0,1,0,1.0,4636222,0
Not Available,,,,,0,0,1,0,1.0,6506848,0
Not Available,,,,,0,0,1,0,1.0,3386806,0
Not Available,,,,,0,0,1,0,1.0,4131082,0
Not Available,,,,,0,0,1,0,1.0,3159108,0
Not Available,,,,,0,0,1,0,1.0,4498615,0
Not Available,,,,,0,0,1,0,1.0,6374774,0
Not Available,,,,,0,0,1,0,1.0,7701330,0
1465751034356455,"  %258 = add nsw i64 %injectError35# %injectError1",36893,36957,6,1,0,0,0,4.13722208033e+18,5266315,0
1465751037166474,"  %201 = add nsw i64 %190# %injectError1",8236,8364,7,1,0,0,0,5.78407132116e+18,6388520,0
Not Available,,,,,0,0,1,0,1.0,7046306,0
1465751042722824,"  %201 = add nsw i64 %190# %injectError1",33271,98807,16,1,0,0,0,1.31544794923e+28,5449190,0
1465751045931173,"  %212 = add i64 %190# ",72,64,3,1,0,0,0,3.5172258199e+18,7972293,0
Not Available,,,,,0,0,1,0,1.0,8240786,0
Not Available,,,,,0,0,1,0,1.0,4741178,0
1465751054722303,"  %201 = add nsw i64 %190# %injectError1",22974,22846,7,1,0,0,0,2.09051982369e+18,4706998,0
Not Available,,,,,0,0,1,0,1.0,3198275,0
Not Available,,,,,0,0,1,0,1.0,3489580,0
Not Available,,,,,0,0,1,0,1.0,4198666,0
1465751064610510,"  %192 = add nsw i64 %190# %injectError2",22300,22301,0,1,0,0,0,6.60956564039e+17,5149598,0
Not Available,,,,,0,0,1,0,1.0,2490442,0
Not Available,,,,,0,0,1,0,1.0,3729694,0
1465751072371515,"  %192 = add nsw i64 %190# %injectError2",42816,42944,7,1,0,0,0,3.64521515736e+18,9204490,0
1465751076790740,"  %192 = add nsw i64 %190# %injectError2",14630,15654,10,1,0,0,0,3.09440711911e+17,6218474,0
1465751080222562,"  %192 = add nsw i64 %190# %injectError2",6136,5624,9,1,0,0,0,1.45539160622e+18,5817520,0
1465751083118115,"  %201 = add nsw i64 %190# %injectError1",22804,6420,14,1,0,0,0,3.70906294638e+18,4226380,0
Not Available,,,,,0,0,1,0,1.0,3707362,0
Not Available,,,,,0,0,1,0,1.0,4797742,0
Not Available,,,,,0,0,1,0,1.0,5020174,0
Not Available,,,,,0,0,1,0,1.0,6618960,0
Not Available,,,,,0,0,1,0,1.0,5406514,0
Not Available,,,,,0,0,1,0,1.0,7372970,0
Not Available,,,,,0,0,1,0,1.0,4229622,0
