exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,348613,0
Not Available,,,,,0,0,1,0,1.0,306545,0
Not Available,,,,,0,0,1,0,1.0,139921,0
Not Available,,,,,0,0,1,0,1.0,473365,0
1465750968886027,"  %20 = add nsw i64 %18# %injectError",53240,53208,5,1,0,0,0,1.67304647432e+17,258481,0
1465750972698216,"  %20 = add nsw i64 %18# %injectError",6881,6889,3,1,0,0,0,3.96545055131e+18,418613,0
Not Available,,,,,0,0,1,0,1.0,251341,0
1465750978296027,"  %20 = add nsw i64 %18# %injectError",77966,77962,2,1,0,0,0,4.43460429545e+14,414961,0
Not Available,,,,,0,0,1,0,1.0,165313,0
Not Available,,,,,0,0,1,0,1.0,252761,0
Not Available,,,,,0,0,1,0,1.0,521221,0
Not Available,,,,,0,0,1,0,1.0,283505,0
Not Available,,,,,0,0,1,0,1.0,389845,0
Not Available,,,,,0,0,1,0,1.0,379321,0
Not Available,,,,,0,0,1,0,1.0,463685,0
Not Available,,,,,0,0,1,0,1.0,386321,0
Not Available,,,,,0,0,1,0,1.0,448405,0
Not Available,,,,,0,0,1,0,1.0,271585,0
1465750998907157,"  %20 = add nsw i64 %18# %injectError",129608,96840,15,1,0,0,0,1.12071572879e+18,340313,0
Not Available,,,,,0,0,1,0,1.0,161881,0
Not Available,,,,,0,0,1,0,1.0,183013,0
1465751006561228,"  %34 = add nuw nsw i64 %18# ",220,156,6,1,0,0,0,1.9127820856e+20,244301,0
Not Available,,,,,0,0,1,0,1.0,351961,0
Not Available,,,,,0,0,1,0,1.0,388081,0
1465751014446441,"  %34 = add nuw nsw i64 %18# ",293,301,3,1,0,0,0,2.02077437482e+19,215825,0
Not Available,,,,,0,0,1,0,1.0,333745,0
Not Available,,,,,0,0,1,0,1.0,442741,0
Not Available,,,,,0,0,1,0,1.0,244301,0
Not Available,,,,,0,0,1,0,1.0,477265,0
1465751026591154,"  %20 = add nsw i64 %18# %injectError",21128,152200,17,1,0,0,0,3.49331244915e+196,202885,0
Not Available,,,,,0,0,1,0,1.0,355325,0
Not Available,,,,,0,0,1,0,1.0,139921,0
Not Available,,,,,0,0,1,0,1.0,297221,0
1465751036751792,"  %20 = add nsw i64 %18# %injectError",20248,20312,6,1,0,0,0,4.2559068949e+18,175825,0
Not Available,,,,,0,0,1,0,1.0,370661,0
Not Available,,,,,0,0,1,0,1.0,485113,0
Not Available,,,,,0,0,1,0,1.0,519181,0
Not Available,,,,,0,0,1,0,1.0,341965,0
1465751053410281,"  %34 = add nuw nsw i64 %18# ",290,418,7,1,0,0,0,3.76239488758e+20,495013,0
Not Available,,,,,0,0,1,0,1.0,229165,0
Not Available,,,,,0,0,1,0,1.0,218461,0
1465751065993761,"  %20 = add nsw i64 %18# %injectError",135892,135924,5,1,0,0,0,4.07735379542e+17,493025,0
Not Available,,,,,0,0,1,0,1.0,206725,0
1465751077040227,"  %20 = add nsw i64 %18# %injectError",150551,150535,4,1,0,0,0,1.67896380772e+17,382813,0
Not Available,,,,,0,0,1,0,1.0,501001,0
Not Available,,,,,0,0,1,0,1.0,277513,0
Not Available,,,,,0,0,1,0,1.0,481181,0
Not Available,,,,,0,0,1,0,1.0,442741,0
Not Available,,,,,0,0,1,0,1.0,255613,0
Not Available,,,,,0,0,1,0,1.0,311261,0
Not Available,,,,,0,0,1,0,1.0,360401,0
Not Available,,,,,0,0,1,0,1.0,370661,0
Not Available,,,,,0,0,1,0,1.0,515113,0
1465751111906090,"  %34 = add nuw nsw i64 %18# ",242,246,2,1,0,0,0,1.55533798975e+19,174641,0
Not Available,,,,,0,0,1,0,1.0,503005,0
Not Available,,,,,0,0,1,0,1.0,137813,0
Not Available,,,,,0,0,1,0,1.0,221113,0
1465751125365819,"  %34 = add nuw nsw i64 %18# ",294,2305843009213694246,61,0,1,0,0,0.0,267181,0
Not Available,,,,,0,0,1,0,1.0,172285,0
