exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1465750930319088,"  %113 = sext i32 %injectError51 to i6",21656,21720,6,1,0,0,0,63.9608399868,680659216,0
1465750972126846,"  %110 = add <2 x i32> %insert38# <i32 0# i32 1",68,76,3,0,1,0,0,0.0,622824784,0
Not Available,,,,,0,0,1,0,1.0,683048876,0
1465751064037992,"  %263 = add nsw i32 %injectError124# %injectError10",37347,37346,0,1,0,0,0,44.8702940941,778040656,0
1465751129655082,"  %108 = insertelement <2 x i32> undef# i32 %injectError26# i32 ",1,9,3,0,1,0,0,0.0,105109832,0
Not Available,,,,,0,0,1,0,1.0,43344712,0
Not Available,,,,,0,0,1,0,1.0,29624416,0
1465751155068564,"  %126 = sext i32 %injectError57 to i6",3335,2305843009213697287,61,0,1,0,0,0.0,111868176,0
1465751181204289,"  %111 = add nsw <2 x i32> %insert44# %insert2",12117,11605,9,0,1,0,0,0.0,378822496,0
1465751262565122,"  %132 = sext i32 %injectError59 to i6",37761,37760,0,1,0,0,0,176.83783412,861361144,0
1465751429743858,"  %110 = add <2 x i32> %insert38# <i32 0# i32 1",144,32912,15,0,1,0,0,0.0,1027305792,0
Not Available,,,,,0,0,1,0,1.0,45865880,0
1465751595798834,"  %242 = add <2 x i32> %insert136# <i32 0# i32 1",118,-2147483530,31,0,1,0,0,0.0,448018808,0
Not Available,,,,,0,0,1,0,1.0,484205296,0
1465751703652656,"  %241 = shufflevector <2 x i32> %insert130# <2 x i32> undef# <2 x i32> zeroinitialize",73,201,7,0,1,0,0,0.0,175227640,0
1465751729899124,"  %110 = add <2 x i32> %insert38# <i32 0# i32 1",6,1048582,20,0,1,0,0,0.0,36209568,0
Not Available,,,,,0,0,1,0,1.0,339683536,0
1465751757784626,"  %239 = or i32 %237# ",11,1035,10,1,0,0,0,22.1619039774,27342916,0
Not Available,,,,,0,0,1,0,1.0,238558528,0
Not Available,,,,,0,0,1,0,1.0,117078352,0
1465751860529931,"  %242 = add <2 x i32> %insert136# <i32 0# i32 1",180,188,3,0,1,0,0,0.0,697756760,0
Not Available,,,,,0,0,1,0,1.0,642561136,0
1465752076978614,"  %240 = insertelement <2 x i32> undef# i32 %injectError124# i32 ",1,65,6,0,1,0,0,0.0,425623032,0
Not Available,,,,,0,0,1,0,1.0,318015376,0
Not Available,,,,,0,0,1,0,1.0,435288636,0
Not Available,,,,,0,0,1,0,1.0,323152648,0
Not Available,,,,,0,0,1,0,1.0,794922848,0
1465752433657378,"  %243 = add nsw <2 x i32> %insert142# %insert12",1737,33556169,25,0,1,0,0,0.0,764634040,0
Not Available,,,,,0,0,1,0,1.0,135175212,0
1465752554912792,"  %109 = shufflevector <2 x i32> %insert32# <2 x i32> undef# <2 x i32> zeroinitialize",57,262201,18,0,1,0,0,0.0,119289696,0
Not Available,,,,,0,0,1,0,1.0,47385980,0
1465752623090593,"  %241 = shufflevector <2 x i32> %insert130# <2 x i32> undef# <2 x i32> zeroinitialize",55,65591,16,0,1,0,0,0.0,785621456,0
1465752743352932,"  %110 = add <2 x i32> %insert38# <i32 0# i32 1",88,90,1,0,1,0,0,0.0,343729728,0
Not Available,,,,,0,0,1,0,1.0,328509968,0
Not Available,,,,,0,0,1,0,1.0,743061516,0
1465752935135083,"  %138 = sext i32 %injectError61 to i6",51624,35240,14,1,0,0,0,373.815302014,1109920576,0
1465753123971009,"  %258 = sext i32 %injectError155 to i6",35872,35874,1,1,0,0,0,6761.86579299,754527120,0
1465753248865840,"  %124 = extractelement <2 x i32> %insert50# i32 ",31997,64765,15,1,0,0,0,199100.416575,516297336,0
1465753367419596,"  %108 = insertelement <2 x i32> undef# i32 %injectError26# i32 ",1,134217729,27,0,1,0,0,0.0,740081468,0
Not Available,,,,,0,0,1,0,1.0,285239716,0
Not Available,,,,,0,0,1,0,1.0,23162316,0
Not Available,,,,,0,0,1,0,1.0,1129896416,0
1465753621794505,"  %109 = shufflevector <2 x i32> %insert32# <2 x i32> undef# <2 x i32> zeroinitialize",59,65595,16,0,1,0,0,0.0,98925856,0
1465753698871529,"  %243 = add nsw <2 x i32> %insert142# %insert12",5196,268440652,28,0,1,0,0,0.0,947957576,0
1465753852849947,"  %132 = sext i32 %injectError59 to i6",10401,43169,15,1,0,0,0,4423.32267308,546406576,0
Not Available,,,,,0,0,1,0,1.0,74642336,0
1465753961649379,"  %107 = or i32 %105# ",43,299,8,1,0,0,0,9.44782495499,398146576,0
1465754018991126,"  %110 = add <2 x i32> %insert38# <i32 0# i32 1",10,1048586,20,0,1,0,0,0.0,96395376,0
1465754038128373,"  %109 = shufflevector <2 x i32> %insert32# <2 x i32> undef# <2 x i32> zeroinitialize",71,2097223,21,0,1,0,0,0.0,129352168,0
Not Available,,,,,0,0,1,0,1.0,509266516,0
Not Available,,,,,0,0,1,0,1.0,906571204,0
Not Available,,,,,0,0,1,0,1.0,140669012,0
Not Available,,,,,0,0,1,0,1.0,940005480,0
1465754384415114,"  %107 = or i32 %105# ",161,32929,15,1,0,0,0,92.2038708925,570256516,0
Not Available,,,,,0,0,1,0,1.0,245531220,0
Not Available,,,,,0,0,1,0,1.0,59508312,0
Not Available,,,,,0,0,1,0,1.0,427858216,0
1465754521504220,"  %108 = insertelement <2 x i32> undef# i32 %injectError26# i32 ",1,5,2,0,1,0,0,0.0,26087812,0
1465754527414561,"  %110 = add <2 x i32> %insert38# <i32 0# i32 1",16,134217744,27,0,1,0,0,0.0,29423304,0
1465754587787058,"  %240 = insertelement <2 x i32> undef# i32 %injectError124# i32 ",47,15,5,1,0,0,0,8974.16853309,1041511576,0
1465754723513583,"  %110 = add <2 x i32> %insert38# <i32 0# i32 1",18,131090,17,0,1,0,0,0.0,26779436,0
1465754774162767,"  %239 = or i32 %237# ",117,116,0,1,0,0,0,0.554728984833,750557912,0
1465754882748940,"  %125 = add nsw i32 %injectError56# ",2398,2142,8,1,0,0,0,6977.36078107,226844536,0
1465754962914630,"  %137 = add nsw i32 %injectError26# %injectError1",36437,36421,4,1,0,0,0,1628.53526688,954450436,0
Not Available,,,,,0,0,1,0,1.0,580527792,0
Not Available,,,,,0,0,1,0,1.0,81889288,0
Not Available,,,,,0,0,1,0,1.0,843660952,0
Not Available,,,,,0,0,1,0,1.0,186375632,0
Not Available,,,,,0,0,1,0,1.0,888386936,0
1465755497709394,"  %108 = insertelement <2 x i32> undef# i32 %injectError26# i32 ",207,239,5,1,0,0,0,10.4130260944,720710800,0
Not Available,,,,,0,0,1,0,1.0,18779920,0
Not Available,,,,,0,0,1,0,1.0,41039560,0
1465755601008420,"  %138 = sext i32 %injectError61 to i6",3017,4611686018427390921,62,0,1,0,0,0.0,47719996,0
