exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,1848112,0
1465951456490102,"  %40 = or i64 %28# ",23,21,1,1,0,0,0,1.6131779744e+17,804355,0
Not Available,,,,,0,0,1,0,1.0,2162822,0
Not Available,,,,,0,0,1,0,1.0,1394102,0
1465951458493596,"  %31 = add nsw i64 %28# %injectError",1059,1058,0,1,0,0,0,8.13603277508e+16,721682,0
Not Available,,,,,0,0,1,0,1.0,2108067,0
Not Available,,,,,0,0,1,0,1.0,447510,0
Not Available,,,,,0,0,1,0,1.0,748577,0
Not Available,,,,,0,0,1,0,1.0,2108067,0
Not Available,,,,,0,0,1,0,1.0,1610457,0
Not Available,,,,,0,0,1,0,1.0,529322,0
Not Available,,,,,0,0,1,0,1.0,1435717,0
Not Available,,,,,0,0,1,0,1.0,447510,0
Not Available,,,,,0,0,1,0,1.0,1478152,0
Not Available,,,,,0,0,1,0,1.0,2162822,0
Not Available,,,,,0,0,1,0,1.0,409972,0
Not Available,,,,,0,0,1,0,1.0,1565514,0
Not Available,,,,,0,0,1,0,1.0,1313300,0
Not Available,,,,,0,0,1,0,1.0,1313300,0
Not Available,,,,,0,0,1,0,1.0,620542,0
1465951470127964,"  %102 = add nsw i64 %injectError20# %injectError",13117,13085,5,1,0,0,0,1.92736122473e+17,2054244,0
1465951470789795,"  %31 = add nsw i64 %28# %injectError",3240,3208,5,1,0,0,0,4.48625968679e+17,428467,0
1465951471242059,"  %95 = mul nsw i64 %89# %injectErro",1430,-9223372036854774378,63,0,1,0,0,0.0,374594,0
1465951471755394,"  %106 = add nsw i64 %injectError22# %7",3717,-9223372036854772091,63,0,1,0,0,0.0,955770,0
1465951472341056,"  %50 = add nsw i64 %28# ",14,12,1,1,0,0,0,3.69604243207e+19,573724,0
1465951472788269,"  %111 = add nsw i64 %89# ",18,16,1,1,0,0,0,2.11685048467e+16,1274097,0
Not Available,,,,,0,0,1,0,1.0,2763392,0
Not Available,,,,,0,0,1,0,1.0,2054244,0
Not Available,,,,,0,0,1,0,1.0,2275160,0
Not Available,,,,,0,0,1,0,1.0,409972,0
Not Available,,,,,0,0,1,0,1.0,2763392,0
1465951477457368,"  %31 = add nsw i64 %28# %injectError",4862,4860,1,1,0,0,0,2.0553883318e+17,644877,0
Not Available,,,,,0,0,1,0,1.0,1235682,0
Not Available,,,,,0,0,1,0,1.0,1394102,0
Not Available,,,,,0,0,1,0,1.0,2054244,0
Not Available,,,,,0,0,1,0,1.0,1089742,0
Not Available,,,,,0,0,1,0,1.0,467109,0
Not Available,,,,,0,0,1,0,1.0,428467,0
Not Available,,,,,0,0,1,0,1.0,1089742,0
Not Available,,,,,0,0,1,0,1.0,2391322,0
Not Available,,,,,0,0,1,0,1.0,1478152,0
Not Available,,,,,0,0,1,0,1.0,529322,0
1465951485616176,"  %96 = add nsw i64 %injectError18# %7",32,8224,13,1,0,0,0,3.81952494307e+19,893112,0
Not Available,,,,,0,0,1,0,1.0,2572875,0
Not Available,,,,,0,0,1,0,1.0,357695,0
Not Available,,,,,0,0,1,0,1.0,1798829,0
1465951488430702,"  %41 = add nsw i64 %injectError7# %injectError",7449,7481,5,1,0,0,0,7.33500090669e+34,1750430,0
Not Available,,,,,0,0,1,0,1.0,2391322,0
Not Available,,,,,0,0,1,0,1.0,1274097,0
Not Available,,,,,0,0,1,0,1.0,551225,0
Not Available,,,,,0,0,1,0,1.0,2332759,0
1465951492310970,"  %102 = add nsw i64 %injectError20# %injectError",12495,4303,13,1,0,0,0,4.68118057077e+35,1898287,0
1465951492971402,"  %44 = mul nsw i64 %injectError7# %injectErro",3069,11261,13,1,0,0,0,5.19010900792e+18,1313300,0
Not Available,,,,,0,0,1,0,1.0,1089742,0
Not Available,,,,,0,0,1,0,1.0,508007,0
Not Available,,,,,0,0,1,0,1.0,776132,0
Not Available,,,,,0,0,1,0,1.0,1521415,0
1465951496357798,"  %31 = add nsw i64 %28# %injectError",3056,1008,11,1,0,0,0,5.26143420858e+35,447510,0
