exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,2088520,0
Not Available,,,,,0,0,1,0,1.0,1389174,0
Not Available,,,,,0,0,1,0,1.0,5011008,0
1465750999485976,"  %25 = add nsw i64 %22# %injectError",298042,298026,4,1,0,0,0,1.56816481431e+17,2799766,0
Not Available,,,,,0,0,1,0,1.0,4832430,0
Not Available,,,,,0,0,1,0,1.0,4168760,0
Not Available,,,,,0,0,1,0,1.0,4466072,0
Not Available,,,,,0,0,1,0,1.0,1326642,0
Not Available,,,,,0,0,1,0,1.0,4234762,0
1465751026406367,"  %88 = mul nsw i64 %injectError11# %injectError",395444,264372,17,1,0,0,0,2.41613129708e+18,3299158,0
Not Available,,,,,0,0,1,0,1.0,2055048,0
Not Available,,,,,0,0,1,0,1.0,4088794,0
Not Available,,,,,0,0,1,0,1.0,2835800,0
Not Available,,,,,0,0,1,0,1.0,2438116,0
1465751049806242,"  %80 = add nsw i64 %injectError9# %7",512003,512011,3,1,0,0,0,1.23287600169e+17,2769914,0
1465751063075456,"  %89 = add nsw i64 %injectError12# %7",451908,453956,11,1,0,0,0,4.10602478989e+16,5103532,0
1465751079781956,"  %89 = add nsw i64 %injectError12# %7",759018,757994,10,1,0,0,0,2.07142581631e+18,5103532,0
Not Available,,,,,0,0,1,0,1.0,1529600,0
Not Available,,,,,0,0,1,0,1.0,4402036,0
Not Available,,,,,0,0,1,0,1.0,2466128,0
Not Available,,,,,0,0,1,0,1.0,2997704,0
Not Available,,,,,0,0,1,0,1.0,3615052,0
Not Available,,,,,0,0,1,0,1.0,1723434,0
Not Available,,,,,0,0,1,0,1.0,5131860,0
Not Available,,,,,0,0,1,0,1.0,5083346,0
Not Available,,,,,0,0,1,0,1.0,1614826,0
1465751136910885,"  %88 = mul nsw i64 %injectError11# %injectError",151178,155274,12,1,0,0,0,1.32671904831e+18,1448836,0
Not Available,,,,,0,0,1,0,1.0,4983016,0
Not Available,,,,,0,0,1,0,1.0,3513736,0
1465751158204595,"  %96 = add nsw i64 %76# ",512,4611686018427388416,62,0,1,0,0,0.0,2951426,0
Not Available,,,,,0,0,1,0,1.0,1842854,0
Not Available,,,,,0,0,1,0,1.0,4824568,0
Not Available,,,,,0,0,1,0,1.0,2185268,0
1465751185150388,"  %25 = add nsw i64 %22# %injectError",29670,62438,15,1,0,0,0,2.41232746014e+18,1536244,0
Not Available,,,,,0,0,1,0,1.0,2080772,0
Not Available,,,,,0,0,1,0,1.0,2814752,0
1465751204066243,"  %88 = mul nsw i64 %injectError11# %injectError",325616,325552,6,1,0,0,0,3.77223250143e+17,2829778,0
1465751218728495,"  %25 = add nsw i64 %22# %injectError",46722,112258,16,1,0,0,0,6.3374345495e+17,2179982,0
Not Available,,,,,0,0,1,0,1.0,2119658,0
1465751238863237,"  %89 = add nsw i64 %injectError12# %7",112052,112116,6,1,0,0,0,7.92470690345e+17,4402036,0
Not Available,,,,,0,0,1,0,1.0,2438116,0
Not Available,,,,,0,0,1,0,1.0,2997704,0
Not Available,,,,,0,0,1,0,1.0,1806608,0
Not Available,,,,,0,0,1,0,1.0,2608588,0
Not Available,,,,,0,0,1,0,1.0,3707468,0
Not Available,,,,,0,0,1,0,1.0,1529600,0
Not Available,,,,,0,0,1,0,1.0,2805756,0
Not Available,,,,,0,0,1,0,1.0,1514152,0
Not Available,,,,,0,0,1,0,1.0,2424170,0
Not Available,,,,,0,0,1,0,1.0,2844844,0
Not Available,,,,,0,0,1,0,1.0,1536244,0
Not Available,,,,,0,0,1,0,1.0,2614370,0
Not Available,,,,,0,0,1,0,1.0,4630108,0
Not Available,,,,,0,0,1,0,1.0,1707034,0
Not Available,,,,,0,0,1,0,1.0,3537248,0
1465751351958241,"  %87 = or i64 %76# ",371,369,1,1,0,0,0,1.0729494034e+18,1406092,0
Not Available,,,,,0,0,1,0,1.0,2890282,0
1465751372102550,"  %80 = add nsw i64 %injectError9# %7",132394,132522,7,1,0,0,0,1.15365950051e+18,3881688,0
Not Available,,,,,0,0,1,0,1.0,3371028,0
Not Available,,,,,0,0,1,0,1.0,3822004,0
Not Available,,,,,0,0,1,0,1.0,4484994,0
1465751417629419,"  %89 = add nsw i64 %injectError12# %7",172880,172864,4,1,0,0,0,1.91041885739e+15,1580908,0
Not Available,,,,,0,0,1,0,1.0,4353380,0
1465751439365873,"  %32 = or i64 %22# ",135,4231,12,1,0,0,0,1.42569814379e+18,2820758,0
Not Available,,,,,0,0,1,0,1.0,1916426,0
Not Available,,,,,0,0,1,0,1.0,2193208,0
Not Available,,,,,0,0,1,0,1.0,4345918,0
Not Available,,,,,0,0,1,0,1.0,2890282,0
Not Available,,,,,0,0,1,0,1.0,1707034,0
Not Available,,,,,0,0,1,0,1.0,1806608,0
Not Available,,,,,0,0,1,0,1.0,4883686,0
Not Available,,,,,0,0,1,0,1.0,2106656,0
1465751510212741,"  %33 = add nsw i64 %injectError3# %injectError",590135,590143,3,1,0,0,0,5.96380041671e+17,4327292,0
Not Available,,,,,0,0,1,0,1.0,3170470,0
Not Available,,,,,0,0,1,0,1.0,2508446,0
Not Available,,,,,0,0,1,0,1.0,2988420,0
Not Available,,,,,0,0,1,0,1.0,2238476,0
Not Available,,,,,0,0,1,0,1.0,3520446,0
Not Available,,,,,0,0,1,0,1.0,2443706,0
Not Available,,,,,0,0,1,0,1.0,4657092,0
1465751583578874,"  %88 = mul nsw i64 %injectError11# %injectError",329715,329713,1,1,0,0,0,1.7758608321e+18,2926892,0
Not Available,,,,,0,0,1,0,1.0,2185268,0
1465751607273997,"  %80 = add nsw i64 %injectError9# %7",98824,98952,7,1,0,0,0,1.43743899798e+16,2687180,0
Not Available,,,,,0,0,1,0,1.0,3554090,0
Not Available,,,,,0,0,1,0,1.0,1485672,0
Not Available,,,,,0,0,1,0,1.0,2042246,0
Not Available,,,,,0,0,1,0,1.0,3927640,0
Not Available,,,,,0,0,1,0,1.0,3927640,0
Not Available,,,,,0,0,1,0,1.0,2556842,0
Not Available,,,,,0,0,1,0,1.0,4618568,0
Not Available,,,,,0,0,1,0,1.0,3892268,0
1465751682631470,"  %80 = add nsw i64 %injectError9# %7",312070,312102,5,1,0,0,0,4.77647188465e+17,1855016,0
Not Available,,,,,0,0,1,0,1.0,4290160,0
Not Available,,,,,0,0,1,0,1.0,4923298,0
Not Available,,,,,0,0,1,0,1.0,1438090,0
Not Available,,,,,0,0,1,0,1.0,3028756,0
Not Available,,,,,0,0,1,0,1.0,2179982,0
Not Available,,,,,0,0,1,0,1.0,1794606,0
Not Available,,,,,0,0,1,0,1.0,4390784,0
1465751751103295,"  %87 = or i64 %76# ",695,679,4,1,0,0,0,1.72425881239e+17,4852112,0
Not Available,,,,,0,0,1,0,1.0,3787112,0
1465751784299451,"  %25 = add nsw i64 %22# %injectError",199760,207952,13,1,0,0,0,1.15160813177e+18,1707034,0
Not Available,,,,,0,0,1,0,1.0,4077950,0
Not Available,,,,,0,0,1,0,1.0,4832430,0
Not Available,,,,,0,0,1,0,1.0,2508446,0
Not Available,,,,,0,0,1,0,1.0,1653702,0
Not Available,,,,,0,0,1,0,1.0,2198510,0
1465751832064137,"  %33 = add nsw i64 %injectError3# %injectError",410289,409777,9,1,0,0,0,1.41788352259e+18,3397354,0
1465751854903472,"  %25 = add nsw i64 %22# %injectError",162038,4611686018427549942,62,0,1,0,0,0.0,3892268,0
Not Available,,,,,0,0,1,0,1.0,3666250,0
Not Available,,,,,0,0,1,0,1.0,4088794,0
Not Available,,,,,0,0,1,0,1.0,1569682,0
Not Available,,,,,0,0,1,0,1.0,4676414,0
Not Available,,,,,0,0,1,0,1.0,1347326,0
1465751911557023,"  %33 = add nsw i64 %injectError3# %injectError",68445,68447,1,1,0,0,0,5.74978659986e+16,2319488,0
Not Available,,,,,0,0,1,0,1.0,1948754,0
Not Available,,,,,0,0,1,0,1.0,2599928,0
Not Available,,,,,0,0,1,0,1.0,2185268,0
Not Available,,,,,0,0,1,0,1.0,5071254,0
Not Available,,,,,0,0,1,0,1.0,1672156,0
1465751962446368,"  %25 = add nsw i64 %22# %injectError",54862,2305843009213748814,61,0,1,0,0,0.0,4383290,0
Not Available,,,,,0,0,1,0,1.0,4150518,0
Not Available,,,,,0,0,1,0,1.0,2360534,0
Not Available,,,,,0,0,1,0,1.0,2579776,0
1465752005210748,"  %33 = add nsw i64 %injectError3# %injectError",227291,2305843009213921243,61,0,1,0,0,0.0,1427384,0
Not Available,,,,,0,0,1,0,1.0,2820758,0
Not Available,,,,,0,0,1,0,1.0,1867218,0
Not Available,,,,,0,0,1,0,1.0,4334738,0
Not Available,,,,,0,0,1,0,1.0,2424170,0
1465752041940676,"  %89 = add nsw i64 %injectError12# %7",227112,227240,7,1,0,0,0,1.1858389238e+18,1585410,0
Not Available,,,,,0,0,1,0,1.0,1463948,0
Not Available,,,,,0,0,1,0,1.0,3059968,0
Not Available,,,,,0,0,1,0,1.0,1742272,0
Not Available,,,,,0,0,1,0,1.0,4327292,0
Not Available,,,,,0,0,1,0,1.0,2062748,0
Not Available,,,,,0,0,1,0,1.0,4132316,0
Not Available,,,,,0,0,1,0,1.0,4591696,0
Not Available,,,,,0,0,1,0,1.0,1683742,0
Not Available,,,,,0,0,1,0,1.0,4114154,0
Not Available,,,,,0,0,1,0,1.0,3028756,0
Not Available,,,,,0,0,1,0,1.0,3934734,0
Not Available,,,,,0,0,1,0,1.0,1660610,0
Not Available,,,,,0,0,1,0,1.0,2746148,0
1465752144460358,"  %87 = or i64 %76# ",307,315,3,1,0,0,0,1.08139182816e+18,4088794,0
Not Available,,,,,0,0,1,0,1.0,4971044,0
1465752180726099,"  %33 = add nsw i64 %injectError3# %injectError",943337,4611686018428331241,62,0,1,0,0,0.0,4951122,0
Not Available,,,,,0,0,1,0,1.0,2499954,0
Not Available,,,,,0,0,1,0,1.0,3160922,0
1465752220759932,"  %89 = add nsw i64 %injectError12# %7",2704,133776,17,1,0,0,0,7.63432971472e+17,2820758,0
1465752241902597,"  %33 = add nsw i64 %injectError3# %injectError",509559,511607,11,1,0,0,0,2.72432567612e+17,4746304,0
1465752268364663,"  %33 = add nsw i64 %injectError3# %injectError",212347,228731,14,1,0,0,0,6.81386810763e+17,2942214,0
Not Available,,,,,0,0,1,0,1.0,2814752,0
Not Available,,,,,0,0,1,0,1.0,4923298,0
1465752303660036,"  %96 = add nsw i64 %76# ",620,4611686018427388524,62,0,1,0,0,0.0,2725436,0
Not Available,,,,,0,0,1,0,1.0,2004080,0
1465752328224312,"  %88 = mul nsw i64 %injectError11# %injectError",53277,315421,18,1,0,0,0,6.33031032057e+17,4077950,0
Not Available,,,,,0,0,1,0,1.0,2746148,0
Not Available,,,,,0,0,1,0,1.0,1999018,0
Not Available,,,,,0,0,1,0,1.0,3240932,0
Not Available,,,,,0,0,1,0,1.0,3240932,0
Not Available,,,,,0,0,1,0,1.0,2672538,0
Not Available,,,,,0,0,1,0,1.0,3305660,0
Not Available,,,,,0,0,1,0,1.0,4883686,0
1465752406246264,"  %25 = add nsw i64 %22# %injectError",627734,103446,19,1,0,0,0,5.96470029251e+17,4216376,0
1465752432570896,"  %89 = add nsw i64 %injectError12# %7",119794,119778,4,1,0,0,0,1.17832558799e+17,4143232,0
Not Available,,,,,0,0,1,0,1.0,4125046,0
Not Available,,,,,0,0,1,0,1.0,4260570,0
Not Available,,,,,0,0,1,0,1.0,2278802,0
1465752479236403,"  %33 = add nsw i64 %injectError3# %injectError",446749,446493,8,1,0,0,0,3.04800448538e+15,2551124,0
Not Available,,,,,0,0,1,0,1.0,1608014,0
1465752498863833,"  %80 = add nsw i64 %injectError9# %7",105013,-9223372036854670795,63,0,1,0,0,0.0,1395506,0
1465752513075567,"  %33 = add nsw i64 %injectError3# %injectError",712171,712187,4,1,0,0,0,1.28694619298e+18,4591696,0
Not Available,,,,,0,0,1,0,1.0,3273216,0
Not Available,,,,,0,0,1,0,1.0,3122872,0
Not Available,,,,,0,0,1,0,1.0,2485832,0
Not Available,,,,,0,0,1,0,1.0,1459622,0
Not Available,,,,,0,0,1,0,1.0,1540682,0
Not Available,,,,,0,0,1,0,1.0,3655982,0
Not Available,,,,,0,0,1,0,1.0,4290160,0
1465752586732891,"  %89 = add nsw i64 %injectError12# %7",93600,93601,0,1,0,0,0,9.73396630247e+17,4447190,0
Not Available,,,,,0,0,1,0,1.0,4844234,0
Not Available,,,,,0,0,1,0,1.0,3632078,0
1465752630458147,"  %80 = add nsw i64 %injectError9# %7",259000,261048,11,1,0,0,0,1.98805830176e+17,2158904,0
1465752646622741,"  %79 = mul nsw i64 %76# %injectError",145728,145856,7,1,0,0,0,2.15219800492e+17,3430406,0
Not Available,,,,,0,0,1,0,1.0,4308706,0
Not Available,,,,,0,0,1,0,1.0,4883686,0
Not Available,,,,,0,0,1,0,1.0,2988420,0
1465752692000841,"  %88 = mul nsw i64 %injectError11# %injectError",342307,334115,13,1,0,0,0,1.89789001738e+18,1916426,0
Not Available,,,,,0,0,1,0,1.0,2265320,0
1465752711478133,"  %79 = mul nsw i64 %76# %injectError",480760,488952,13,1,0,0,0,3.35833525079e+16,2499954,0
1465752730209108,"  %25 = add nsw i64 %22# %injectError",323952,848240,19,1,0,0,0,2.24392017537e+18,4572550,0
1465752754178489,"  %79 = mul nsw i64 %76# %injectError",266680,274872,13,1,0,0,0,7.42726403163e+17,1742272,0
Not Available,,,,,0,0,1,0,1.0,4649374,0
Not Available,,,,,0,0,1,0,1.0,3044342,0
Not Available,,,,,0,0,1,0,1.0,3331730,0
1465752792396068,"  %87 = or i64 %76# ",187,185,1,1,0,0,0,1.94021873238e+18,3717808,0
Not Available,,,,,0,0,1,0,1.0,1592174,0
Not Available,,,,,0,0,1,0,1.0,1850146,0
1465752823108712,"  %88 = mul nsw i64 %injectError11# %injectError",249924,4611686018427637828,62,0,1,0,0,0.0,2508446,0
1465752839935347,"  %40 = add nsw i64 %22# ",722,-9223372036854775086,63,0,1,0,0,0.0,3019424,0
Not Available,,,,,0,0,1,0,1.0,3430406,0
1465752867880593,"  %87 = or i64 %76# ",365,364,0,1,0,0,0,1.5800585862e+18,3019424,0
1465752887704383,"  %89 = add nsw i64 %injectError12# %7",637444,-9223372036854138364,63,0,1,0,0,0.0,3240932,0
1465752908426508,"  %88 = mul nsw i64 %injectError11# %injectError",36895,38943,11,1,0,0,0,2.07486450872e+17,3081912,0
1465752931850532,"  %40 = add nsw i64 %22# ",42,8234,13,1,0,0,0,1.12964055076e+21,5091416,0
Not Available,,,,,0,0,1,0,1.0,2127478,0
Not Available,,,,,0,0,1,0,1.0,2725436,0
Not Available,,,,,0,0,1,0,1.0,4308706,0
Not Available,,,,,0,0,1,0,1.0,3289418,0
1465752992931696,"  %40 = add nsw i64 %22# ",380,124,8,1,0,0,0,1.04143563332e+18,5152142,0
Not Available,,,,,0,0,1,0,1.0,2219780,0
1465753024938825,"  %25 = add nsw i64 %22# %injectError",261114,228346,15,1,0,0,0,8.16499412039e+17,1850146,0
Not Available,,,,,0,0,1,0,1.0,4041906,0
Not Available,,,,,0,0,1,0,1.0,2637560,0
Not Available,,,,,0,0,1,0,1.0,4041906,0
1465753064726362,"  %79 = mul nsw i64 %76# %injectError",560802,560674,7,1,0,0,0,1.00479035347e+18,4580204,0
Not Available,,,,,0,0,1,0,1.0,4637810,0
1465753102781518,"  %79 = mul nsw i64 %76# %injectError",1872,2000,7,1,0,0,0,3.4489162581e+17,4383290,0
Not Available,,,,,0,0,1,0,1.0,2206474,0
Not Available,,,,,0,0,1,0,1.0,4657092,0
1465753145944553,"  %40 = add nsw i64 %22# ",396,1420,10,0,1,0,0,0.0,4561082,0
Not Available,,,,,0,0,1,0,1.0,4871834,0
Not Available,,,,,0,0,1,0,1.0,4863940,0
Not Available,,,,,0,0,1,0,1.0,4503956,0
Not Available,,,,,0,0,1,0,1.0,1410338,0
1465753205703093,"  %25 = add nsw i64 %22# %injectError",207678,205630,11,1,0,0,0,1.21587253683e+18,2666692,0
1465753220814188,"  %33 = add nsw i64 %injectError3# %injectError",118377,4611686018427506281,62,0,1,0,0,0.0,1395506,0
Not Available,,,,,0,0,1,0,1.0,2951426,0
Not Available,,,,,0,0,1,0,1.0,1420980,0
1465753245784972,"  %96 = add nsw i64 %76# ",682,683,0,1,0,0,0,3.30850456314e+19,4402036,0
1465753270183471,"  %25 = add nsw i64 %22# %injectError",288804,321572,15,1,0,0,0,1.40240587936e+18,2011684,0
Not Available,,,,,0,0,1,0,1.0,2957576,0
Not Available,,,,,0,0,1,0,1.0,3673104,0
Not Available,,,,,0,0,1,0,1.0,2701862,0
1465753304605623,"  %32 = or i64 %22# ",335,1359,10,1,0,0,0,5.38790512422e+17,2443706,0
Not Available,,,,,0,0,1,0,1.0,2608588,0
Not Available,,,,,0,0,1,0,1.0,4515352,0
