exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,24489144,0
Not Available,,,,,0,0,1,0,1.0,28564270,0
1465949585882642,"  %246 = sext i32 %injectError200 to i6",284,1308,10,1,0,0,0,20846.60247,10022270,0
1465949587206016,"  %260 = sext i32 %injectError205 to i6",1171,-9223372036854774637,63,0,1,0,0,0.0,35662328,0
1465949589413687,"  %254 = add nsw i32 %218# %injectError3",360,328,5,1,0,0,0,3168.97066998,33924914,0
Not Available,,,,,0,0,1,0,1.0,22059428,0
Not Available,,,,,0,0,1,0,1.0,11870270,0
1465949593553562,"  %57 = shl i64 %injectError5# 3",11716670783488,11716670783490,1,0,1,0,0,0.0,35791520,0
Not Available,,,,,0,0,1,0,1.0,39391844,0
1465949597043950,"  %245 = add nsw i32 %injectError194# %injectError3",1922,18306,14,1,0,0,0,11852.5761101,19940644,0
1465949598249407,"  %260 = sext i32 %injectError205 to i6",1148,-9223372036854774660,63,0,1,0,0,0.0,13471313,0
Not Available,,,,,0,0,1,0,1.0,32292332,0
Not Available,,,,,0,0,1,0,1.0,22124552,0
Not Available,,,,,0,0,1,0,1.0,37858622,0
1465949603605903,"  %246 = sext i32 %injectError200 to i6",334,78,8,1,0,0,0,10030.71349,27956520,0
Not Available,,,,,0,0,1,0,1.0,13099860,0
Not Available,,,,,0,0,1,0,1.0,13902756,0
1465949607759172,"  %245 = add nsw i32 %injectError194# %injectError3",235,239,2,1,0,0,0,3000.36707294,33008750,0
Not Available,,,,,0,0,1,0,1.0,11350520,0
1465949610651323,"  %232 = sext i32 %injectError195 to i6",339,16723,14,1,0,0,0,14839.732964,24129041,0
Not Available,,,,,0,0,1,0,1.0,44354720,0
Not Available,,,,,0,0,1,0,1.0,19620920,0
Not Available,,,,,0,0,1,0,1.0,14639995,0
1465949615395292,"  %255 = sext i32 %injectError203 to i6",554,8746,13,1,0,0,0,150743.351318,13548008,0
Not Available,,,,,0,0,1,0,1.0,14753900,0
Not Available,,,,,0,0,1,0,1.0,10460340,0
1465949618173646,"  %246 = sext i32 %injectError200 to i6",1327,17711,14,1,0,0,0,53523.9876981,22524192,0
Not Available,,,,,0,0,1,0,1.0,23353568,0
Not Available,,,,,0,0,1,0,1.0,23468520,0
Not Available,,,,,0,0,1,0,1.0,14628690,0
Not Available,,,,,0,0,1,0,1.0,37893242,0
1465949625159451,"  %232 = sext i32 %injectError195 to i6",373,2305843009213694325,61,0,1,0,0,0.0,33867140,0
1465949626666299,"  %71 = add i64 %21# %injectError",1118,68719477854,36,0,1,0,0,0.0,13154824,0
Not Available,,,,,0,0,1,0,1.0,30527770,0
1465949629895350,"  %254 = add nsw i32 %218# %injectError3",2653,2649,2,1,0,0,0,34.0475170612,31629491,0
Not Available,,,,,0,0,1,0,1.0,25258290,0
Not Available,,,,,0,0,1,0,1.0,26365771,0
Not Available,,,,,0,0,1,0,1.0,12868120,0
Not Available,,,,,0,0,1,0,1.0,11109010,0
1465949635840610,"  %254 = add nsw i32 %218# %injectError3",518,2566,11,1,0,0,0,164063.593334,9951988,0
Not Available,,,,,0,0,1,0,1.0,10404798,0
Not Available,,,,,0,0,1,0,1.0,19849020,0
Not Available,,,,,0,0,1,0,1.0,11063501,0
Not Available,,,,,0,0,1,0,1.0,9991092,0
1465949640477624,"  %246 = sext i32 %injectError200 to i6",794,4890,12,1,0,0,0,5848.31828403,15219992,0
1465949641347684,"  %232 = sext i32 %injectError195 to i6",64,1088,10,1,0,0,0,156.52599597,11783523,0
Not Available,,,,,0,0,1,0,1.0,31865528,0
Not Available,,,,,0,0,1,0,1.0,38868920,0
Not Available,,,,,0,0,1,0,1.0,40451895,0
1465949646045968,"  %236 = add nsw i64 %injectError189# %injectError2",1356,1868,9,1,0,0,0,22721.440079,19169114,0
1465949647879138,"  %245 = add nsw i32 %injectError194# %injectError3",315,379,6,1,0,0,0,4.24963402748,16065356,0
Not Available,,,,,0,0,1,0,1.0,12186912,0
Not Available,,,,,0,0,1,0,1.0,13150079,0
Not Available,,,,,0,0,1,0,1.0,28772996,0
Not Available,,,,,0,0,1,0,1.0,14360695,0
Not Available,,,,,0,0,1,0,1.0,10368032,0
Not Available,,,,,0,0,1,0,1.0,21129212,0
Not Available,,,,,0,0,1,0,1.0,37827645,0
Not Available,,,,,0,0,1,0,1.0,28881787,0
Not Available,,,,,0,0,1,0,1.0,21241811,0
1465949659974949,"  %225 = sext i32 %injectError191 to i6",807,4611686018427388711,62,0,1,0,0,0.0,17993138,0
Not Available,,,,,0,0,1,0,1.0,29963324,0
1465949662040837,"  %230 = add nuw nsw i32 %218# ",24,16408,14,1,0,0,0,520834.155617,16157020,0
Not Available,,,,,0,0,1,0,1.0,27401540,0
