exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1465750977809751,"  %174 = add nsw i32 %injectError35# %injectError1",98632,65864,15,1,0,0,0,6.4842007272e+29,116967920,0
Not Available,,,,,0,0,1,0,1.0,219224675,0
Not Available,,,,,0,0,1,0,1.0,81783897,0
1465751014922271,"  %170 = sext i32 %injectError33 to i6",169646,169638,3,1,0,0,0,5.93427094054e+17,293611454,0
1465751047813673,"  %173 = mul nsw i32 %injectError31# %",169002,136234,15,1,0,0,0,2.57816016989e+18,237428975,0
1465751080006718,"  %160 = mul nsw i32 %152# %",62125,61613,9,1,0,0,0,2.0295430774e+18,296935501,0
Not Available,,,,,0,0,1,0,1.0,380325987,0
1465751166142120,"  %155 = mul nsw i32 %152# %",88382,88126,8,1,0,0,0,1.2806422982e+18,238632255,0
1465751204646357,"  %155 = mul nsw i32 %152# %",40656,40592,6,1,0,0,0,1.27627831009e+18,149935736,0
1465751238631890,"  %157 = sext i32 %injectError26 to i6",63600,63536,6,1,0,0,0,7.08774237799e+17,148865860,0
1465751293084667,"  %174 = add nsw i32 %injectError35# %injectError1",232636,232892,8,1,0,0,0,1.42160082068e+17,439002256,0
1465751392872610,"  %173 = mul nsw i32 %injectError31# %",148862,157054,13,1,0,0,0,3.19360130539e+16,378017087,0
1465751467572567,"  %168 = mul nsw i32 %injectError31# %",88572,1137148,20,1,0,0,0,2.85401524154e+29,184332055,0
1465751530030081,"  %156 = add nsw i32 %injectError25# %injectError1",16724,18772,11,1,0,0,0,3.86031289406e+17,412881695,0
1465751609957928,"  %168 = mul nsw i32 %injectError31# %",86632,119400,15,1,0,0,0,6.50592827753e+17,166814479,0
1465751667315562,"  %160 = mul nsw i32 %152# %",189662,189918,8,1,0,0,0,2.98310716144e+18,388186249,0
1465751764119476,"  %173 = mul nsw i32 %injectError31# %",106624,106688,6,1,0,0,0,1.81675791627e+18,401408244,0
1465751836371577,"  %161 = add nsw i32 %injectError28# %injectError1",61112,65208,12,1,0,0,0,5.78450746319e+17,114381271,0
1465751865856067,"  %157 = sext i32 %injectError26 to i6",89831,122599,15,1,0,0,0,1.72676202213e+17,129289825,0
1465751895680473,"  %156 = add nsw i32 %injectError25# %injectError1",65126,65127,0,1,0,0,0,1.89668907158e+17,93447360,0
Not Available,,,,,0,0,1,0,1.0,189723032,0
Not Available,,,,,0,0,1,0,1.0,167868834,0
1465752003418780,"  %168 = mul nsw i32 %injectError31# %",69520,68496,10,1,0,0,0,5.65519471221e+17,227554523,0
Not Available,,,,,0,0,1,0,1.0,145521004,0
Not Available,,,,,0,0,1,0,1.0,189495843,0
Not Available,,,,,0,0,1,0,1.0,200043928,0
1465752111811858,"  %160 = mul nsw i32 %152# %",123714,90946,15,1,0,0,0,1.32714247892e+18,124421125,0
Not Available,,,,,0,0,1,0,1.0,130130013,0
1465752170932558,"  %156 = add nsw i32 %injectError25# %injectError1",84439,84375,6,1,0,0,0,1.00695052105e+18,175094065,0
1465752207501526,"  %169 = add nsw i32 %injectError32# %injectError1",66769,328913,18,1,0,0,0,4.02904336075e+17,95488785,0
