instruction_name,file_name,line_no,is_vector
"  %5 = alloca i32*# align 8",,,0
"  %6 = alloca i32*# align 8",,,0
"  %7 = alloca i32*# align 8",,,0
"  %8 = alloca i32# align 4",,,0
"  %9 = alloca i32# align 4",,,0
"  %10 = alloca i32# align 4",,,0
"  %11 = alloca i32# align 4",,,0
"  %12 = alloca i32# align 4",,,0
"  %34 = load i32*# i32** %6# align 8",,,0
"  %35 = getelementptr inbounds i32# i32* %34# i64 %33",,,0
"  %43 = load i32*# i32** %7# align 8",,,0
"  %44 = getelementptr inbounds i32# i32* %43# i64 %42",,,0
"  %60 = load i32*# i32** %5# align 8",,,0
"  %61 = getelementptr inbounds i32# i32* %60# i64 %59",,,0
"  %5 = alloca i32*# align 8",,,0
"  %6 = alloca i32*# align 8",,,0
"  %7 = alloca i32*# align 8",,,0
"  %8 = alloca i32# align 4",,,0
"  %9 = alloca i32# align 4",,,0
"  %10 = alloca i32# align 4",,,0
"  %11 = alloca i32# align 4",,,0
"  %12 = alloca i32# align 4",,,0
"  %34 = load i32*# i32** %6# align 8",,,0
"  %35 = getelementptr inbounds i32# i32* %34# i64 %33",,,0
"  %43 = load i32*# i32** %7# align 8",,,0
"  %44 = getelementptr inbounds i32# i32* %43# i64 %42",,,0
"  %60 = load i32*# i32** %5# align 8",,,0
"  %61 = getelementptr inbounds i32# i32* %60# i64 %59",,,0
"  %5 = alloca i32*# align 8",,,0
"  %6 = alloca i32*# align 8",,,0
"  %7 = alloca i32*# align 8",,,0
"  %8 = alloca i32# align 4",,,0
"  %9 = alloca i32# align 4",,,0
"  %10 = alloca i32# align 4",,,0
"  %11 = alloca i32# align 4",,,0
"  %12 = alloca i32# align 4",,,0
"  %34 = load i32*# i32** %6# align 8",,,0
"  %35 = getelementptr inbounds i32# i32* %34# i64 %33",,,0
"  %43 = load i32*# i32** %7# align 8",,,0
"  %44 = getelementptr inbounds i32# i32* %43# i64 %42",,,0
"  %60 = load i32*# i32** %5# align 8",,,0
"  %61 = getelementptr inbounds i32# i32* %60# i64 %59",,,0
"  %5 = alloca i32*# align 8",,,0
"  %6 = alloca i32*# align 8",,,0
"  %7 = alloca i32*# align 8",,,0
"  %8 = alloca i32# align 4",,,0
"  %9 = alloca i32# align 4",,,0
"  %10 = alloca i32# align 4",,,0
"  %11 = alloca i32# align 4",,,0
"  %12 = alloca i32# align 4",,,0
"  %34 = load i32*# i32** %6# align 8",,,0
"  %35 = getelementptr inbounds i32# i32* %34# i64 %33",,,0
"  %43 = load i32*# i32** %7# align 8",,,0
"  %44 = getelementptr inbounds i32# i32* %43# i64 %42",,,0
"  %60 = load i32*# i32** %5# align 8",,,0
"  %61 = getelementptr inbounds i32# i32* %60# i64 %59",,,0
"  %43 = load i32*# i32** %7# align 8",,,0
"  %44 = getelementptr inbounds i32# i32* %43# i64 %42",,,0
"  %60 = load i32*# i32** %5# align 8",,,0
"  %61 = getelementptr inbounds i32# i32* %60# i64 %59",,,0
"  %5 = alloca i32*# align 8",,,0
"  %6 = alloca i32*# align 8",,,0
"  %7 = alloca i32*# align 8",,,0
"  %8 = alloca i32# align 4",,,0
"  %9 = alloca i32# align 4",,,0
"  %10 = alloca i32# align 4",,,0
"  %11 = alloca i32# align 4",,,0
"  %12 = alloca i32# align 4",,,0
"  %34 = load i32*# i32** %6# align 8",,,0
"  %35 = getelementptr inbounds i32# i32* %34# i64 %33",,,0
"  %5 = alloca i32*# align 8",,,0
"  %6 = alloca i32*# align 8",,,0
"  %7 = alloca i32*# align 8",,,0
"  %8 = alloca i32# align 4",,,0
"  %9 = alloca i32# align 4",,,0
"  %10 = alloca i32# align 4",,,0
"  %11 = alloca i32# align 4",,,0
"  %12 = alloca i32# align 4",,,0
"  %34 = load i32*# i32** %6# align 8",,,0
