instruction_name,file_name,line_no,is_vector
"  %relidx_219 = sub i64 %59# %phidx_162",,,0
"  %61 = add i64 %114# %59",,,0
"  %162 = add i64 %139# 8",,,0
"  %92 = add nsw i64 %91# %59",,,0
"  %relidx_227 = sub i64 %92# %phidx_202",,,0
"  %100 = add nsw i64 %91# %126",,,0
"  %relidx_225 = sub i64 %100# %phidx_96",,,0
"  %110 = add i64 %91# 4",,,0
"  %121 = add i64 %114# 1",,,0
"  %122 = mul i64 %17# %114",,,0
"  %relidx_229 = sub i64 %122# %phidx_8",,,0
"  %123 = mul i64 %19# %114",,,0
"  %125 = add i64 %114# 1",,,0
"  %126 = mul nsw i64 %114# %17",,,0
"  %relidx_221 = sub i64 %61# %59",,,0
"  %62 = add nsw i64 %59# %209",,,0
"  %relidx_223 = sub i64 %62# %61",,,0
"  %12 = sext i32 %0 to i64",,,0
"  %16 = sext i32 %1 to i64",,,0
"  %17 = sext i32 %0 to i64",,,0
"  %18 = shl nsw i64 %17# 3",,,0
"  %19 = add nsw i64 %18# 8",,,0
"  %27 = add nsw i64 %26# %126",,,0
"  %relidx_ = sub i64 %27# %phidx_20",,,0
"  %30 = add nuw nsw i64 %26# 1",,,0
"  %38 = mul nsw i64 %34# %16",,,0
"  %39 = add nsw i64 %38# %59",,,0
"  %relidx_215 = sub i64 %39# %phidx_192",,,0
"  %42 = add nsw i64 %34# %126",,,0
"  %relidx_211 = sub i64 %42# %phidx_86",,,0
"  %45 = or i64 %34# 1",,,0
"  %48 = mul nsw i64 %45# %16",,,0
"  %49 = add nsw i64 %48# %59",,,0
"  %relidx_217 = sub i64 %49# %39",,,0
"  %52 = add nsw i64 %45# %126",,,0
"  %relidx_213 = sub i64 %52# %42",,,0
"  %55 = add nsw i64 %34# 2",,,0
"  %131 = and i64 %121# -4",,,0
"  %141 = add nsw i64 %139# %126",,,0
"  %relidx_231 = sub i64 %141# %phidx_46",,,0
"  %151 = or i64 %139# 4",,,0
"  %152 = add nsw i64 %151# %126",,,0
"  %relidx_233 = sub i64 %152# %141",,,0
"  %288 = add nsw i64 %287# %227",,,0
"  %relidx_247 = sub i64 %288# %phidx_24",,,0
"  %291 = add nuw nsw i64 %287# 1",,,0
"  %296 = add nuw nsw i64 %221# 1",,,0
"  %172 = add nsw i64 %168# %126",,,0
"  %relidx_235 = sub i64 %172# %phidx_58",,,0
"  %194 = mul nsw i64 %188# %16",,,0
"  %195 = add nsw i64 %194# %59",,,0
"  %relidx_239 = sub i64 %195# %phidx_198",,,0
"  %198 = add nsw i64 %188# %126",,,0
"  %relidx_237 = sub i64 %198# %phidx_92",,,0
"  %204 = add nuw nsw i64 %59# 1",,,0
"  %209 = mul nsw i64 %114# %16",,,0
"  %211 = and i64 %125# -4",,,0
"  %216 = add nuw nsw i64 %114# 1",,,0
"  %226 = add i64 %221# 1",,,0
"  %227 = mul nsw i64 %221# %12",,,0
"  %230 = and i64 %226# -4",,,0
"  %240 = add nsw i64 %238# %227",,,0
