instruction_name,file_name,line_no,is_vector
"  %relidx_272 = sub i64 %46# %phidx_189",,,0
"  %52 = add nsw i64 %46# %41",,,0
"  %relidx_270 = sub i64 %52# %phidx_61",,,0
"  %90 = or i64 %83# 1",,,0
"  %91 = add nsw i64 %90# %41",,,0
"  %relidx_284 = sub i64 %91# %85",,,0
"  %relidx_288 = sub i64 %90# %83",,,0
"  %96 = add nsw i64 %83# 2",,,0
"  %19 = sext i32 %1 to i64",,,0
"  %20 = add i32 %1# -2",,,0
"  %21 = zext i32 %20 to i64",,,0
"  %22 = add nuw nsw i64 %21# 1",,,0
"  %relidx_ = sub i64 1# %phidx_143",,,0
"  %23 = zext i32 %20 to i64",,,0
"  %24 = add nuw nsw i64 %23# 1",,,0
"  %relidx_262 = sub i64 %24# 1",,,0
"  %32 = and i64 %22# 8589934588",,,0
"  %34 = or i64 %32# 1",,,0
"  %38 = mul i64 %19# %37",,,0
"  %39 = add i64 %38# 1",,,0
"  %relidx_264 = sub i64 %39# %phidx_19",,,0
"  %40 = add i64 %24# %38",,,0
"  %relidx_266 = sub i64 %40# %39",,,0
"  %relidx_268 = sub i64 %37# %phidx_211",,,0
"  %41 = mul nsw i64 %37# %19",,,0
"  %59 = add nuw nsw i64 %37# 1",,,0
"  %relidx_278 = sub i64 %63# %phidx_185",,,0
"  %67 = add nsw i64 %63# %41",,,0
"  %relidx_274 = sub i64 %67# %phidx_57",,,0
"  %71 = add nuw nsw i64 %63# 1",,,0
"  %relidx_280 = sub i64 %71# %63",,,0
"  %74 = add nsw i64 %71# %41",,,0
"  %relidx_276 = sub i64 %74# %67",,,0
"  %78 = add nsw i64 %63# 2",,,0
"  %85 = add nsw i64 %83# %41",,,0
"  %relidx_282 = sub i64 %85# %phidx_29",,,0
"  %relidx_286 = sub i64 %83# %phidx_93",,,0
"  %108 = add nsw i64 %105# %41",,,0
"  %relidx_290 = sub i64 %108# %phidx_35",,,0
"  %relidx_292 = sub i64 %105# %phidx_99",,,0
"  %relidx_294 = sub i64 %41# %phidx_25",,,0
"  %147 = or i64 %146# 1",,,0
"  %relidx_298 = sub i64 %147# %phidx_193",,,0
"  %153 = add nsw i64 %147# %41",,,0
"  %relidx_296 = sub i64 %153# %phidx_65",,,0
"  %165 = add i64 %146# 4",,,0
"  %19 = sext i32 %1 to i64",,,0
"  %20 = add i32 %1# -2",,,0
"  %21 = zext i32 %20 to i64",,,0
"  %22 = add nuw nsw i64 %21# 1",,,0
"  %24 = zext i32 %20 to i64",,,0
"  %25 = add nuw nsw i64 %24# 1",,,0
"  %34 = and i64 %22# 8589934588",,,0
"  %36 = or i64 %34# 1",,,0
"  %40 = mul i64 %19# %39",,,0
"  %41 = add i64 %40# 1",,,0
"  %43 = add i64 %25# %40",,,0
"  %46 = mul nsw i64 %39# %19",,,0
"  %58 = add nsw i64 %51# %46",,,0
"  %66 = add nuw nsw i64 %39# 1",,,0
"  %75 = add nsw i64 %70# %46",,,0
"  %80 = add nuw nsw i64 %70# 1",,,0
"  %84 = add nsw i64 %80# %46",,,0
"  %89 = add nsw i64 %70# 2",,,0
"  %96 = add nsw i64 %94# %46",,,0
"  %103 = or i64 %94# 1",,,0
"  %104 = add nsw i64 %103# %46",,,0
"  %111 = add nsw i64 %94# 2",,,0
"  %123 = add nsw i64 %120# %46",,,0
"  %165 = or i64 %164# 1",,,0
"  %172 = add nsw i64 %165# %46",,,0
"  %185 = add i64 %164# 4",,,0
"  %19 = sext i32 %1 to i64",,,0
"  %20 = add i32 %1# -2",,,0
"  %21 = zext i32 %20 to i64",,,0
"  %22 = add nuw nsw i64 %21# 1",,,0
"  %24 = zext i32 %20 to i64",,,0
"  %25 = add nuw nsw i64 %24# 1",,,0
"  %34 = and i64 %22# 8589934588",,,0
"  %36 = or i64 %34# 1",,,0
"  %40 = mul i64 %19# %39",,,0
"  %41 = add i64 %40# 1",,,0
"  %43 = add i64 %25# %40",,,0
"  %46 = mul nsw i64 %39# %19",,,0
"  %58 = add nsw i64 %51# %46",,,0
"  %66 = add nuw nsw i64 %39# 1",,,0
"  %75 = add nsw i64 %70# %46",,,0
"  %80 = add nuw nsw i64 %70# 1",,,0
"  %84 = add nsw i64 %80# %46",,,0
"  %89 = add nsw i64 %70# 2",,,0
"  %96 = add nsw i64 %94# %46",,,0
"  %103 = or i64 %94# 1",,,0
"  %104 = add nsw i64 %103# %46",,,0
"  %111 = add nsw i64 %94# 2",,,0
"  %123 = add nsw i64 %120# %46",,,0
"  %165 = or i64 %164# 1",,,0
"  %172 = add nsw i64 %165# %46",,,0
"  %185 = add i64 %164# 4",,,0
