instruction_name,file_name,line_no,is_vector
"  %5 = sext i32 %0 to i64",,,0
"  %12 = mul nsw i64 %7# %5",,,0
"  %14 = mul nsw i64 %7# %5",,,0
"  %22 = add nsw i64 %21# %14",,,0
"  %30 = add nsw i64 %28# %14",,,0
"  %33 = mul nsw i64 %28# %5",,,0
"  %34 = add nsw i64 %33# %21",,,0
"  %39 = or i64 %28# 1",,,0
"  %40 = add nsw i64 %39# %14",,,0
"  %43 = mul nsw i64 %39# %5",,,0
"  %44 = add nsw i64 %43# %21",,,0
"  %49 = add nsw i64 %28# 2",,,0
"  %60 = add nsw i64 %57# %14",,,0
"  %63 = mul nsw i64 %57# %5",,,0
"  %64 = add nsw i64 %63# %21",,,0
"  %71 = add nuw nsw i64 %21# 1",,,0
"  %79 = add nsw i64 %75# %12",,,0
"  %91 = add nsw i64 %89# %12",,,0
"  %94 = mul nsw i64 %89# %5",,,0
"  %95 = add nsw i64 %94# %75",,,0
"  %100 = or i64 %89# 1",,,0
"  %101 = add nsw i64 %100# %12",,,0
"  %104 = mul nsw i64 %100# %5",,,0
"  %105 = add nsw i64 %104# %75",,,0
"  %110 = add nsw i64 %89# 2",,,0
"  %122 = add nsw i64 %118# %12",,,0
"  %125 = mul nsw i64 %118# %5",,,0
"  %126 = add nsw i64 %125# %75",,,0
"  %134 = mul nsw i32 %76# %0",,,0
"  %135 = trunc i64 %75 to i32",,,0
"  %136 = add nsw i32 %134# %135",,,0
"  %137 = sext i32 %136 to i64",,,0
"  %142 = add nuw nsw i64 %75# 1",,,0
"  %143 = add nuw nsw i32 %76# 1",,,0
"  %148 = add nuw nsw i64 %7# 1",,,0
"  %5 = sext i32 %0 to i64",,,0
"  %12 = mul nsw i64 %7# %5",,,0
"  %14 = mul nsw i64 %7# %5",,,0
"  %22 = add nsw i64 %21# %14",,,0
"  %30 = add nsw i64 %28# %14",,,0
"  %33 = mul nsw i64 %28# %5",,,0
"  %34 = add nsw i64 %33# %21",,,0
"  %39 = or i64 %28# 1",,,0
"  %40 = add nsw i64 %39# %14",,,0
"  %43 = mul nsw i64 %39# %5",,,0
"  %44 = add nsw i64 %43# %21",,,0
"  %49 = add nsw i64 %28# 2",,,0
"  %60 = add nsw i64 %57# %14",,,0
"  %63 = mul nsw i64 %57# %5",,,0
"  %64 = add nsw i64 %63# %21",,,0
"  %71 = add nuw nsw i64 %21# 1",,,0
"  %79 = add nsw i64 %75# %12",,,0
"  %91 = add nsw i64 %89# %12",,,0
"  %94 = mul nsw i64 %89# %5",,,0
"  %95 = add nsw i64 %94# %75",,,0
"  %100 = or i64 %89# 1",,,0
"  %101 = add nsw i64 %100# %12",,,0
"  %104 = mul nsw i64 %100# %5",,,0
"  %105 = add nsw i64 %104# %75",,,0
"  %110 = add nsw i64 %89# 2",,,0
"  %122 = add nsw i64 %118# %12",,,0
"  %125 = mul nsw i64 %118# %5",,,0
"  %126 = add nsw i64 %125# %75",,,0
"  %134 = mul nsw i32 %76# %0",,,0
"  %135 = trunc i64 %75 to i32",,,0
"  %136 = add nsw i32 %134# %135",,,0
"  %137 = sext i32 %136 to i64",,,0
"  %142 = add nuw nsw i64 %75# 1",,,0
"  %143 = add nuw nsw i32 %76# 1",,,0
"  %148 = add nuw nsw i64 %7# 1",,,0
"  %5 = sext i32 %0 to i64",,,0
"  %12 = mul nsw i64 %7# %5",,,0
"  %14 = mul nsw i64 %7# %5",,,0
"  %22 = add nsw i64 %21# %14",,,0
"  %30 = add nsw i64 %28# %14",,,0
"  %33 = mul nsw i64 %28# %5",,,0
"  %34 = add nsw i64 %33# %21",,,0
"  %39 = or i64 %28# 1",,,0
"  %40 = add nsw i64 %39# %14",,,0
"  %43 = mul nsw i64 %39# %5",,,0
"  %44 = add nsw i64 %43# %21",,,0
"  %49 = add nsw i64 %28# 2",,,0
"  %60 = add nsw i64 %57# %14",,,0
"  %63 = mul nsw i64 %57# %5",,,0
"  %64 = add nsw i64 %63# %21",,,0
"  %71 = add nuw nsw i64 %21# 1",,,0
"  %79 = add nsw i64 %75# %12",,,0
"  %91 = add nsw i64 %89# %12",,,0
"  %94 = mul nsw i64 %89# %5",,,0
"  %95 = add nsw i64 %94# %75",,,0
"  %100 = or i64 %89# 1",,,0
"  %101 = add nsw i64 %100# %12",,,0
"  %104 = mul nsw i64 %100# %5",,,0
