instruction_name,file_name,line_no,is_vector
"  %200 = getelementptr inbounds [2160 x float]# [2160 x float]* %2# i64 %196# i64 %194",,,0
"  %209 = getelementptr inbounds [2160 x float]# [2160 x float]* %3# i64 %196# i64 %194",,,0
"  %212 = getelementptr inbounds [2160 x float]# [2160 x float]* %2# i64 %211# i64 %194",,,0
"  %221 = getelementptr inbounds [2160 x float]# [2160 x float]* %3# i64 %211# i64 %194",,,0
"  %244 = getelementptr inbounds [2160 x float]# [2160 x float]* %4# i64 %232# i64 %230",,,0
"  %245 = getelementptr inbounds [2160 x float]# [2160 x float]* %2# i64 %232# i64 %230",,,0
"  %133 = getelementptr float# float* %130# i64 4",,,0
"  %138 = getelementptr inbounds [2160 x float]# [2160 x float]* %2# i64 %106# i64 %123",,,0
"  %38 = getelementptr inbounds [2160 x float]# [2160 x float]* %1# i64 %32# i64 %34",,,0
"  %47 = getelementptr inbounds [2160 x float]# [2160 x float]* %3# i64 %32# i64 %34",,,0
"  %50 = getelementptr inbounds [2160 x float]# [2160 x float]* %1# i64 %32# i64 %49",,,0
"  %59 = getelementptr inbounds [2160 x float]# [2160 x float]* %3# i64 %32# i64 %49",,,0
"  %85 = getelementptr inbounds [2160 x float]# [2160 x float]* %4# i64 %71# i64 %73",,,0
"  %86 = getelementptr inbounds [2160 x float]# [2160 x float]* %1# i64 %71# i64 %73",,,0
"  %96 = getelementptr inbounds [2160 x float]# [2160 x float]* %4# i64 %71# i64 %88",,,0
"  %97 = getelementptr inbounds [2160 x float]# [2160 x float]* %1# i64 %71# i64 %88",,,0
"  %107 = getelementptr [2160 x float]# [2160 x float]* %2# i64 %106# i64 0",,,0
"  %108 = getelementptr [2160 x float]# [2160 x float]* %2# i64 %106# i64 2159",,,0
"  %109 = getelementptr [2160 x float]# [2160 x float]* %3# i64 %106# i64 0",,,0
"  %110 = getelementptr [2160 x float]# [2160 x float]* %3# i64 %106# i64 2159",,,0
"  %111 = getelementptr [2160 x float]# [2160 x float]* %4# i64 %106# i64 0",,,0
"  %112 = getelementptr [2160 x float]# [2160 x float]* %4# i64 %106# i64 2159",,,0
"  %124 = getelementptr inbounds [2160 x float]# [2160 x float]* %3# i64 %106# i64 %123",,,0
"  %127 = getelementptr float# float* %124# i64 4",,,0
"  %130 = getelementptr inbounds [2160 x float]# [2160 x float]* %4# i64 %106# i64 %123",,,0
"  %255 = getelementptr inbounds [2160 x float]# [2160 x float]* %4# i64 %247# i64 %230",,,0
"  %256 = getelementptr inbounds [2160 x float]# [2160 x float]* %2# i64 %247# i64 %230",,,0
"  %140 = getelementptr float# float* %138# i64 4",,,0
"  %143 = getelementptr inbounds [2160 x float]# [2160 x float]* %3# i64 %106# i64 %142",,,0
"  %146 = getelementptr float# float* %143# i64 4",,,0
"  %149 = getelementptr inbounds [2160 x float]# [2160 x float]* %4# i64 %106# i64 %142",,,0
"  %152 = getelementptr float# float* %149# i64 4",,,0
